Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
Bell Aliant,Cable and Internet Fees,2020/06/12,180.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
"BUSINESS POST, THE",Advertising,2020/06/18,71.25
"BUSINESS POST, THE",Advertising,2020/06/19,71.25
Grand & Toy,Digital Communication Equipment,2020/06/30,179.55
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,250.49
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,249.75
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,42.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Bell Aliant,Cable and Internet Fees,2020/07/12,180.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,112.23
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.04
"BUSINESS POST, THE",Advertising,2020/07/19,81.94
"BUSINESS POST, THE",Advertising,2020/07/23,594.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,249.75
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,57.00
M.B.M. DEVELOPMENT LTD.,Office Rental and Related Fees,2020/08/01,2300.00
"BUSINESS POST, THE",Advertising,2020/08/09,71.25
Bell Aliant,Cable and Internet Fees,2020/08/12,182.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
"BUSINESS POST, THE",Advertising,2020/08/26,71.25
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,249.75
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,209.74
M.B.M. DEVELOPMENT LTD.,Office Rental and Related Fees,2020/09/01,2300.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Bell Aliant,Cable and Internet Fees,2020/09/12,182.00
Canada Post – Postes Canada,Courier Services,2020/09/23,31.30
Canada Post – Postes Canada,Courier Services,2020/09/23,24.27
Canada Post – Postes Canada,Courier Services,2020/09/23,16.91
Canada Post – Postes Canada,Courier Services,2020/09/23,23.67
Canada Post – Postes Canada,Courier Services,2020/09/23,23.80
Canada Post – Postes Canada,Courier Services,2020/09/23,18.27
Canada Post – Postes Canada,Courier Services,2020/09/23,31.30
Canada Post – Postes Canada,Courier Services,2020/09/23,26.87
Canada Post – Postes Canada,Courier Services,2020/09/23,127.04
JAVELIN PUBLISHING,Advertising,2020/09/23,300.00
M.B.M. DEVELOPMENT LTD.,Office Rental and Related Fees,2020/10/01,2300.00
