Supplier,Description,Date,Total
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/06/04,180.00
RADIO DIFFUSION SOREL-TRACY,Advertising,2020/06/11,197.50
Club Entrepôt,"Office Supplies, Stationery and Accessories",2020/06/12,21.44
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/06/16,110.00
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/06/16,55.00
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/06/16,20.00
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/06/16,12.00
Cyberimpact,Professional Communication Services,2020/09/01,70.00
Cercle de Fermières Verchères,Advertising,2020/09/14,160.00
Rues Principales Verchères,Gifts given as a matter of protocol,2020/09/15,128.00
Canadian tire #190,Office Furniture and Fixtures,2020/09/28,99.98
Jean Coutu,Cleaning Products,2020/09/28,11.99
"NAPPERON DU TÉLÉTHON, LE",Advertising,2020/09/29,304.42
RPS,Advertising,2020/09/29,500.00
Bureau en Gros,Postage and Parcel Post,2020/09/30,92.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,207.94
BELL CANADA,Cable and Internet Fees,2020/10/01,189.95
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,125.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,321.38
Cyberimpact,Professional Communication Services,2020/10/01,70.00
LeContrecourant.com (S.E.N.C),Advertising,2020/10/01,425.00
Canadian tire,"Office Supplies, Stationery and Accessories",2020/10/03,15.99
Journal de la Relève Inc,Advertising,2020/10/07,601.00
Librairie Raffin,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/07,115.80
Librairie Raffin,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/08,26.99
Librairie Raffin,Postage and Parcel Post,2020/10/08,6.99
Journal de la Relève Inc,Advertising,2020/10/14,601.00
Ass. des Riverains et Amis du Richelieu,Advertising,2020/10/15,150.00
"2 Rives, Les",Advertising,2020/10/20,380.00
Comité du Mémorial Bernard-Landry à Verchères,Advertising,2020/10/20,500.00
Journal de la Relève Inc,Advertising,2020/10/20,833.00
Librairie Raffin,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/21,59.90
"Oeil Régional, L'",Advertising,2020/10/21,571.00
BELL CANADA,Cable and Internet Fees,2020/11/01,189.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,69.38
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,125.38
Cyberimpact,Professional Communication Services,2020/11/01,70.00
Fonds d’Investissement Immobilier Innoval inc,Office Rental and Related Fees,2020/11/01,3015.87
"Rousseau, Dominique",Photography and Video Services,2020/11/01,150.00
Fondation Lionel-Groulx,Advertising,2020/11/05,250.00
Canada Post – Postes Canada,Courier Services,2020/11/09,5.62
Canada Post – Postes Canada,Courier Services,2020/11/09,5.24
Canada Post – Postes Canada,Courier Services,2020/11/09,7.21
Canada Post – Postes Canada,Postage and Parcel Post,2020/11/27,152.30
Fonds d’Investissement Immobilier Innoval inc,Office Rental and Related Fees,2020/12/01,3015.87
TVRS,Advertising,2020/12/03,435.00
Canada Post – Postes Canada,Courier Services,2020/12/14,7.18
Canada Post – Postes Canada,Courier Services,2020/12/14,5.59
Fonds d’Investissement Immobilier Innoval inc,Office Rental and Related Fees,2021/01/01,3015.87
