Supplier,Description,Date,Total
Bell Média Inc.,Advertising,2020/04/26,680.00
Banque Royale du Canada,Banking Fees and Cheque Orders,2020/08/03,15.95
PAPETERIE COMMERCIALE-VAL-D'OR,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/22,99.90
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/08/24,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,639.87
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/08/24,491.95
Banque Royale du Canada,Banking Fees and Cheque Orders,2020/09/03,15.95
Dicom,Courier Services,2020/09/09,34.96
SPI,"Safety Supplies (fire extinguishers, first aid kits)",2020/09/17,106.91
Cablevision du Nord de Québec Inc.,Cable and Internet Fees,2020/09/20,85.85
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/09/20,39.98
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/09/20,26.98
"CAPITALE ASSURANCES GENERALES INC., LA",Constituency Office Insurance,2020/09/21,987.00
PAPETERIE COMMERCIALE,"Office Supplies, Stationery and Accessories",2020/09/23,34.99
Tire-Media Inc.,Advertising,2020/09/23,275.00
Télébec S.E.C,Cable and Internet Fees,2020/09/25,106.16
Télébec S.E.C,Cable and Internet Fees,2020/09/25,98.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,0.08
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,53.16
Bell Mobility – Bell Mobilité,Long Distance,2020/10/01,0.07
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,71.22
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,159.38
Groupe Lexis Média Inc.,Advertising,2020/10/01,304.00
Vidéotron,Internet (COVID19),2020/10/02,65.95
ENTRETIEN KD,Janitorial Services and Maintenance,2020/10/04,280.00
Matériaux Dubreuil Inc,"Office Supplies, Stationery and Accessories",2020/10/05,14.40
Zoom,Licence Renewal,2020/10/07,20.00
Matériaux Dubreuil inc,"Office Supplies, Stationery and Accessories",2020/10/08,52.62
Pharmacie Alain Lévesque,"Office Supplies, Stationery and Accessories",2020/10/08,5.99
Pharmacie Alain Lévesque,"Office Supplies, Stationery and Accessories",2020/10/08,6.99
Provigo,Cleaning Products,2020/10/08,14.81
Fourrures Grenier,Consumable Items for Constituency Offices (COVID19),2020/10/09,114.00
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/10/09,6.00
Dicom,Postage and Parcel Post,2020/10/14,71.46
ESPACE ABITIBI-EST,Advertising,2020/10/15,500.00
GLS,Courier Services,2020/10/16,59.74
Cablevision du Nord de Québec Inc.,Cable and Internet Fees,2020/10/20,85.85
Comité du Mémorial Bernard-Landry à Verchères,Advertising,2020/10/20,500.00
Groupe Lexis Média Inc.,Advertising,2020/10/22,434.00
Dollorama,"Office Supplies, Stationery and Accessories",2020/10/25,17.00
Télébec S.E.C,Cable and Internet Fees,2020/10/25,112.85
Télébec S.E.C,Cable and Internet Fees,2020/10/25,98.95
ENTRETIEN KD,Janitorial Services and Maintenance,2020/10/29,280.00
GLS,Courier Services,2020/10/30,69.65
Vidéotron,Internet (COVID19),2020/10/30,65.95
SEMKB INC.,Janitorial Services and Maintenance,2020/10/31,120.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,109.38
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,159.38
Club de golf Chibougamau-Chapais,Office Rental and Related Fees,2020/11/01,500.00
GESTION DAD,Office Rental and Related Fees,2020/11/01,2308.54
Jarmila Guivarch Photographe,Photography and Video Services,2020/11/01,210.00
Pavillon de la Rose,Office Rental and Related Fees,2020/11/01,500.00
Banque Royale du Canada,Banking Fees and Cheque Orders,2020/11/03,15.95
Musée d'Art de Joliette,Advertising,2020/11/04,500.00
Fondation Lionel-Groulx,Advertising,2020/11/05,250.00
Zoom,Licence Renewal,2020/11/07,20.00
Canada Post – Postes Canada,Courier Services,2020/11/09,7.37
Canada Post – Postes Canada,Courier Services,2020/11/09,8.10
Canada Post – Postes Canada,Courier Services,2020/11/09,10.29
Wal-Mart,Toner,2020/11/09,70.03
Nutrition Sports,Consumable Items for Constituency Offices (COVID19),2020/11/12,14.95
PAPETERIE COMMERCIALE-VAL-D'OR,"Office Supplies, Stationery and Accessories",2020/11/12,16.45
House of Commons – Chambre des communes,Language Training,2020/11/19,276.40
Cablevision du Nord de Québec Inc.,Cable and Internet Fees,2020/11/20,85.85
SAENCAT,"Printed Matter, Books, Newspapers and Subscriptions",2020/11/23,300.00
Télébec S.E.C,Cable and Internet Fees,2020/11/25,112.85
Télébec S.E.C,Cable and Internet Fees,2020/11/25,98.95
Groupe Lexis Média Inc.,Advertising,2020/11/26,660.00
ENTRETIEN KD,Janitorial Services and Maintenance,2020/11/30,280.00
SEMKB INC.,Janitorial Services and Maintenance,2020/11/30,120.00
Club de golf Chibougamau-Chapais,Office Rental and Related Fees,2020/12/01,500.00
"Gagné, Lise",Translation Services,2020/12/01,137.50
GESTION DAD,Office Rental and Related Fees,2020/12/01,2308.54
Pavillon de la Rose,Office Rental and Related Fees,2020/12/01,500.00
Alarme Val-d'Or,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/12/02,320.00
Banque Royale du Canada,Banking Fees and Cheque Orders,2020/12/03,15.95
Dollarama,"Office Supplies, Stationery and Accessories",2020/12/03,17.00
Autobus Maheux,Postage and Parcel Post,2020/12/04,10.00
Vidéotron,Internet (COVID19),2020/12/04,65.95
Canva Pro,Licence Renewal,2020/12/07,155.88
Matériaux Dubreuil inc,"Office Supplies, Stationery and Accessories",2020/12/07,38.16
Tire-Media Inc.,Advertising,2020/12/07,325.00
Lacerte Communications Inc.,Professional Communication Services,2020/12/08,300.00
Le Son du 49e,Advertising,2020/12/08,100.00
Tire-Media Inc.,"Printed Matter, Books, Newspapers and Subscriptions",2020/12/08,41.66
Canada Post – Postes Canada,Courier Services,2020/12/14,9.79
Canada Post – Postes Canada,Courier Services,2020/12/14,8.06
Canada Post – Postes Canada,Postage and Parcel Post,2020/12/14,335.19
Dollorama,"Office Supplies, Stationery and Accessories",2020/12/15,24.50
Club de golf Chibougamau-Chapais,Office Rental and Related Fees,2021/01/01,500.00
GESTION DAD,Office Rental and Related Fees,2021/01/01,2308.54
Pavillon de la Rose,Office Rental and Related Fees,2021/01/01,500.00
