Supplier,Description,Date,Total
Access Information Management of Canada ULC,Shredding,2020/07/31,35.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,213.29
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/08/24,3.18
Black Press Group Ltd.,Advertising,2020/08/30,352.13
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,146.75
Black Press Group Ltd.,Advertising,2020/09/06,486.70
James Bay Beacon,Advertising,2020/09/28,127.00
Access Information Management of Canada ULC,Shredding,2020/09/30,35.00
Amazon,Computer Equipment,2020/09/30,30.88
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/09/30,360.00
MailChimp,Professional Communication Services,2020/09/30,101.41
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,33.79
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,0.24
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,167.98
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,79.20
Fernwood NRG Society,Advertising,2020/10/01,226.80
Fernwood NRG Society,Advertising,2020/10/01,216.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,125.50
CAVAN SPECIALTY ADVERTISING LTD.,Postage and Parcel Post,2020/10/02,26.36
CAVAN SPECIALTY ADVERTISING LTD.,Promotional Items,2020/10/02,823.90
Facebook,Advertising,2020/10/03,1.34
James Bay Beacon,Advertising,2020/10/26,127.00
Shaw cablesystems G.P.,Cable and Internet Fees,2020/10/27,149.80
Access Information Management of Canada ULC,Shredding,2020/10/31,42.50
Black Press Group Ltd.,Advertising,2020/10/31,234.12
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/10/31,450.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,167.85
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,24.20
Oak Bay Rental Investments,Office Rental and Related Fees,2020/11/01,2749.56
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,117.54
Fairfield Gonzales Community Association,Advertising,2020/11/03,160.00
Slack,Licence Renewal,2020/11/06,63.99
Black Press Group Ltd.,Advertising,2020/11/08,326.75
Black Press Group Ltd.,Advertising,2020/11/08,296.45
House of Commons – Chambre des communes,Language Training,2020/11/18,331.68
Canada Post – Postes Canada,Postage and Parcel Post,2020/11/27,160.71
Shaw cablesystems G.P./Shaw Direct,Cable and Internet Fees,2020/11/27,149.80
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/11/30,360.00
Oak Bay Rental Investments,Office Rental and Related Fees,2020/12/01,2749.56
House of Commons – Chambre des communes,External Printing Costs,2020/12/09,544.00
Canada Post – Postes Canada,Courier Services,2020/12/14,22.61
Canada Post – Postes Canada,Courier Services,2020/12/14,12.18
Oak Bay Rental Investments,Office Rental and Related Fees,2021/01/01,2749.56
