Supplier,Description,Date,Total
Viet Tien TV,Advertising,2020/07/07,660.00
Shaw,Cable and Internet Fees,2020/08/11,221.00
Shaw cable,Cable and Internet Fees,2020/08/11,221.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,267.79
Shaw cable,Cable and Internet Fees,2020/09/11,232.05
Costco,Consumable Items for Constituency Offices (COVID19),2020/09/13,19.99
Costco,Consumable Items for Constituency Offices (COVID19),2020/09/18,21.99
Costco,"Office Supplies, Stationery and Accessories",2020/09/25,24.24
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,61.81
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,49.57
YEG Cleaning Company,Janitorial Services and Maintenance,2020/09/30,200.00
"Burns, Matthew",Subject Matter Expert,2020/10/01,1950.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,308.29
Soong Chiang Ent.Inc,Advertising,2020/10/01,95.00
Mailchimp,Professional Communication Services,2020/10/02,67.15
"Great West Newspapers, LP",Advertising,2020/10/07,397.00
"Lalli, Michael",Subject Matter Expert,2020/10/08,380.00
Shaw Cable,Cable and Internet Fees,2020/10/11,221.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/10/21,375.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/10/21,375.00
Peace Hills Insurance,Constituency Office Insurance,2020/10/22,1189.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/10/27,338.00
YEG Cleaning Company,Janitorial Services and Maintenance,2020/10/31,200.00
20 PERRON STREET DEVELOPMENT,Office Rental and Related Fees,2020/11/01,2552.73
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,353.03
"Burns, Matthew",Subject Matter Expert,2020/11/02,1950.00
Mailchimp,Professional Communication Services,2020/11/02,67.25
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/11/03,112.48
Viet Tien TV,Advertising,2020/11/04,300.00
Calder Publications,Advertising,2020/11/05,152.00
Canada Post – Postes Canada,Courier Services,2020/11/09,7.99
"Lalli, Michael",Subject Matter Expert,2020/11/09,380.00
Canada Post – Postes Canada,"Freight, Express and Cartage",2020/11/10,10.07
St. Albert and District Chamber of Commerce,Advertising,2020/11/10,142.86
"Great West Newspapers, LP",Advertising,2020/11/11,397.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/11/27,285.13
YEG Cleaning Company,Janitorial Services and Maintenance,2020/11/30,200.00
20 PERRON STREET DEVELOPMENT,Office Rental and Related Fees,2020/12/01,2651.07
Mailchimp,Professional Communication Services,2020/12/01,68.16
McBain Camera,Video Communication and Broadcasting Equipment,2020/12/04,961.72
McBain Camera,Appliances,2020/12/04,95.92
House of Commons – Chambre des communes,External Printing Costs,2020/12/09,302.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/12/31,449.93
20 PERRON STREET DEVELOPMENT,Office Rental and Related Fees,2021/01/01,2651.07
