Supplier,Description,Date,Total
Cut Knife Courier,Advertising,2020/04/01,50.00
Cut Knife Courier,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/01,20.00
Canada Post,Postage and Parcel Post,2020/06/24,26.89
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2020/07/07,9.97
Real Canadian Superstore,Cleaning Products,2020/08/10,16.98
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,29.75
SaskTel,Cable and Internet Fees,2020/09/04,168.96
NationBuilder,Professional Communication Services,2020/09/06,77.57
Ultra Print,Advertising,2020/09/09,265.00
Ironjet Promotions Inc,Signage,2020/09/14,269.59
Town of Unity,Public Meeting Room Rentals,2020/09/14,30.00
The Battlefords Regional News Optimist,Advertising,2020/09/16,390.40
VistaPrint,External Printing Costs,2020/09/17,895.41
SaskPower,Public Utilities,2020/09/22,252.40
Culligan Water,Spring Water,2020/09/23,34.25
Town of Unity,Advertising,2020/09/23,550.00
Jim Pattison Broadcast Group,Advertising,2020/09/27,100.00
Ironjet Promotions Inc,Signage,2020/09/29,269.59
Glorious Cleaning Service,Janitorial Services and Maintenance,2020/09/30,200.00
Grand & Toy,Bulk Paper Purchases,2020/09/30,47.39
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/09/30,77.58
Servus Credit Union,Banking Fees and Cheque Orders,2020/09/30,17.95
The Battlefords Regional News Optimist,Advertising,2020/09/30,369.00
Toshiba,Toner,2020/09/30,134.21
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,77.90
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,67.45
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,172.10
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,29.75
SecurTek,Protection and Alarm Monitoring (Member's Office Budget),2020/10/01,85.70
Directwest,Advertising,2020/10/02,2601.00
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2020/10/02,18.98
SaskTel,Cable and Internet Fees,2020/10/04,168.96
NationBuilder,Professional Communication Services,2020/10/06,78.37
Town of Wilkie,Advertising,2020/10/07,200.00
Directwest,Advertising,2020/10/12,453.00
Town of Kerrobert,Public Meeting Room Rentals,2020/10/13,43.75
"ROYAL CANADIAN LEGION, SASKATCHEWAN COMMAND",Public Meeting Room Rentals,2020/10/14,165.00
Amazon,"Office Supplies, Stationery and Accessories",2020/10/15,39.99
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2020/10/15,6.98
Culligan Water,Spring Water,2020/10/22,17.00
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2020/10/22,18.98
SaskPower,Public Utilities,2020/10/22,267.33
Jim Pattison Broadcast Group,Advertising,2020/10/25,100.00
The Battlefords Regional News Optimist,Advertising,2020/10/28,349.00
Glorious Cleaning Service,Janitorial Services and Maintenance,2020/10/29,200.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,25.19
Servus Credit Union,Banking Fees and Cheque Orders,2020/10/31,17.95
1537174 Alberta Ltd.,Office Rental and Related Fees,2020/11/01,1714.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,61.26
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,171.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,46.75
SaskTel,Cable and Internet Fees,2020/11/04,168.96
Battlefords AAA Sharks,Advertising,2020/11/09,350.00
Canada Post – Postes Canada,Courier Services,2020/11/09,10.46
Canada Post – Postes Canada,Courier Services,2020/11/09,9.29
Canada Post – Postes Canada,Courier Services,2020/11/09,9.29
Nationbuilder,Professional Communication Services,2020/11/09,77.27
The Battlefords Regional News Optimist,Advertising,2020/11/09,390.40
Canada Post – Postes Canada,"Freight, Express and Cartage",2020/11/10,13.07
Directwest,Advertising,2020/11/12,453.00
Town of Macklin,Advertising,2020/11/12,600.00
Culligan Water,Spring Water,2020/11/20,24.25
SaskPower,Public Utilities,2020/11/23,236.13
Glorious Cleaning Service,Janitorial Services and Maintenance,2020/11/26,200.00
Jim Pattison Broadcast Group,Advertising,2020/11/29,100.00
Neilburg Recreation Board,Advertising,2020/11/30,200.00
Servus Credit Union,Banking Fees and Cheque Orders,2020/11/30,17.95
1537174 Alberta Ltd.,Office Rental and Related Fees,2020/12/01,1714.92
Canada Post Corporation,Postage and Parcel Post,2020/12/02,7.80
The Flag Shop,"Office Supplies, Stationery and Accessories",2020/12/02,159.80
VistaPrint,External Printing Costs,2020/12/03,14.21
VistaPrint,External Printing Costs,2020/12/03,106.52
VistaPrint,External Printing Costs,2020/12/03,111.87
Sasktel,Cable and Internet Fees,2020/12/04,168.96
VISTAPRINT,External Printing Costs,2020/12/04,47.94
VISTAPRINT,External Printing Costs,2020/12/04,156.25
NationBuilder,Professional Communication Services,2020/12/06,76.01
House of Commons – Chambre des communes,External Printing Costs,2020/12/09,168.00
Canada Post – Postes Canada,Courier Services,2020/12/14,17.85
Canada Post – Postes Canada,Courier Services,2020/12/14,30.15
Canada Post – Postes Canada,Postage and Parcel Post,2020/12/14,78.54
Cut Knife Athletic Club,Advertising,2020/12/14,500.00
1537174 Alberta Ltd.,Office Rental and Related Fees,2021/01/01,1714.92
