Supplier,Description,Date,Total
The Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/19,7.99
The Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/19,7.99
The Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/19,7.99
Dads Printing,"Office Supplies, Stationery and Accessories",2020/06/15,105.00
Dads Printing,Consumable Items for Constituency Offices (COVID19),2020/06/15,-1500.00
Dads Printing,Consumable Items for Constituency Offices (COVID19),2020/06/15,1395.00
The Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/19,7.99
The Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/19,7.99
SIDDOO PROPERTIES LTD.,Office Rental and Related Fees,2020/08/01,3241.66
The New York Times,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/12,8.00
The Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/19,7.99
Virgin Mobile Canada,Internet (COVID19),2020/08/26,40.23
TekSavvy Solutions Inc.,Internet (COVID19),2020/08/31,64.55
Rogers Wireless – Rogers sans-fil,Long Distance,2020/09/01,141.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,312.30
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/09/01,13.50
SIDDOO PROPERTIES LTD.,Office Rental and Related Fees,2020/09/01,3241.66
Virgin Mobile Canada,Internet (COVID19),2020/09/01,50.00
DreamHost Web Hosting,Web Site Hosting/Domain Name,2020/09/03,22.68
The New York Times,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/09,8.00
Shaw cablesystems G.P.,Cable and Internet Fees,2020/09/13,101.65
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/09/14,310.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/15,169.00
ZOOM VIDEO COMMUNICATIONS,Licence Renewal,2020/09/15,230.18
Canva,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/17,16.99
The Toronto Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/19,7.99
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/09/21,48.74
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/09/23,1.56
