Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/08/24,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,639.86
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,89.79
North Shore Sentinel,Advertising,2020/09/02,37.24
EASTLINK,Cable and Internet Fees,2020/09/17,199.95
"Northern Ontario Wires Inc. ",Public Utilities,2020/09/17,61.65
The Chapleau Express,Advertising,2020/09/17,33.60
Purolator,Postage and Parcel Post,2020/09/18,15.37
Cintas,Janitorial Services and Maintenance,2020/09/21,31.78
"Les Médias de l'épinette noire inc. ",Advertising,2020/09/23,108.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/23,267.00
EASTLINK,Cable and Internet Fees,2020/09/24,99.95
JJAM AGENCY CJWA FM STEREO,Advertising,2020/09/25,200.00
Purolator,Postage and Parcel Post,2020/09/25,24.56
Radio Communautaire Kapnord Inc.,Advertising,2020/09/27,96.00
Radio Communautaire Kapnord Inc.,Advertising,2020/09/27,200.00
"Vista Radio Ltd. ",Advertising,2020/09/27,90.00
"Vista Radio Ltd. ",Advertising,2020/09/27,108.00
"Vista Radio Ltd. ",Advertising,2020/09/27,102.00
"Girard, Suzanne",Janitorial Services and Maintenance,2020/09/30,140.00
"RNL Cleaning Services Inc. ",Janitorial Services and Maintenance,2020/09/30,200.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,2.24
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,32.00
Rogers Wireless – Rogers sans-fil,Long Distance,2020/10/01,8.25
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,98.04
The Manitoulin West Recorder,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/01,55.00
"Les Médias de l'épinette noire inc. ",Advertising,2020/10/03,96.00
Enbridge Union Gas,Public Utilities,2020/10/06,22.50
Reliance Home Comfort,Public Utilities,2020/10/06,304.74
Espanola Curling Club,Advertising,2020/10/08,108.00
Purolator,Postage and Parcel Post,2020/10/09,15.44
North Star Linen & Uniform Services Inc.,Janitorial Services and Maintenance,2020/10/15,54.60
The Chapleau Express,Advertising,2020/10/15,33.60
"Wyatt Image Solutions Ltd. ",Photocopier Rental and Related Costs,2020/10/15,22.82
EASTLINK,Cable and Internet,2020/10/17,199.95
Cintas,Janitorial Services and Maintenance,2020/10/19,31.78
"Northern Ontario Wires Inc. ",Public Utilities,2020/10/21,66.85
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/10/22,4.38
Purolator,Postage and Parcel Post,2020/10/23,11.00
EASTLINK,Cable and Internet Fees,2020/10/24,99.95
Peace of Mind Fire Prevention,"Safety Supplies (fire extinguishers, first aid kits)",2020/10/28,22.00
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2020/10/31,37.49
Grand & Toy,Bulk Paper Purchases,2020/10/31,39.00
Grand & Toy,Other Consumable Supplies From Stores,2020/10/31,14.32
RNL Cleaning Services Inc.,Janitorial Services and Maintenance,2020/10/31,200.00
Sue Girard,Janitorial Services and Maintenance,2020/10/31,140.00
1133266 ONTARIO INC.,Office Rental and Related Fees,2020/11/01,600.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,32.00
