Supplier,Description,Date,Total
Bell Mobility,Data Plans for iPad and PlayBook,2020/05/27,10.00
Costco Wholesale,"Office Supplies, Stationery and Accessories",2020/06/03,35.98
Bell Mobility,Data Plans for iPad and PlayBook,2020/06/27,10.00
Rogers,Cable and Internet,2020/06/28,91.17
IMPRIMERIE DUPUIS,Advertising,2020/07/07,172.50
"GREAT CANADIAN DOLLAR STORE ",Consumable Items for Constituency Offices (COVID19),2020/07/08,50.00
Bell Mobility,Data Plans for iPad and PlayBook,2020/07/27,10.00
Rogers,Cable and Internet,2020/07/28,81.12
Bell Aliant,Cable and Internet Fees,2020/08/03,99.95
GREAT CANADIAN DOLLAR STORE,Consumable Items for Constituency Offices (COVID19),2020/08/04,50.00
Bell Aliant,Cable and Internet Fees,2020/08/24,108.40
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/08/24,15.90
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,1066.43
Poste Canada,Postage and Parcel Post,2020/08/26,17.48
Poste Canada,"Office Supplies, Stationery and Accessories",2020/08/26,5.98
Bell Mobility,Data Plans for iPad and PlayBook,2020/08/27,10.00
Rogers,Cable and Internet,2020/08/28,80.22
Bell Aliant,Cable and Internet Fees,2020/09/03,99.95
Dollar Store,"Office Supplies, Stationery and Accessories",2020/09/10,4.00
Canada Post,Postage and Parcel Post,2020/09/15,35.15
BRUNSWICK NEWS,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/22,12.64
Bell Aliant,Cable and Internet Fees,2020/09/24,108.40
Bell Mobility,Data Plans for iPad and PlayBook,2020/09/27,10.00
Rogers,Cable and Internet,2020/09/28,82.96
"MCGRAW, JEAN-PAUL",Janitorial Services and Maintenance,2020/09/30,360.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,8.92
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,9.85
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,12.40
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,194.12
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/10/01,147.32
Bell Aliant,Cable and Internet,2020/10/03,99.95
Crystal Clear Water,Spring Water,2020/10/05,25.00
LE MONITEUR ACADIEN,Advertising,2020/10/06,75.00
Great Canadian Dollar Store,Consumable Items for Constituency Offices (COVID19),2020/10/09,40.00
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/10/13,18.98
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/10/15,11.98
STAPLES CANADA,"Office Supplies, Stationery and Accessories",2020/10/18,147.36
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/10/19,1630.00
ACADIE NOUVELLE LTÉE,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/20,293.39
Ivan's Camera (2017) Ltd,"Office Supplies, Stationery and Accessories",2020/10/23,104.97
Bell Aliant,Cable and Internet,2020/10/24,108.40
Brunwick News,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/26,12.64
Staples,"Office Supplies, Stationery and Accessories",2020/10/26,64.99
Bell Mobility,Data Plans for iPad and PlayBook,2020/10/27,10.00
Rogers,Cable and Internet Fees,2020/10/28,89.38
Staples,"Office Supplies, Stationery and Accessories",2020/10/28,72.96
Le Moniteur Acadien,Advertising,2020/10/29,60.00
Le Moniteur Acadien,Advertising,2020/10/29,60.00
"MCGRAW, JEAN-PAUL",Janitorial Services and Maintenance,2020/10/30,450.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,62.64
ARMSTRONG'S COMMUNICATION LTD.,Protection and Alarm Monitoring (Member's Office Budget),2020/11/01,45.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,256.12
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,16.20
LRL Property Investments Inc,Office Rental and Related Fees,2020/11/01,2000.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/11/01,149.29
Bell Aliant,Cable and Internet Fees,2020/11/03,99.95
Staples Canada,"Office Supplies, Stationery and Accessories",2020/11/07,38.99
Canada Post – Postes Canada,Courier Services,2020/11/09,7.49
ACADIE NOUVELLE LTÉE,Advertising,2020/11/10,450.00
JUMP+ MONCTON,"Office Supplies, Stationery and Accessories",2020/11/14,129.99
BRUNSWICK NEWS INC.,"Printed Matter, Books, Newspapers and Subscriptions",2020/11/17,12.64
LE MONITEUR ACADIEN,Advertising,2020/11/17,75.00
LE MONITEUR ACADIEN,Advertising,2020/11/17,75.00
Staples,"Office Supplies, Stationery and Accessories",2020/11/23,32.99
Bell Aliant,Cable and Internet Fees,2020/11/24,108.40
Bell Mobility,Data Plans for iPad and PlayBook,2020/11/28,10.00
"Rogers ",Cable and Internet,2020/11/28,122.32
"MCGRAW, JEAN-PAUL",Janitorial Services and Maintenance,2020/11/30,360.00
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/12/01,116.61
LRL Property Investments Inc,Office Rental and Related Fees,2020/12/01,2000.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/12/01,146.58
House of Commons – Chambre des communes,External Printing Costs,2020/12/09,608.17
ACADIE NOUVELLE LTÉE,"Printed Matter, Books, Newspapers and Subscriptions",2020/12/11,155.40
Canada Post – Postes Canada,Courier Services,2020/12/14,217.40
Canada Post – Postes Canada,Courier Services,2020/12/14,71.78
Canada Post – Postes Canada,Courier Services,2020/12/14,14.79
Canada Post – Postes Canada,Courier Services,2020/12/14,18.40
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/12/31,184.67
LRL Property Investments Inc,Office Rental and Related Fees,2021/01/01,2000.00
