Supplier,Description,Date,Total
Black Press Group Ltd.,Advertising,2020/07/12,665.22
Black Press Group Ltd.,Advertising,2020/07/19,441.57
Black Press Group Ltd.,Advertising,2020/07/19,223.65
Black Press Group Ltd.,Advertising,2020/08/09,441.57
Black Press Group Ltd.,Advertising,2020/08/09,223.65
Black Press Group Ltd.,Advertising,2020/08/16,441.57
Black Press Group Ltd.,Advertising,2020/08/16,223.65
Shaw cablesystems G.P.,Cable and Internet Fees,2020/08/24,166.92
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,103.25
Gabriola Sounder Media Inc.,Advertising,2020/09/02,256.46
Telus,Monthly Phone Service,2020/09/03,41.36
Shaw cablesystems G.P.,Cable and Internet,2020/09/08,120.91
Gabriola Sounder Media Inc.,Advertising,2020/09/09,272.92
"JYSK ",Office Furniture and Fixtures,2020/09/09,32.09
London Drugs,Consumable Items for Constituency Offices (COVID19),2020/09/09,24.00
CHLY 101.7FM (Radio Malaspina Society),Advertising,2020/09/11,283.50
Hub International Insurance,Constituency Office Insurance,2020/09/12,168.58
CostCo Wholesale,Consumable Items for Constituency Offices (COVID19),2020/09/14,6.99
Black Press Group Ltd.,Advertising,2020/09/20,657.57
Black Press Group Ltd.,Advertising,2020/09/20,280.25
Black Press Group Ltd.,Advertising,2020/09/20,284.85
Gabriola Sounder Media Inc.,Advertising,2020/09/23,264.70
"Meridian One Cap ",Photocopier Rental and Related Costs,2020/09/24,94.70
Shaw cablesystems G.P.,Cable and Internet Fees,2020/09/24,166.68
Shaw cablesystems G.P.,Cable and Internet Fees,2020/09/24,3.73
Black Press Group Ltd.,Advertising,2020/09/27,665.22
"Staples ",Voice Communication Equipment,2020/09/29,95.98
Black Press Group Ltd.,Advertising,2020/09/30,441.57
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,7.33
Vancouver Island Economic Alliance,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/30,20.00
Vancouver Island Economic Alliance,Other Training and Conferences,2020/09/30,249.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,30.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,0.20
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,97.25
TAKE 5,Advertising,2020/10/01,439.00
House of Commons – Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2020/10/02,3.30
Black Press Group Ltd.,Advertising,2020/10/04,223.65
"Rexall ","Office Supplies, Stationery and Accessories",2020/10/05,16.56
Gabriola Sounder Media Inc.,Advertising,2020/10/07,272.94
Canada Post,Postage and Parcel Post,2020/10/08,23.33
Shaw cablesystems G.P.,Cable and Internet,2020/10/08,120.91
Black Press Group Ltd.,Advertising,2020/10/11,942.42
Hub International Insurance,Constituency Office Insurance,2020/10/12,168.58
Facebook,Advertising,2020/10/13,50.00
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/10/15,15.02
Black Press Group Ltd.,Advertising,2020/10/18,665.22
Clippers Hockey Limited Partnership,Advertising,2020/10/21,2500.00
Shaw cablesystems G.P.,Cable and Internet Fees,2020/10/24,170.48
Black Press Group Ltd.,Advertising,2020/10/25,665.22
Meridian One Cap,Photocopier Rental and Related Costs,2020/10/27,94.70
Canada Post,Postage and Parcel Post,2020/10/28,1.37
Black Press Group Ltd.,Advertising,2020/10/31,455.92
A.L. SOTT (NANAIMO) INC.,Office Rental and Related Fees,2020/11/01,2700.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,40.40
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,30.00
Nanaimo Magazine,Advertising,2020/11/01,317.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,107.50
TAKE 5,Advertising,2020/11/03,439.00
Telus,Monthly Phone Service,2020/11/03,66.72
Thrifty Foods,Consumable Items for Constituency Offices (COVID19),2020/11/03,4.26
Gabriola Sounder Media Inc.,Advertising,2020/11/04,250.00
Gabriola Sounder Media Inc.,Advertising,2020/11/04,204.72
black press group ltd./Black Press Group Ltd.,Advertising,2020/11/08,220.25
black press group ltd./Black Press Group Ltd.,Advertising,2020/11/08,120.25
Shaw cablesystems G.P.,Cable and Internet,2020/11/08,120.91
Canada Post – Postes Canada,Courier Services,2020/11/09,11.03
Canada Post – Postes Canada,Courier Services,2020/11/09,28.65
Gabriola Sounder Media Inc.,Advertising,2020/11/11,196.48
Hub International Insurance,Constituency Office Insurance,2020/11/12,168.58
black press group ltd./Black Press Group Ltd.,Advertising,2020/11/15,665.22
London Drugs,Consumable Items for Constituency Offices (COVID19),2020/11/17,13.89
Gabriola Sounder Media Inc.,Advertising,2020/11/18,196.48
The Star,"Printed Matter, Books, Newspapers and Subscriptions",2020/11/18,131.25
House of Commons – Chambre des communes,Language Training,2020/11/19,27.64
Black Press Group Ltd.,Advertising,2020/11/22,665.22
Meridian OneCap Credit Corp.,Photocopier Rental and Related Costs,2020/11/24,94.70
Shaw cablesystems G.P./Shaw Direct,Cable and Internet Fees,2020/11/24,163.80
Canada Post,Postage and Parcel Post,2020/11/25,18.29
Gabriola Sounder Media Inc.,Advertising,2020/11/25,196.48
Black Press Group Ltd.,Advertising,2020/11/29,304.25
Anna Fisher,Research Consultants,2020/11/30,54.00
Staples,"Office Supplies, Stationery and Accessories",2020/11/30,42.02
A.L. SOTT (NANAIMO) INC.,Office Rental and Related Fees,2020/12/01,2700.00
Jillian Oliver,Writer,2020/12/02,100.00
Black Press Group Ltd.,Advertising,2020/12/06,665.22
London Drugs,"Office Supplies, Stationery and Accessories",2020/12/09,36.47
Canada Post – Postes Canada,Courier Services,2020/12/14,32.51
Canada Post – Postes Canada,Courier Services,2020/12/14,7.95
Canada Post – Postes Canada,Courier Services,2020/12/14,10.97
House of Commons – Chambre des communes,"Pins, Flags and Poles",2020/12/14,131.77
A.L. SOTT (NANAIMO) INC.,Office Rental and Related Fees,2021/01/01,2700.00
