Supplier,Description,Date,Total
Jean D'Arc Nova Scotia Company,"Office Rentals, Taxes, Common Area Fees",2020/09/01,85.00
Le Journal de la Rue,Advertising,2020/09/02,166.67
Bureau en gros,Appliances,2020/09/22,239.99
Gestion Georges Coulombe Inc.,Constit Office Lease Deposit,2020/09/22,51.75
Jean Coutu,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/23,254.68
CANVA,Licence Renewal,2020/09/24,16.99
La Presse Chinoise,Advertising,2020/09/25,82.35
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,44.39
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,5.06
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,193.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,54.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,30.00
Jean D'Arc Nova Scotia Company,"Office Rentals, Taxes, Common Area Fees",2020/10/01,85.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/10/01,147.32
Vidéotron ltée,Cable and Internet Fees,2020/10/02,175.95
Entretien Sou9,Janitorial Services and Maintenance,2020/10/06,85.00
Répit Providence,Advertising,2020/10/09,500.00
Métro Média,Advertising,2020/10/10,718.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/10/13,101.20
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/10/13,66.96
Softchoice,Licencing/Maintenance for Client Software Related to Distributed Computing Environment (DCE),2020/10/13,10.05
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/10/22,17.38
CANVA,Licence Renewal,2020/10/24,16.99
Facebook,Advertising,2020/10/25,30.00
Le Bouclier d'Athena,Advertising,2020/10/27,50.00
Radio Humsafar,Advertising,2020/10/30,40.00
Facebook,Advertising,2020/10/31,16.84
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,22.86
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,102.21
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,30.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,133.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,193.84
Jean D'Arc Nova Scotia Company,Office Rental and Related Fees,2020/11/01,3321.00
Journal HafteH,Advertising,2020/11/01,22.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/11/01,149.29
DESJARDINS ASSURANCES GENERALES INC.,Constituency Office Insurance,2020/11/02,1100.08
Druide Informatique Inc.,Licence Renewal,2020/11/05,129.95
Vidéotron ltée,Cable and Internet Fees,2020/11/06,175.95
Canada Post – Postes Canada,Courier Services,2020/11/09,7.73
Rona,"Office Supplies, Stationery and Accessories",2020/11/11,106.36
Métro Média,Advertising,2020/11/14,422.50
Canva,Licence Renewal,2020/11/24,16.99
Facebook,Advertising,2020/11/24,86.63
Serrurier Sirois Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/11/27,773.80
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/11/30,17.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/11/30,54.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/11/30,18.52
Communications Franc-Parler Inc.,Professional Communication Services,2020/12/01,2000.00
Jean D'Arc Nova Scotia Company,Office Rental and Related Fees,2020/12/01,3321.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/12/01,146.58
"Groupe SSE & Les Entreprises SSE INC, Le","Security Equipment, Intercom and Alarm System (Central Budget)",2020/12/03,515.00
Vidéotron ltée,Cable and Internet Fees,2020/12/04,175.95
Entretien Sou9,Janitorial Services and Maintenance,2020/12/08,85.00
House of Commons – Chambre des communes,External Printing Costs,2020/12/09,420.00
SEMAINIER PAROISSIAL,Advertising,2020/12/11,260.00
SEMAINIER PAROISSIAL,Advertising,2020/12/11,280.00
SEMAINIER PAROISSIAL,Advertising,2020/12/11,260.00
SEMAINIER PAROISSIAL,Advertising,2020/12/11,240.00
Canada Post – Postes Canada,Courier Services,2020/12/14,66.44
Canada Post – Postes Canada,Courier Services,2020/12/14,7.18
Canada Post – Postes Canada,Courier Services,2020/12/14,12.69
Canada Post – Postes Canada,Courier Services,2020/12/14,19.15
"CCHM, La",Advertising,2020/12/16,500.00
El Chasque Latino,Advertising,2020/12/16,29.42
Jean D'Arc Nova Scotia Company,Office Rental and Related Fees,2021/01/01,3321.00
