Supplier,Description,Date,Total
Mobile Snap,Voice Communication Equipment,2020/01/17,30.00
Start.ca,Internet (COVID19),2020/03/01,65.00
Adobe Inc.,Licence Renewal,2020/03/04,29.99
Start.ca,Internet (COVID19),2020/04/01,65.00
RICOH CANADA INC.,Photocopier Rental and Related Costs,2020/04/30,47.39
8300 WOODBINE CENTRE,"Office Rentals, Taxes, Common Area Fees",2020/05/01,2002.18
Start.ca,Internet (COVID19),2020/05/01,65.00
Bell,Internet (COVID19),2020/05/06,68.87
Start.ca,Internet (COVID19),2020/06/01,65.00
Bell,Internet (COVID19),2020/06/06,68.87
Adobe Inc.,Licence Renewal,2020/06/20,29.99
start.ca,Internet (COVID19),2020/07/01,65.00
Adobe Inc.,Licence Renewal,2020/07/04,29.99
Bell,Internet (COVID19),2020/07/06,68.87
RICOH CANADA INC.,Photocopier Rental and Related Costs,2020/07/31,36.06
Adobe Inc.,Licence Renewal,2020/08/04,29.99
Bell,Internet (COVID19),2020/08/06,68.87
York Region Standard Condominium Corp. # 1228,Public Meeting Room Rentals,2020/08/20,100.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,181.29
Rogers Wireless – Rogers sans-fil,Long Distance,2020/09/01,0.75
Adobe Inc.,Licence Renewal,2020/09/04,29.99
SNAPD MARKHAM,Advertising,2020/09/11,295.00
Bell,Cable and Internet Fees,2020/09/13,76.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/09/30,55.27
Grand & Toy,Bulk Paper Purchases,2020/09/30,1119.20
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,3.45
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/10/01,0.45
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,181.79
Adobe,Licence Renewal,2020/10/04,29.99
Bell,Cable and Internet Fees,2020/10/13,76.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/10/15,389.12
MailChimp,Professional Communication Services,2020/10/18,212.11
TORONTOHYE,Advertising,2020/10/19,450.00
RICOH CANADA INC.,Photocopier Rental and Related Costs,2020/10/30,2857.11
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,49.84
Grand & Toy,Cleaning Products,2020/10/31,13.74
Grand & Toy,Bulk Paper Purchases,2020/10/31,671.52
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,54.45
8300 WOODBINE CENTRE,Office Rental and Related Fees,2020/11/01,3030.75
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,171.79
4imprint Canada,Promotional Items,2020/11/04,1373.80
4imprint Canada,Freight,2020/11/04,238.30
Adobe,Licence Renewal,2020/11/04,29.99
Canada Post – Postes Canada,Courier Services,2020/11/09,5.50
Canada Post – Postes Canada,Courier Services,2020/11/09,7.13
Papersavers,Shredding,2020/11/09,55.00
Canada Post – Postes Canada,"Freight, Express and Cartage",2020/11/10,6.31
Zoom,Licence Renewal,2020/11/10,200.00
Bell,Cable and Internet Fees,2020/11/13,76.00
House of Commons – Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2020/11/17,666.82
MailChimp,Professional Communication Services,2020/11/18,224.71
SNAPD MARKHAM,Advertising,2020/11/19,295.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/11/27,390.02
Grand & Toy,Bulk Paper Purchases,2020/11/30,1074.16
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/11/30,17.45
8300 WOODBINE CENTRE,Office Rental and Related Fees,2020/12/01,3030.75
Papersavers,Shredding,2020/12/07,55.00
2151146 Ontario Inc.,External Printing Costs,2020/12/08,430.00
2151146 Ontario Inc.,External Printing Costs,2020/12/09,430.00
2151146 Ontario Inc.,External Printing Costs,2020/12/09,430.00
2151146 Ontario Inc.,External Printing Costs,2020/12/09,430.00
2151146 Ontario Inc.,External Printing Costs,2020/12/09,430.00
House of Commons – Chambre des communes,External Printing Costs,2020/12/09,5447.78
"UPS STORE, THE (RICHMOND HILL)",External Printing Costs,2020/12/09,430.00
"UPS STORE, THE (RICHMOND HILL)",External Printing Costs,2020/12/09,430.00
"UPS STORE, THE (RICHMOND HILL)",External Printing Costs,2020/12/09,430.00
Canada Post – Postes Canada,Courier Services,2020/12/14,12.69
8300 WOODBINE CENTRE,Office Rental and Related Fees,2021/01/01,3080.25
