Supplier,Description,Date,Total
Xplornet,Cable and Internet,2020/03/27,74.99
Primus,Internet (COVID19),2020/04/21,69.50
Xplornet,Internet (COVID19),2020/04/27,74.99
The Wall Street Journal,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/08,12.97
Primus,Internet (COVID19),2020/05/20,69.50
Xplornet,Internet (COVID19),2020/05/27,74.99
The Wall Street Journal,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/08,12.97
Haliburton County Echo,Advertising,2020/06/20,250.00
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/23,2.21
Xplornet,Internet (COVID19),2020/06/27,77.49
My Broadcasting Corp.,Advertising,2020/06/28,800.00
The Wall Street Journal,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/08,12.97
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/21,2.21
Xplornet,Internet (COVID19),2020/07/27,77.49
Haliburton County Echo,Advertising,2020/07/31,250.00
ROGERS,Internet (COVID19),2020/08/02,85.99
The Wall Street Journal,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/08,12.97
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/19,2.21
"COMPUTER MEDIA GROUP, THE",Other Chemical Products,2020/08/24,503.75
Xplornet,Internet (COVID19),2020/08/27,77.49
ROGERS,Internet (COVID19),2020/09/02,85.99
The Wall Street Journal,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/09,12.97
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/15,2.21
Tweed News Publishing Co. Ltd.,Advertising,2020/09/18,208.00
Cogeco Connexion inc.,Cable and Internet Fees,2020/09/20,181.90
Enbridge Gas Inc. (Union Gas),Public Utilities,2020/09/22,26.87
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/09/23,2.48
Napanee & District Chamber of Commerce,Advertising,2020/09/25,500.00
Xplornet,Internet (COVID19),2020/09/27,77.49
HYDRO ONE NETWORKS INC.,Public Utilities,2020/09/28,133.60
"4IMPRINT, INC.",Promotional Items,2020/09/29,1762.07
All about Signs,Signage,2020/09/29,250.00
Grand & Toy,Cleaning Products,2020/09/30,51.30
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/09/30,44.40
Grand & Toy,Bulk Paper Purchases,2020/09/30,44.70
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,2.04
Tweed News Publishing Co. Ltd.,Advertising,2020/09/30,-104.00
Tweed News Publishing Co. Ltd.,Advertising,2020/09/30,78.00
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/10/01,47.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,269.64
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,222.00
Ellena S,Consumable Items for Constituency Offices (COVID19),2020/10/01,10.00
ROGERS,Internet (COVID19),2020/10/02,94.99
Zoom Video Communications Inc.,Licence Renewal,2020/10/07,20.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/10/08,251.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/10/08,56.24
Jessalyn Prins Photography,Photography and Video Services,2020/10/09,250.00
Purolator,Courier Services,2020/10/09,28.11
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/10/12,169.00
"Kapwing, Inc.",Licence Renewal,2020/10/12,20.00
Haliburton County Echo,Advertising,2020/10/16,337.00
Costco Wholesale Gloucester 1362,Spring Water,2020/10/19,48.87
Alarm Systems,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/10/20,297.96
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/10/20,36.71
Cogeco Connexion inc.,Cable and Internet Fees,2020/10/20,181.90
Enbridge Gas Inc. (Union Gas),Public Utilities,2020/10/22,46.41
"NAPANEE BEAVER, THE",Advertising,2020/10/22,65.00
Napanee Blooms,Office Plants and Flowers,2020/10/23,87.00
Tweed News Publishing Co. Ltd.,Advertising,2020/10/23,189.00
My Broadcasting Corp.,Advertising,2020/10/25,199.00
My Broadcasting Corp.,Advertising,2020/10/25,599.00
Canada Post,Postage and Parcel Post,2020/10/26,11.69
Xplornet,Internet (COVID19),2020/10/27,77.49
HYDRO ONE NETWORKS INC.,Public Utilities,2020/10/28,120.35
Apple Store,Licence Renewal,2020/10/29,279.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/10/31,61.80
2416595 Ontario Limited,Office Rental and Related Fees,2020/11/01,2600.00
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/11/01,47.95
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/11/01,48.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,135.86
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,298.53
"Lucas, Shaune",Office Rental and Related Fees,2020/11/01,525.00
Apple News+,"Printed Matter, Books, Newspapers and Subscriptions",2020/11/03,12.99
Haliburton County Echo,Advertising,2020/11/04,65.00
"NAPANEE BEAVER, THE",Advertising,2020/11/05,199.00
Haliburton County Echo,Advertising,2020/11/06,90.00
Canada Post – Postes Canada,Courier Services,2020/11/09,15.47
Canada Post – Postes Canada,Courier Services,2020/11/09,7.24
Nathalie LaChance,External Language Training,2020/11/12,60.00
Backbone technology inc.,Web Site Hosting/Domain Name,2020/11/13,85.60
Haliburton County Echo,Advertising,2020/11/13,295.00
House of Commons – Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2020/11/17,44.86
Lowe's Companies Canada,Consumable Items for Constituency Offices (COVID19),2020/11/18,7.99
Cogeco Connexion inc.,Cable and Internet Fees,2020/11/20,181.90
Tweed News Publishing Co. Ltd.,Advertising,2020/11/20,214.00
Dollarama,"Office Supplies, Stationery and Accessories",2020/11/23,19.55
Enbridge Gas Inc.,Public Utilities,2020/11/23,71.05
Walmart Store 3122,"Office Supplies, Stationery and Accessories",2020/11/23,13.92
Walmart Canada Store 3122,"Office Supplies, Stationery and Accessories",2020/11/24,3.96
HYDRO ONE NETWORKS INC.,Public Utilities,2020/11/26,116.03
Xplornet,Internet (COVID19),2020/11/27,77.49
My Broadcasting Corp.,Advertising,2020/11/29,799.00
QUINTE BROADCASTING COMPANY LTD.,Advertising,2020/11/29,215.00
Vista Radio Ltd,Advertising,2020/11/29,175.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/11/30,109.25
2416595 Ontario Limited,Office Rental and Related Fees,2020/12/01,2600.00
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/12/01,47.95
Alarm Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/12/01,48.95
"Lucas, Shaune",Office Rental and Related Fees,2020/12/01,525.00
Royal Canadian Legion-Stirling-Branch 228,Office Plants and Flowers,2020/12/02,267.38
L&A Mutual Insurance Co.,Constituency Office Insurance,2020/12/03,783.00
Tweed News Publishing Co. Ltd.,Advertising,2020/12/04,105.00
House of Commons – Chambre des communes,External Printing Costs,2020/12/09,510.00
Tweed News Publishing Co. Ltd.,Advertising,2020/12/10,130.00
Trent Valley Distributors,Consumable Items for Constituency Offices (COVID19),2020/12/11,102.40
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/12/16,36.01
"NAPANEE BEAVER, THE",Advertising,2020/12/17,175.00
2416595 Ontario Limited,Office Rental and Related Fees,2021/01/01,2600.00
"Lucas, Shaune",Office Rental and Related Fees,2021/01/01,525.00
