Supplier,Description,Date,Total
O.U.R. Media Group Inc. (Coffee News),Advertising,2020/08/01,125.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/08/24,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,213.29
O.U.R. Media Group Inc. (Coffee News),Advertising,2020/09/01,120.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,73.79
Villager Publications,Advertising,2020/09/16,300.00
Villager Publications,Advertising,2020/09/16,140.00
Villager Publications,Advertising,2020/09/16,140.00
Villager Publications,Advertising,2020/09/16,140.00
Villager Publications,Advertising,2020/09/16,140.00
Best Buy,"Office Supplies, Stationery and Accessories",2020/09/19,90.00
INTEGRATED DIGITAL SOLUTIONS,Toner,2020/09/23,112.00
INTEGRATED DIGITAL SOLUTIONS,Toner,2020/09/23,198.00
INTEGRATED DIGITAL SOLUTIONS,Toner,2020/09/23,198.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/25,169.00
My Broadcasting Corp.,Advertising,2020/09/27,515.66
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/09/30,105.34
Grand & Toy,Cleaning Products,2020/09/30,27.48
"Lunn, Denise",Communications Officer,2020/09/30,70.00
Postmedia Network Inc.,Advertising,2020/09/30,260.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,8.71
Woolley Maintenance Services,Janitorial Services and Maintenance,2020/09/30,84.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,10.00
Entegrus Services Inc,Cable and Internet Fees,2020/10/01,220.00
O.U.R. Media Group Inc. (Coffee News),Advertising,2020/10/01,130.00
R.M.B. COMMUNICATION SYSTEMS,Protection and Alarm Monitoring (Member's Office Budget),2020/10/01,275.40
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,113.79
AYLMER EXPRESS Commercial Print Division,Advertising,2020/10/06,169.00
Momentuum BPO Inc.,Licence Renewal,2020/10/08,2200.00
YWCA St. Thomas Elgin,Other Training and Conferences,2020/10/08,5.00
Dollarama,"Office Supplies, Stationery and Accessories",2020/10/13,42.00
INTEGRATED DIGITAL SOLUTIONS,Toner,2020/10/16,30.26
Villager Publications,Advertising,2020/10/16,140.00
Villager Publications,Advertising,2020/10/16,140.00
Villager Publications,Advertising,2020/10/16,140.00
Villager Publications,Advertising,2020/10/16,140.00
Villager Publications,Advertising,2020/10/16,140.00
MailChimp,Professional Communication Services,2020/10/18,80.03
Simply Pure Water,Spring Water,2020/10/19,22.50
WalMart,"Office Supplies, Stationery and Accessories",2020/10/19,84.99
Fellows Fernlea Flowers,Gifts given as a matter of protocol,2020/10/23,89.00
My Broadcasting Corp.,Advertising,2020/10/25,219.00
My Broadcasting Corp.,Advertising,2020/10/25,515.74
Woolley Maintenance Services,Janitorial Services and Maintenance,2020/10/31,126.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,64.00
Entegrus Services Inc,Cable and Internet Fees,2020/11/01,220.00
NORTH AMERICA RAILWAY HALL OF FAME,Office Rental and Related Fees,2020/11/01,1520.00
O.U.R. Media Group Inc. (Coffee News),Advertising,2020/11/01,130.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,93.79
GoDaddy,Web Site Hosting/Domain Name,2020/11/02,45.23
Postmedia Network Inc.,Advertising,2020/11/07,250.00
Postmedia Network Inc.,Advertising,2020/11/07,100.00
Canada Post – Postes Canada,"Freight, Express and Cartage",2020/11/10,7.93
AYLMER EXPRESS Commercial Print Division,Advertising,2020/11/12,207.00
AYLMER EXPRESS Commercial Print Division,Advertising,2020/11/12,169.00
Villager Publications,Advertising,2020/11/16,140.00
Villager Publications,Advertising,2020/11/16,175.00
Villager Publications,Advertising,2020/11/16,175.00
Villager Publications,Advertising,2020/11/16,175.00
MailChimp,Professional Communication Services,2020/11/18,83.26
ZOOM,Licence Renewal,2020/11/18,20.00
My Broadcasting Corp.,Advertising,2020/11/29,2100.00
My Broadcasting Corp.,Advertising,2020/11/29,515.66
Grand & Toy,Office Furniture and Fixtures,2020/11/30,762.84
Grand & Toy,Digital Communication Equipment,2020/11/30,113.60
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/11/30,423.13
Grand & Toy,"Freight, Express and Cartage",2020/11/30,58.52
Grand & Toy,Bulk Paper Purchases,2020/11/30,44.70
"Lunn, Denise",Professional Communication Services,2020/11/30,122.50
Postmedia Network Inc.,Advertising,2020/11/30,250.00
"SIGNPOST, THE",Advertising,2020/11/30,242.24
Entegrus Services Inc,Cable and Internet Fees,2020/12/01,220.00
NORTH AMERICA RAILWAY HALL OF FAME,Office Rental and Related Fees,2020/12/01,1520.00
NORTH AMERICA RAILWAY HALL OF FAME,Office Rental and Related Fees,2021/01/01,1520.00
