Supplier,Description,Date,Total
House of Commons – Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2020/07/15,-10.26
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,1066.43
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/08/24,15.90
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/09/01,52.00
Shaw cablesystems G.P.,Cable and Internet Fees,2020/09/01,142.26
Northern Publishing Ltd.,Advertising,2020/09/03,150.00
Northern Publishing Ltd.,Advertising,2020/09/10,150.00
Shaw cablesystems G.P.,Cable and Internet Fees,2020/09/12,166.92
Northern Publishing Ltd.,Advertising,2020/09/17,150.00
Canada Post,Postage and Parcel Post,2020/09/18,3.19
Shaw cablesystems G.P.,Cable and Internet Fees,2020/09/22,142.26
Northern Publishing Ltd.,Advertising,2020/09/24,150.00
Canada Post,Courier Services,2020/09/30,61.53
"Hewitt, Stephen",Advertising,2020/09/30,1400.00
New Harvest Media Inc.,Service and/or Equipment Changes,2020/09/30,178.50
Prince George Office Systems,Photocopier Rental and Related Costs,2020/09/30,15.11
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/09/30,8.97
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/10/01,172.41
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/10/01,238.33
Mighty Peace Janitorial,Janitorial Services and Maintenance,2020/10/01,350.00
Nation Builder,Web Site Hosting/Domain Name,2020/10/01,687.93
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/10/01,52.00
Shaw cablesystems G.P.,Cable and Internet Fees,2020/10/01,142.26
Phillips Media,Advertising,2020/10/02,200.00
Staples,"Office Supplies, Stationery and Accessories",2020/10/08,20.31
Shaw cablesystems G.P.,Cable and Internet Fees,2020/10/12,166.92
Canada Post – Postes Canada,Postage and Parcel Post,2020/10/15,285.85
Ideal OS,Photocopier Rental and Related Costs,2020/10/16,68.37
Nation Builder,Web Site Hosting/Domain Name,2020/10/16,1602.85
Canada Post,Postage and Parcel Post,2020/10/20,41.54
Crayon Box Design & Promotion Ltd,Promotional Items,2020/10/20,5313.62
Shaw cablesystems G.P.,Cable and Internet Fees,2020/10/22,142.26
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/10/28,56.24
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/10/28,701.05
Tiger Office Plus,External Printing Costs,2020/10/29,181.90
Apple Pacific Centre,Computer Equipment,2020/10/30,480.43
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/11/01,273.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/11/01,127.51
Jordan Enterprises Ltd.,Office Rental and Related Fees,2020/11/01,1900.00
MARION RENTALS,Office Rental and Related Fees,2020/11/01,1000.00
Mighty Peace Janitorial,Janitorial Services and Maintenance,2020/11/01,350.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/11/01,52.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/11/02,169.00
Phillips Media,Advertising,2020/11/02,200.00
Northern Publishing Ltd.,Advertising,2020/11/05,125.00
Northern Publishing Ltd.,Advertising,2020/11/05,150.00
Rocky Mountain Goat Media Inc.,Advertising,2020/11/05,115.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/11/07,1630.00
Northern Publishing Ltd.,Advertising,2020/11/12,150.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/11/16,169.00
CDW Woodwork,Gifts given as a matter of protocol,2020/11/16,100.00
CDW Woodwork,Gifts given as a matter of protocol,2020/11/16,900.00
Omineca Minning Association,Advertising,2020/11/17,300.00
Ideal OS,Photocopier Rental and Related Costs,2020/11/18,68.37
House of Commons – Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2020/11/19,10.57
Northern Publishing Ltd.,Advertising,2020/11/19,150.00
Amazon,Voice Communication Equipment,2020/11/23,95.00
Amazon,Voice Communication Equipment,2020/11/23,399.00
Staples #303 Fort St. John,"Office Supplies, Stationery and Accessories",2020/11/24,53.49
Northern Publishing Ltd.,Advertising,2020/11/26,150.00
Prince George Office Systems,Photocopier Rental and Related Costs,2020/11/30,22.58
Jordan Enterprises Ltd.,Office Rental and Related Fees,2020/12/01,1900.00
MARION RENTALS,Office Rental and Related Fees,2020/12/01,1000.00
Phillips Media,Advertising,2020/12/02,200.00
Staples,Toner,2020/12/11,136.95
Canada Post – Postes Canada,Postage and Parcel Post,2020/12/14,292.55
Canada Post – Postes Canada,Courier Services,2020/12/14,13.71
Canada Post – Postes Canada,Courier Services,2020/12/14,29.23
Jordan Enterprises Ltd.,Office Rental and Related Fees,2021/01/01,1900.00
MARION RENTALS,Office Rental and Related Fees,2021/01/01,1000.00
