Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0208355,2020/08/26,2020/08/27,,,,,,,10.8000,0.0000,0.0000,0.0000,0,0,10.80
T0208355,2020/08/26,2020/08/27,"Moore, Tanya",Employee,To conduct constituency office business,2020/08/27,Wolfville,New Minas,,,,,,,
T0208355,2020/08/26,2020/08/27,"Moore, Tanya",Employee,To conduct constituency office business,2020/08/27,New Minas,Wolfville,,,,,,,
T0208355,2020/08/26,2020/08/27,"Moore, Tanya",Employee,To conduct constituency office business,2020/08/26,Wolfville,New Minas,,,,,,,
T0208355,2020/08/26,2020/08/27,"Moore, Tanya",Employee,To conduct constituency office business,2020/08/26,New Minas,Wolfville,,,,,,,
T0208159,2020/09/01,2020/09/30,,,,,,,585.0000,0.0000,0.0000,0.0000,0,0,585.00
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/21,Kentville,Lantz,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend a constituency or community event,2020/09/26,Lantz,Canning,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend a constituency or community event,2020/09/26,Canning,Lantz,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/28,Lantz,Windsor,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/28,Windsor,Lantz,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings with stakeholders about business of the House,2020/09/30,Lantz,Halifax,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings with stakeholders about business of the House,2020/09/30,Halifax,Lantz,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/15,Lantz,New Minas,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/15,New Minas,Lantz,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/17,Lantz,Coldbrook,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/17,Coldbrook,Lantz,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/18,Lantz,Shubenacadie,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/18,Shubenacadie,Lantz,,,,,,,
T0208159,2020/09/01,2020/09/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/09/21,Lantz,Kentville,,,,,,,
T0208356,2020/09/17,2020/09/17,,,,,,,17.1000,0.0000,0.0000,0.0000,0,0,17.10
T0208356,2020/09/17,2020/09/17,"Moore, Tanya",Employee,Attending event with Member,2020/09/17,Wolfville,Coldbrook,,,,,,,
T0208356,2020/09/17,2020/09/17,"Moore, Tanya",Employee,Attending event with Member,2020/09/17,Coldbrook,Wolfville,,,,,,,
T0206081,2020/10/01,2020/10/13,,,,,,,197.2600,0.0000,0.0000,0,0,0,197.26
T0206081,2020/10/01,2020/10/13,"Mitchell, Colin",Employee,To conduct constituency office business,2020/10/05,Wolfville,Lantz,,,,,,,
T0206081,2020/10/01,2020/10/13,"Mitchell, Colin",Employee,To conduct constituency office business,2020/10/05,Lantz,Wolfville,,,,,,,
T0206081,2020/10/01,2020/10/13,"Mitchell, Colin",Employee,Attending event with Member,2020/10/07,Wolfville,Elmsdale,,,,,,,
T0206081,2020/10/01,2020/10/13,"Mitchell, Colin",Employee,Attending event with Member,2020/10/07,Elmsdale,Wolfville,,,,,,,
T0208161,2020/10/01,2020/10/31,,,,,,,1012.0800,0.0000,18.4600,0.0000,0.0000,0,1030.54
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/01,Lantz,New Minas,,,,,,,
T0208357,2020/10/01,2020/10/31,,,,,,,108.2600,0.0000,0.0000,0.0000,0.0000,0,108.26
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To conduct constituency office business,2020/10/01,Wolfville,New Minas,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/06,Elmsdale,Lantz,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To attend a constituency or community event,2020/10/30,New Minas,Wolfville,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/07,Lantz,Goffs,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/07,Goffs,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/10,Lantz,Kentville,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/10,Kentville,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/13,Lantz,New Minas,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/13,New Minas,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/15,Lantz,Elmsdale,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/15,Elmsdale,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/17,Lantz,Rawdon Gold Mines,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/01,New Minas,Lantz,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To conduct constituency office business,2020/10/01,New Minas,Wolfville,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/17,Rawdon Gold Mines,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/16,Lantz,Shubenacadie,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/16,Shubenacadie,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/20,Lantz,Digby,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/20,Digby,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/23,Lantz,Gaspereau,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/23,Gaspereau,Lantz,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/02,Lantz,Enfield,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To attend meetings about constituency issues,2020/10/13,Wolfville,Port Williams,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/02,Enfield,Lantz,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To attend meetings about constituency issues,2020/10/13,Port Williams,Wolfville,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To conduct constituency office business,2020/10/19,Wolfville,Goffs,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/03,Lantz,Scots Bay,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend a constituency or community event,2020/10/03,Scots Bay,Lantz,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To conduct constituency office business,2020/10/19,Goffs,Wolfville,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To attend a constituency or community event,2020/10/29,Wolfville,New Minas,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend an event as a guest speaker,2020/10/05,Lantz,Aylesford,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To attend a constituency or community event,2020/10/29,New Minas,Wolfville,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend an event as a guest speaker,2020/10/05,Aylesford,Lantz,,,,,,,
T0208357,2020/10/01,2020/10/31,"Moore, Tanya",Employee,To attend a constituency or community event,2020/10/30,Wolfville,New Minas,,,,,,,
T0208161,2020/10/01,2020/10/31,"Blois, Kody",Member,To attend meetings about constituency issues,2020/10/06,Lantz,Elmsdale,,,,,,,
T0206907,2020/10/28,2020/10/30,,,,,,,14.6800,292.5400,67.9600,0.0000,0,0,375.18
T0206907,2020/10/28,2020/10/30,"Blois, Kody",Member,To attend a conference,2020/10/29,Wolfville,New Minas,,,,,,,
T0206907,2020/10/28,2020/10/30,"Blois, Kody",Member,To attend a conference,2020/10/29,New Minas,Wolfville,,,,,,,
T0206907,2020/10/28,2020/10/30,"Blois, Kody",Member,To attend a conference,2020/10/30,Wolfville,New Minas,,,,,,,
T0206907,2020/10/28,2020/10/30,"Blois, Kody",Member,To attend a conference,2020/10/30,New Minas,Wolfville,,,,,,,
T0208169,2020/11/01,2020/11/30,,,,,,,894.6300,0.0000,0.0000,0.0000,0,0,894.63
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/03,Lantz,Kentville,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/12,Lantz,Coldbrook,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/12,Coldbrook,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/13,Lantz,North Alton,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/13,North Alton,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/14,Lantz,Upper Nine Mile River,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/14,Upper Nine Mile River,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/21,Lantz,Port Williams,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/21,Port Williams,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend an event as a guest speaker,2020/11/27,Lantz,Greenwich,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend an event as a guest speaker,2020/11/27,Greenwich,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/03,Kentville,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/07,Lantz,North Alton,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/07,North Alton,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/08,Port Williams,Lantz,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/08,Noel Shore,Port Williams,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend meetings about constituency issues,2020/11/08,Lantz,Noel Shore,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/11,Lantz,Windsor,,,,,,,
T0208169,2020/11/01,2020/11/30,"Blois, Kody",Member,To attend a constituency or community event,2020/11/11,Windsor,Lantz,,,,,,,
T0208360,2020/11/09,2020/11/09,,,,,,,117.9000,0.0000,0.0000,0.0000,0.0000,0,117.90
T0208360,2020/11/09,2020/11/09,"Moore, Tanya",Employee,To conduct constituency office business,2020/11/09,Wolfville,Lower Sackville,,,,,,,
T0208360,2020/11/09,2020/11/09,"Moore, Tanya",Employee,To conduct constituency office business,2020/11/09,Lower Sackville,Mount Uniacke,,,,,,,
T0208360,2020/11/09,2020/11/09,"Moore, Tanya",Employee,To conduct constituency office business,2020/11/09,Mount Uniacke,Elmsdale,,,,,,,
T0208360,2020/11/09,2020/11/09,"Moore, Tanya",Employee,To conduct constituency office business,2020/11/09,Elmsdale,Enfield,,,,,,,
T0208360,2020/11/09,2020/11/09,"Moore, Tanya",Employee,To conduct constituency office business,2020/11/09,Enfield,Wolfville,,,,,,,
