Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0207785,2020/09/24,2020/11/25,,,,,,,76.1200,0.0000,0.0000,0,0.0000,0,76.12
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/09/24,Saint-Jérôme,Saint-Sauveur,,,,,,,
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/09/24,Saint-Sauveur,Saint-Jérôme,,,,,,,
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/10/04,Saint-Jérôme,Saint-Sauveur,,,,,,,
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/10/04,Saint-Sauveur,Saint-Jérôme,,,,,,,
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/11/10,Saint-Jérôme,Saint-Sauveur,,,,,,,
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/11/10,Saint-Sauveur,Saint-Jérôme,,,,,,,
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/11/25,Saint-Jérôme,Saint-Sauveur,,,,,,,
T0207785,2020/09/24,2020/11/25,"Dumoulin, Isabelle",Employee,To conduct constituency office business,2020/11/25,Saint-Sauveur,Saint-Jérôme,,,,,,,
T0205840,2020/10/01,2020/10/02,,,,,,,155.4400,0.0000,98.9300,1.0000,0,0,254.37
T0205840,2020/10/01,2020/10/02,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/01,Saint-Jérôme,Ottawa,,,,,,,
T0205840,2020/10/01,2020/10/02,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/02,Ottawa,Saint-Jérôme,,,,,,,
T0206000,2020/10/04,2020/10/06,,,,,,,155.4400,0.0000,197.8600,1.0000,0,0,353.30
T0206000,2020/10/04,2020/10/06,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/04,Saint-Jérôme,Ottawa,,,,,,,
T0206000,2020/10/04,2020/10/06,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/06,Ottawa,Saint-Jérôme,,,,,,,
T0206163,2020/10/08,2020/10/08,,,,,,,155.4400,0.0000,98.9300,1.0000,0,0,254.37
T0206163,2020/10/08,2020/10/08,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/08,Saint-Jérôme,Ottawa,,,,,,,
T0206163,2020/10/08,2020/10/08,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/08,Ottawa,Saint-Jérôme,,,,,,,
T0206510,2020/10/19,2020/10/22,,,,,,,155.4400,0.0000,395.7100,1.0000,0,0,551.15
T0206510,2020/10/19,2020/10/22,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/19,Saint-Jérôme,Ottawa,,,,,,,
T0206510,2020/10/19,2020/10/22,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/10/22,Ottawa,Saint-Jérôme,,,,,,,
T0206778,2020/10/26,2020/10/29,,,,,,,155.4400,0.0000,395.7100,1.0000,0,0,551.15
