Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0206154,2020/08/06,2020/10/02,,,,,,,162.0600,0.0000,0.0000,0.0000,0.0000,0,162.06
T0206154,2020/08/06,2020/10/02,"Mireault, Caroline",Employee,To conduct constituency office business,2020/08/06,Repentigny,Drummondville,,,,,,,
T0206154,2020/08/06,2020/10/02,"Mireault, Caroline",Employee,To conduct constituency office business,2020/08/06,Drummondville,Repentigny,,,,,,,
T0206154,2020/08/06,2020/10/02,"Mireault, Caroline",Employee,To conduct constituency office business,2020/09/29,Repentigny,Joliette,,,,,,,
T0206154,2020/08/06,2020/10/02,"Mireault, Caroline",Employee,To conduct constituency office business,2020/09/29,Joliette,Repentigny,,,,,,,
T0206154,2020/08/06,2020/10/02,"Mireault, Caroline",Employee,To conduct constituency office business,2020/10/02,Repentigny,Montréal,,,,,,,
T0206154,2020/08/06,2020/10/02,"Mireault, Caroline",Employee,To conduct constituency office business,2020/10/02,Montréal,Repentigny,,,,,,,
T0206368,2020/09/23,2020/10/08,,,,,,,572.8900,0.0000,967.7200,3.0000,0,0,1540.61
T0206368,2020/09/23,2020/10/08,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/09/23,Montréal,Ottawa,,,,,,,
T0206368,2020/09/23,2020/10/08,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/09/24,Ottawa,Montréal,,,,,,,
T0206368,2020/09/23,2020/10/08,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/09/28,Montréal,Ottawa,,,,,,,
T0206368,2020/09/23,2020/10/08,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/10/01,Ottawa,Montréal,,,,,,,
T0206368,2020/09/23,2020/10/08,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/10/05,Montréal,Ottawa,,,,,,,
T0206368,2020/09/23,2020/10/08,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/10/08,Ottawa,Montréal,,,,,,,
T0207156,2020/10/19,2020/11/06,,,,,,,580.8000,0.0000,1138.1200,3.0000,0,0,1718.92
T0207156,2020/10/19,2020/11/06,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/10/19,Montréal,Ottawa,,,,,,,
T0207156,2020/10/19,2020/11/06,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/10/22,Ottawa,Montréal,,,,,,,
T0207156,2020/10/19,2020/11/06,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/10/26,Montréal,Ottawa,,,,,,,
T0207156,2020/10/19,2020/11/06,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/10/30,Ottawa,Montréal,,,,,,,
T0207156,2020/10/19,2020/11/06,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/11/02,Montréal,Ottawa,,,,,,,
T0207156,2020/10/19,2020/11/06,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/11/06,Ottawa,Montréal,,,,,,,
200449076,2020/11/01,2020/11/30,,,,,,,0.0000,1785.1800,0.0000,0,0,0,1785.18
200449076,2020/11/01,2020/11/30,"Pauzé, Monique",Member,Secondary Residence,2020/11/01,GATINEAU,GATINEAU,,,,,,,
T0207903,2020/11/19,2020/11/26,,,,,,,385.6000,0.0000,510.3100,2.0000,0,0,895.91
T0207903,2020/11/19,2020/11/26,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/11/19,Montréal,Ottawa,,,,,,,
T0207903,2020/11/19,2020/11/26,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/11/20,Ottawa,Montréal,,,,,,,
T0207903,2020/11/19,2020/11/26,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/11/23,Montréal,Ottawa,,,,,,,
T0207903,2020/11/19,2020/11/26,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/11/26,Ottawa,Montréal,,,,,,,
T0208611,2020/11/30,2020/12/10,,,,,,,333.6600,0.0000,655.3600,1.5000,0,0,989.02
T0208611,2020/11/30,2020/12/10,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/12/08,Repentigny,Ottawa,,,,,,,
T0208611,2020/11/30,2020/12/10,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/12/10,Ottawa,Repentigny,,,,,,,
T0208611,2020/11/30,2020/12/10,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/11/30,Repentigny,Ottawa,,,,,,,
T0208611,2020/11/30,2020/12/10,"Pauzé, Monique",Member,To travel to/from constituency and Ottawa,2020/12/04,Ottawa,Repentigny,,,,,,,
200455977,2020/12/01,2020/12/31,,,,,,,0.0000,1785.1800,0.0000,0,0,0,1785.18
200455977,2020/12/01,2020/12/31,"Pauzé, Monique",Member,Secondary Residence,2020/12/01,GATINEAU,GATINEAU,,,,,,,
