Supplier,Description,Date,Total
Star Metroland Media,Advertising,2020/03/01,299.00
Star Metroland Media,Advertising,2020/03/22,349.00
Courageous K9,Advertising,2020/05/01,295.00
Town of Lincoln,Public Utilities,2020/10/04,11.94
Star Metroland Media,Advertising,2020/11/08,665.00
Lowes,Constituency Office Reconfigurations and Fixtures (COVID19),2020/11/18,186.61
Home Hardware,Consumable Items for Constituency Offices (COVID19),2020/11/27,34.99
Heritage Clubhouse Office,Advertising,2020/12/01,270.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/12/01,321.04
Bell,Internet (COVID19),2020/12/06,69.95
Newsnow,Advertising,2020/12/10,49.00
Dollarama,Cleaning Products,2020/12/11,4.25
Cogeco Connexion inc.,Cable and Internet Fees,2020/12/13,249.95
Clean Shine,Janitorial Services and Maintenance,2020/12/17,13.28
Newsnow,Advertising,2020/12/17,578.00
Purolator,Courier Services,2020/12/21,30.72
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/12/23,254.84
Home Hardware,Consumable Items for Constituency Offices (COVID19),2020/12/23,35.98
"VOICE, THE",Advertising,2020/12/23,193.72
BEATTIES,Photocopier Rental and Related Costs,2020/12/24,195.00
BEATTIES,Photocopier Rental and Related Costs,2020/12/24,195.00
Newsnow,Advertising,2020/12/24,449.00
BEATTIES,Photocopier Rental and Related Costs,2020/12/29,63.41
Port Colborne-Wainfleet Monthly,Advertising,2020/12/31,229.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,19.77
NWIC,Cable and Internet Fees,2021/01/01,158.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/01/01,366.04
NIAGARA PENINSULA ENERGY,Public Utilities,2021/01/05,202.70
Town of Lincoln,Public Utilities,2021/01/05,69.75
Bell,Internet (COVID19),2021/01/06,69.95
Newsnow,Advertising,2021/01/07,289.00
Cogeco Connexion inc.,Cable and Internet Fees,2021/01/13,251.41
Newsnow,Advertising,2021/01/21,289.00
Canada Post,Postage and Parcel Post,2021/01/22,11.69
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/01/25,304.82
BEATTIES,Photocopier Rental and Related Costs,2021/01/26,21.36
BEATTIES,Photocopier Rental and Related Costs,2021/01/27,195.00
Cole,Gifts given as a matter of protocol,2021/01/27,54.95
Coles,Gifts given as a matter of protocol,2021/01/27,90.00
Newsnow,Advertising,2021/01/28,289.00
"FERRERI, MIKE & MARY",Office Rental and Related Fees,2021/02/01,3223.24
NWIC,Cable and Internet Fees,2021/02/01,158.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/02/01,351.58
WalMart,Cleaning Products,2021/02/04,25.58
Bell,Internet (COVID19),2021/02/06,69.95
Newsnow,Advertising,2021/02/11,1445.00
Cogeco Connexion inc.,Cable and Internet Fees,2021/02/13,251.41
NIAGARA PENINSULA ENERGY,Public Utilities,2021/02/19,216.67
Dollarama,"Office Supplies, Stationery and Accessories",2021/02/21,6.32
BEATTIES,Photocopier Rental and Related Costs,2021/02/24,41.60
Costco,Consumable Items for Constituency Offices (COVID19),2021/02/28,15.98
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/02/28,1025.20
"FERRERI, MIKE & MARY",Office Rental and Related Fees,2021/03/01,3223.24
NWIC,Cable and Internet Fees,2021/03/01,158.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/03/01,345.58
Newsnow,Advertising,2021/03/04,289.00
Bell,Internet (COVID19),2021/03/06,69.95
Clean Shine,Janitorial Services and Maintenance,2021/03/08,13.28
Home Hardware,"Office Supplies, Stationery and Accessories",2021/03/10,10.47
Newsnow,Advertising,2021/03/11,289.00
Costco,Computer Equipment,2021/03/13,178.99
Home Hardware,Office Renovations,2021/03/15,248.97
Newsnow,Advertising,2021/03/18,289.00
Dollarama,Consumable Items for Constituency Offices (COVID19),2021/03/21,4.00
Cogeco Connexion inc.,Cable and Internet Fees,2021/03/23,249.95
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/03/23,333.96
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/03/24,261.46
WILLOW PRINTING AND PUBLISHING CO.,Advertising,2021/03/24,275.00
Newsnow,Advertising,2021/03/25,289.00
BEATTIES,Photocopier Rental and Related Costs,2021/03/26,144.27
BEATTIES,Photocopier Rental and Related Costs,2021/03/30,390.00
Zoom,Licence Renewal,2021/03/30,1004.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/03/31,58.20
NIAGARA PENINSULA ENERGY,Public Utilities,2021/03/31,162.91
TD,Banking Fees and Cheque Orders,2021/03/31,76.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,18.37
