Supplier,Description,Date,Total
Canada Post – Postes Canada,Postage and Parcel Post,2020/02/05,248.44
Société Historique et culturelle du Marigot Inc.,Advertising,2020/10/13,250.00
Home Hardware,"Office Supplies, Stationery and Accessories",2020/11/30,5.99
Home Hardware Ste-Julie,Moving Supplies,2020/11/30,5.99
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/12/02,120.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,43.96
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,0.20
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,129.84
Bell Mobility – Bell Mobilité,Long Distance,2020/12/03,0.55
TVR9,Advertising,2020/12/04,300.00
Centre de bénévolat st-basile-le-grand inc.,Advertising,2020/12/06,350.00
Purolator inc.,Courier Services,2020/12/11,25.60
Dollarama Sainte-Julie,"Office Supplies, Stationery and Accessories",2020/12/14,4.00
Entretien Ménager Michel Lefebvre,Janitorial Services and Maintenance,2020/12/16,65.00
Aztus,Web Site Hosting/Domain Name,2020/12/18,20.00
Journal de la Relève Inc,Advertising,2020/12/22,791.00
Journal de la Relève Inc,Advertising,2020/12/22,594.00
"Versants, Les",Advertising,2020/12/22,674.00
"Versants, Les",Advertising,2020/12/22,557.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/12/25,193.52
GraVité Média,Advertising,2020/12/26,1235.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,51.61
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,49.69
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,129.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,0.70
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,16.49
DESJARDINS ASSURANCES GÉNÉRALES INC.,Constituency Office Insurance,2021/01/01,672.00
Pro Max Pub,Advertising,2021/01/04,295.00
Entretien Ménager Michel Lefebvre,Janitorial Services and Maintenance,2021/01/07,65.00
Parrainage civique de la Vallée-du-Richelieu,Advertising,2021/01/07,100.00
Comité d'expression culturelle,Advertising,2021/01/08,250.00
Corporation de développement communautaire de Marguerite-D'Youville,Advertising,2021/01/13,150.00
HYDRO QUÉBEC,Public Utilities,2021/01/13,756.82
EXCEL Serrurier Organisationnel,"Security Equipment, Intercom and Alarm System (Central Budget)",2021/01/14,295.40
