Supplier,Description,Date,Total
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/05/01,88.43
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/05/01,139.80
Chapters,Gifts given as a matter of protocol,2020/09/30,21.00
Michaels,Gifts given as a matter of protocol,2020/09/30,19.99
rogers,Internet (COVID19),2020/10/05,84.99
Rogers,Internet (COVID19),2020/10/16,84.99
Bell,Internet (COVID19),2020/10/26,54.95
Iran Star Marketing Inc.,Advertising,2020/11/01,129.00
Fungke Images,Photography and Video Services,2020/11/05,999.99
Rogers,Internet (COVID19),2020/11/05,87.99
Vince Tech Studio,Photography and Video Services,2020/11/16,290.00
FIDO,Internet (COVID19),2020/11/18,47.05
Bellwether Technologies,Professional Communication Services,2020/11/24,3010.00
Bell,Internet (COVID19),2020/11/26,54.95
Rogers,Internet (COVID19),2020/11/27,87.99
"Han, Chloe",Office Relocation,2020/12/01,2000.00
Iran Star Marketing Inc.,Advertising,2020/12/01,129.00
Shangool Publication Inc,Advertising,2020/12/01,200.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,37.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,190.00
BELL CANADA,Cable and Internet Fees,2020/12/04,3.92
Rogers,Internet (COVID19),2020/12/05,87.99
Canada Post,Courier Services,2020/12/11,13.86
BELL CANADA,Cable and Internet Fees,2020/12/13,203.44
Amazon,"Office Supplies, Stationery and Accessories",2020/12/15,58.06
Facebook,Advertising,2020/12/16,89.91
FIDO,Internet (COVID19),2020/12/18,37.50
FIDO,Internet (COVID19),2020/12/22,45.35
Bell,Internet (COVID19),2020/12/26,54.95
"Astral Media Affichage, S.E.C.",Advertising,2020/12/27,1826.18
Mailchimp,Professional Communication Services,2020/12/27,68.80
Shangool Publication Inc,Advertising,2020/12/30,200.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,0.72
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,190.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,22.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/01/04,143.18
Qiushan Tan,Professional Communication Services,2021/01/04,203.00
Ray Printing Company Ltd,External Printing Costs,2021/01/04,160.00
rogers,Internet (COVID19),2021/01/05,87.99
Zoom,Licence Renewal,2021/01/10,87.00
Choice Communication (Canada) Ltd.,Advertising,2021/01/12,410.30
BELL CANADA,Data Communication Services (Charges for all leased non-voice telecommunications services),2021/01/13,159.13
Facebook,Advertising,2021/01/16,99.57
Dollar It,"Office Supplies, Stationery and Accessories",2021/01/18,3.08
