Supplier,Description,Date,Total
Midwestern Newspapers Corp.,Advertising,2019/12/31,450.00
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/02/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/03/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/04/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/05/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/06/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/07/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/08/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/09/01,639.45
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/10/01,639.45
CLINTON AND DISTRICT KINSMEN CLUB,Advertising,2020/10/20,400.00
Saugeen Times,Advertising,2020/10/21,292.50
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/11/01,639.45
"Kincardaine Record, The",Advertising,2020/11/06,150.00
Canada Post,Postage and Parcel Post,2020/11/09,12.27
"Elite Domestic Services ",Janitorial Services and Maintenance,2020/11/09,15.00
Town Crier,Advertising,2020/11/12,150.00
"Canada Post ",Postage and Parcel Post,2020/11/23,11.80
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,428.86
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/11/23,6.36
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/12/01,639.45
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/12/01,218.29
Eastlink,Cable and Internet Fees,2020/12/03,273.62
"Marketplace Magazine, The",Advertising,2020/12/03,182.50
Saugeen Times,Advertising,2020/12/04,292.50
Sobeys,Spring Water,2020/12/07,8.97
FARMERS FORUM,Advertising,2020/12/08,99.00
Eastlink,Cable and Internet Fees,2020/12/10,280.60
"Exeter Lakeshore Times-Advance ","Printed Matter, Books, Newspapers and Subscriptions",2020/12/10,60.00
"Elite Domestic Services ",Janitorial Services and Maintenance,2020/12/11,15.00
Excalibur Insurance Group Inc,Constituency Office Insurance,2020/12/11,1017.00
"Canada Post ",Postage and Parcel Post,2020/12/14,12.33
"Canada Post ",Gifts given as a matter of protocol,2020/12/16,21.95
CLINTON AND DISTRICT KINSMEN CLUB,Advertising,2020/12/16,500.00
"KINCARDINE INDEPENDENT, THE",Advertising,2020/12/16,153.00
Erth Power Corporation,Public Utilities,2020/12/17,67.99
Town Crier,Advertising,2020/12/17,140.00
Postmedia Network Inc.,Advertising,2020/12/19,1400.00
"Canada Post ",Postage and Parcel Post,2020/12/21,12.76
Dot Net Computers Inc.,Toner,2020/12/22,59.97
"Canada Post ",Postage and Parcel Post,2020/12/23,11.85
Dot Net Computers Inc.,Toner,2020/12/24,119.00
Dot Net Computers Inc.,Office Equipment,2020/12/24,750.00
North Huron Publishing Company Inc.,Advertising,2020/12/30,404.08
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/12/30,180.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/12/31,39.99
Grand & Toy,Cleaning products,2020/12/31,68.24
Midwestern Newspapers Corp.,Advertising,2020/12/31,675.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,12.12
Backbone technology inc.,Web Site Hosting/Domain Name,2021/01/01,140.00
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2021/01/01,639.45
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/01/01,218.29
Eastlink,Public Utilities,2021/01/03,273.62
An Extra Set of Hands,Janitorial Services and Maintenance,2021/01/04,245.00
