Supplier,Description,Date,Total
CH analytics inc.,Research Consultants,2020/10/01,2880.00
CQRDA,Advertising,2020/10/26,500.00
Societe Historique du Saguenay,Advertising,2020/11/17,315.00
Promotion Pêche,Advertising,2020/11/20,500.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,96.63
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,189.84
C.D.E PETIT SAGUENAY,Advertising,2020/12/16,330.00
Gingras Assurances,Constituency Office Insurance,2020/12/17,84.75
Saint-Vincent de Paul de Ferland-Boilleau,Advertising,2020/12/18,250.00
Saint-Vincent de Paul de Petit-Saguenay,Advertising,2020/12/18,250.00
Saint-Vincent de Paul de Rivière-Éternité,Advertising,2020/12/18,250.00
Saint-Vincent-de Saint-Félix-d'Otis,Advertising,2020/12/18,250.00
Coopérative Nationale de l'information Indépendante,Advertising,2020/12/19,250.00
"Conférence Saint-Jean-Baptiste, La",Advertising,2020/12/21,250.00
St-Vincent-de-Paul St-Luc,Advertising,2020/12/21,250.00
Service budgétaire La Baie,Advertising,2020/12/23,500.00
Coopérative Nationale de l'information Indépendante,Advertising,2020/12/26,250.00
10679313 Canada inc.,Advertising,2020/12/27,450.00
Bell Média Inc.,Advertising,2020/12/27,250.00
"CKAJ FM 92,5",Advertising,2020/12/27,616.00
Cogeco Media Inc.,Advertising,2020/12/27,903.20
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,10.24
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,189.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,161.61
Lachance & Gravel,Janitorial Services and Maintenance,2021/01/01,328.00
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2021/01/02,36.99
Bureau en Gros,"Office Supplies, Stationery and Accessories",2021/01/11,65.03
Lachance & Gravel,Janitorial Services and Maintenance,2021/01/15,1171.00
Gingras Assurances,Constituency Office Insurance,2021/01/17,84.75
Hydro Québec,Public Utilities,2021/01/19,1446.23
"Quotidien, Le","Printed Matter, Books, Newspapers and Subscriptions",2021/01/19,173.94
Facebook,Advertising,2021/01/21,62.07
Club Rotary Rive-Nord-du-Saguenay,Advertising,2021/01/22,250.00
