Supplier,Description,Date,Total
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/05/01,88.44
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/05/01,139.80
Bell Canada,Internet (COVID19),2020/06/17,40.00
Havelock Rail,Advertising,2020/07/02,123.00
Rocky Ridge,Spring Water,2020/08/04,18.00
Star Metroland Media,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/25,9.03
Star Metroland Media,"Printed Matter, Books, Newspapers and Subscriptions",2020/10/25,9.03
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/10/30,121.05
Star Metroland Media,Advertising,2020/11/15,299.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/11/23,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,214.44
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,17.84
Star Metroland Media,"Printed Matter, Books, Newspapers and Subscriptions",2020/11/25,9.03
Star Metroland Media,Advertising,2020/11/29,499.00
Merry Maids,Janitorial Services and Maintenance,2020/11/30,115.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/12/01,25.50
The Dummer News,Advertising,2020/12/01,85.00
The Matador,Janitorial Services and Maintenance,2020/12/02,15.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,248.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,30.00
LAKEFIELD HERALD LTD.,Advertising,2020/12/04,107.35
Apsley Backroads,Advertising,2020/12/07,142.00
Merry Maids,Janitorial Services and Maintenance,2020/12/07,115.00
Peterborough Distribution INc,Public Utilities,2020/12/08,88.42
CHEX Television (591987 B.C. Ltd),Advertising,2020/12/11,550.00
Cogeco Connexion inc.,Cable and Internet Fees,2020/12/13,223.94
CHEX Television (591987 B.C. Ltd),Photography and Video Services,2020/12/14,250.00
Merry Maids,Janitorial Services and Maintenance,2020/12/14,115.00
The Matador,Janitorial Services and Maintenance,2020/12/16,15.00
Star Metroland Media,Advertising,2020/12/20,299.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/12/22,119.62
Havelock Rail,Advertising,2020/12/22,123.00
Kawartha Promoter,Advertising,2020/12/22,70.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/12/22,4.76
Facebook,Advertising,2020/12/24,16.86
LAKEFIELD HERALD LTD.,Advertising,2020/12/24,65.00
Star Metroland Media,"Printed Matter, Books, Newspapers and Subscriptions",2020/12/25,9.03
Facebook,Advertising,2020/12/26,100.00
Bell Média Inc.,Advertising,2020/12/27,255.00
Bell Média Inc.,Advertising,2020/12/27,375.00
My Broadcasting Corp.,Advertising,2020/12/27,800.00
Grand & Toy,Cleaning products,2020/12/31,267.91
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/12/31,73.95
Grand & Toy,Other Consumable Supplies From Stores,2020/12/31,49.27
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,40.45
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,38.10
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,228.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,26.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/01/01,16.79
Irwin Sargent & Lowes Ltd.,Constituency Office Insurance,2021/01/04,1421.28
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/01/04,143.18
Peterborough Utilities,Public Utilities,2021/01/08,88.48
Cogeco Connexion inc.,Cable and Internet Fees,2021/01/13,227.11
Nexicom,Internet (COVID19),2021/01/16,48.00
Bell Canada,Internet (COVID19),2021/01/17,40.00
Facebook,Advertising,2021/01/24,33.14
Canada Post – Postes Canada,Courier Services,2021/01/25,7.92
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/01/25,129.97
Bell Média Inc.,Advertising,2021/01/31,195.00
Bell Média Inc.,Advertising,2021/01/31,375.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/02/01,144.63
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/02/01,16.79
RPM HOLDINGS INC.,Office Rental and Related Fees,2021/02/01,2600.00
Bell Mobility – Bell Mobilité,Long Distance,2021/02/02,3.60
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/02/02,228.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/02/02,49.00
Peterborough Utilities,Public Utilities,2021/02/05,79.75
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2021/02/11,121.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/02/11,26.24
LAKEFIELD HERALD LTD.,Advertising,2021/02/12,99.00
LAKEFIELD HERALD LTD.,Advertising,2021/02/12,55.00
Cogeco Connexion inc.,Cable and Internet Fees,2021/02/13,298.24
Star Metroland Media,Advertising,2021/02/14,299.00
Nexicom,Internet (COVID19),2021/02/16,48.00
TorStar,"Printed Matter, Books, Newspapers and Subscriptions",2021/02/21,59.99
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/02/22,169.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/02/22,169.26
Canada Post – Postes Canada,Courier Services,2021/02/23,7.70
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/02/23,216.11
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/02/23,3.18
