Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,213.92
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/11/23,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,428.86
CIBC,Banking Fees and Cheque Orders,2020/11/30,4.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/12/01,224.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,12.00
Star Metroland Media,Advertising,2020/12/06,400.00
COUNTERFORCE,Protection and Alarm Monitoring (Member's Office Budget),2020/12/12,60.00
DURHAM RADIO INC.,Advertising,2020/12/14,546.00
DURHAM RADIO INC.,Advertising,2020/12/14,252.00
ELEXICON ENERGY INC.,Public Utilities,2020/12/14,128.53
Star Metroland Media,Advertising,2020/12/15,649.00
Dropbox Inc.,Licence Renewal,2020/12/18,27.99
Apple Rideau Centre,Computer Equipment,2020/12/21,399.00
Apple Rideau Centre,Computer Equipment,2020/12/21,1249.00
Staples Canada,Postage and Parcel Post,2020/12/21,27.04
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/12/21,15.19
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/12/22,25.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/12/22,-209.00
The Standard News Corp.,Advertising,2020/12/24,450.00
"Linguistica360, Inc","Printed Matter, Books, Newspapers and Subscriptions",2020/12/27,12.90
Star Metroland Media,Advertising,2020/12/27,565.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Rental and Related Costs,2020/12/29,143.26
CIBC,Banking Fees and Cheque Orders,2020/12/31,4.00
Star Metroland Media,Advertising,2020/12/31,465.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,30.05
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,12.00
Rogers,Cable and Internet Fees,2021/01/01,207.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/01/01,245.75
Janet's Cleaning Service,Janitorial Services and Maintenance,2021/01/03,300.00
Rogers,Cable and Internet Fees,2021/01/04,106.71
Now Creative Design,Professional Communication Services,2021/01/06,531.25
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/01/08,169.00
Front Line Support- Ten Eight,Advertising,2021/01/13,250.00
Front Line Support- Ten Eight,Advertising,2021/01/13,250.00
Front Line Support- Ten Eight,Advertising,2021/01/13,250.00
House of Commons – Chambre des communes,Framing Done at the House of Commons,2021/01/13,169.68
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/01/14,134.57
Janet's Cleaning Service,Janitorial Services and Maintenance,2021/01/17,300.00
Dropbox Inc.,Licence Renewal,2021/01/18,27.99
ELEXICON ENERGY INC.,Public Utilities,2021/01/21,119.47
Canada Post – Postes Canada,Courier Services,2021/01/25,18.37
Canada Post – Postes Canada,Courier Services,2021/01/25,6.40
Canada Post – Postes Canada,Courier Services,2021/01/25,42.95
"Linguistica360, Inc. ","Printed Matter, Books, Newspapers and Subscriptions",2021/01/27,12.90
CIBC,Banking Fees and Cheque Orders,2021/01/29,4.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Rental and Related Costs,2021/01/29,138.52
Grand & Toy,Cleaning products,2021/01/31,8.99
Janet's Cleaning Service,Janitorial Services and Maintenance,2021/01/31,300.00
KINGBOWL HOLDINGS INC.,Office Rental and Related Fees,2021/02/01,2169.91
Rogers,Cable and Internet Fees,2021/02/01,207.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/02/01,309.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/02/02,12.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/02/02,32.00
Rogers,Cable and Internet Fees,2021/02/04,106.71
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/02/09,141.06
House of Commons / Chambre des communes,Framing Done at the House of Commons,2021/02/10,39.07
Janet's Cleaning Service,Janitorial Services and Maintenance,2021/02/13,300.00
ELEXICON ENERGY INC.,Public Utilities,2021/02/16,89.01
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/02/16,1601.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/02/16,1601.00
Dropbox Inc.,Licence Renewal,2021/02/18,27.99
Canada Post – Postes Canada,Courier Services,2021/02/23,8.50
Canada Post – Postes Canada,Courier Services,2021/02/23,30.40
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/02/23,432.22
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/02/23,6.36
CIBC,Banking Fees and Cheque Orders,2021/02/26,4.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Rental and Related Costs,2021/02/26,130.58
"Linguistica360, Inc.","Printed Matter, Books, Newspapers and Subscriptions",2021/02/27,12.90
Janet's Cleaning Service,Janitorial Services and Maintenance,2021/02/28,300.00
KINGBOWL HOLDINGS INC.,Office Rental and Related Fees,2021/03/01,2169.91
Now Creative Design,Web Site Hosting/Domain Name,2021/03/01,505.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/03/01,304.04
Rogers,Cable and Internet Fees,2021/03/03,207.99
Rogers,Cable and Internet,2021/03/04,106.71
Staples Canada,Consumable Items for Constituency Offices (COVID19),2021/03/09,210.83
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/03/11,149.63
Canada Post – Postes Canada,Courier Services,2021/03/12,10.66
COUNTERFORCE,Protection and Alarm Monitoring (Member's Office Budget),2021/03/12,60.00
Janet's Cleaning Service,Janitorial Services and Maintenance,2021/03/14,300.00
Dropbox Inc.,Licence Renewal,2021/03/18,27.99
ELEXICON ENERGY INC.,Public Utilities,2021/03/19,89.78
The Standard News Corp.,Advertising,2021/03/25,255.00
DURHAM RADIO INC.,Advertising,2021/03/26,252.00
DURHAM RADIO INC.,Advertising,2021/03/26,630.00
DURHAM RADIO INC.,Advertising,2021/03/26,532.00
Linguistica360 Inc.,"Printed Matter, Books, Newspapers and Subscriptions",2021/03/27,12.90
Janet's Cleaning Service,Janitorial Services and Maintenance,2021/03/28,300.00
Star Metroland Media,Advertising,2021/03/28,475.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/03/31,12.00
CIBC,Banking Fees and Cheque Orders,2021/03/31,4.00
House of Commons / Chambre des communes,Framing Done at the House of Commons,2021/03/31,84.81
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,5.40
ELEXICON ENERGY INC.,Public Utilities,2021/04/14,87.91
