Supplier,Description,Date,Total
Golden West Broadcasting Ltd.,Advertising,2020/10/31,860.30
"KYLE TIMES, THE",Advertising,2020/11/07,97.50
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,0.08
Innovation Credit Union,Banking Fees and Cheque Orders,2020/11/30,6.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,62.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,98.82
"JEM Creative Web Solutions ",Advertising,2020/12/03,94.34
Home Hardware,"Office Supplies, Stationery and Accessories",2020/12/07,15.23
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/12/08,121.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/12/08,56.24
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/12/08,56.23
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/12/14,169.00
"HERALD, THE",Advertising,2020/12/15,270.00
SASKTEL,Cable and Internet Fees,2020/12/16,179.51
Lela's Music Centre,Gifts given as a matter of protocol,2020/12/17,53.00
Cowtown Kids Toy & Candy,Gifts given as a matter of protocol,2020/12/18,47.73
"KYLE TIMES, THE",Advertising,2020/12/19,195.00
Your Southwest Media Group,Advertising,2020/12/20,165.00
Sputtergotch Toy Company,Gifts given as a matter of protocol,2020/12/21,58.23
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/12/22,17.90
Assiniboia Times,Advertising,2020/12/23,130.00
SaskAbilities,Shredding,2020/12/24,10.50
"Lowe's ",Office Plants and Flowers,2020/12/27,42.39
Winners HomeSense,Office Decor,2020/12/28,148.37
Assiniboia Times,Advertising,2020/12/30,260.00
Golden West Broadcasting Ltd.,Advertising,2020/12/31,403.00
Golden West Broadcasting Ltd.,Advertising,2020/12/31,670.00
Golden West Broadcasting Ltd.,Advertising,2020/12/31,1209.00
Golden West Broadcasting Ltd.,Advertising,2020/12/31,670.00
Golden West Broadcasting Ltd.,Advertising,2020/12/31,200.00
Golden West Broadcasting Ltd.,Advertising,2020/12/31,670.00
Gravelbourg Tribune,Advertising,2020/12/31,81.90
Innovation Credit Union,Banking Fees and Cheque Orders,2020/12/31,6.00
Medicine Hat News,Advertising,2020/12/31,280.56
Southwest Booster,Advertising,2020/12/31,555.00
The Shaunavon Standard,Advertising,2020/12/31,302.40
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,19.29
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,7.43
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,12.20
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,139.72
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2021/01/01,25.00
Jem Creative websolutions LTD,Advertising,2021/01/02,94.34
"HERALD, THE",Advertising,2021/01/12,270.00
Your Southwest Media Group,Advertising,2021/01/13,165.00
"KYLE TIMES, THE",Advertising,2021/01/16,195.00
SASKTEL,Cable and Internet Fees,2021/01/16,179.51
House of Commons – Chambre des communes,Language Training,2021/01/19,27.64
House of Commons – Chambre des communes,Language Training,2021/01/19,82.92
House of Commons – Chambre des communes,Language Training,2021/01/19,110.56
" Innovation credit union",Banking Fees and Cheque Orders,2021/01/31,6.00
Canva US Inc,Licence Renewal,2021/01/31,116.88
Golden West Broadcasting Ltd.,Advertising,2021/01/31,603.00
Golden West Broadcasting Ltd.,Advertising,2021/01/31,603.00
Golden West Broadcasting Ltd.,Advertising,2021/01/31,180.00
Golden West Broadcasting Ltd.,Advertising,2021/01/31,228.01
Golden West Broadcasting Ltd.,Advertising,2021/01/31,603.00
Golden West Broadcasting Ltd.,Advertising,2021/01/31,587.99
"JEM Creative Web Solutions ",Advertising,2021/01/31,94.34
Medicine Hat News,Advertising,2021/01/31,280.56
"SaskAbilities ",Shredding,2021/01/31,11.20
Southwest Booster,Advertising,2021/01/31,185.00
The Shaunavon Standard,Advertising,2021/01/31,100.80
Whiskey Jack Creek,Office Rental and Related Fees,2021/02/01,1800.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/02/02,94.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/02/02,4.50
"Canadian Tire ",Appliances,2021/02/04,83.83
W.W. Smith Insurance,Constituency Office Insurance,2021/02/09,590.42
"HERALD, THE",Advertising,2021/02/16,270.00
SASKTEL,Cable and Internet Fees,2021/02/16,179.51
Assiniboia Times,Advertising,2021/02/24,132.20
Gravelbourg Tribune,Advertising,2021/02/26,209.62
"KYLE TIMES, THE",Advertising,2021/02/27,195.00
Assiniboia Times,Advertising,2021/02/28,132.20
Golden West Broadcasting Ltd.,Advertising,2021/02/28,670.00
Golden West Broadcasting Ltd.,Advertising,2021/02/28,200.00
Golden West Broadcasting Ltd.,Advertising,2021/02/28,342.00
Golden West Broadcasting Ltd.,Advertising,2021/02/28,670.00
Golden West Broadcasting Ltd.,Advertising,2021/02/28,882.00
Golden West Broadcasting Ltd.,Advertising,2021/02/28,670.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/02/28,68.36
Grand & Toy,Cleaning products,2021/02/28,51.30
Grand & Toy,Cleaning products,2021/02/28,22.87
Innovation Credit Union,Banking Fees and Cheque Orders,2021/02/28,6.00
Medicine Hat News,Advertising,2021/02/28,287.28
Southwest Booster,Advertising,2021/02/28,370.00
The Shaunavon Standard,Advertising,2021/02/28,180.60
Whiskey Jack Creek,Office Rental and Related Fees,2021/03/01,1800.00
Your Southwest Media Group,Advertising,2021/03/01,330.00
"JEM Creative Web solutions ",Advertising,2021/03/02,94.34
Your Southwest Media Group,Advertising,2021/03/04,94.34
SASKTEL,Cable and Internet Fees,2021/03/16,179.51
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,94.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/03/31,22.60
Golden West Broadcasting Ltd.,Advertising,2021/03/31,220.00
Golden West Broadcasting Ltd.,Advertising,2021/03/31,737.00
Golden West Broadcasting Ltd.,Advertising,2021/03/31,737.00
Golden West Broadcasting Ltd.,Advertising,2021/03/31,737.00
Innovation Credit Union,Banking Fees and Cheque Orders,2021/03/31,6.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,279.02
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,21.45
