Supplier,Description,Date,Total
"Adobe Inc. ",Licence Renewal,2020/01/07,13.34
Adobe Inc.,Licence Renewal,2020/01/19,26.77
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/05/01,139.80
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/11/23,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,214.43
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/12/01,16.79
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,192.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,36.00
Mailchimp,Professional Communication Services,2020/12/20,101.88
Zoom,Licence Renewal,2020/12/22,140.00
Virgin Mobile,Internet (COVID19),2020/12/24,45.00
Culligan of Canada ULC,Spring Water,2020/12/31,23.85
Rogers,Cable and Internet Fees,2020/12/31,132.99
Rogers,Cable and Internet Fees,2020/12/31,132.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,70.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,11.02
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,212.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,30.40
Bell Mobility – Bell Mobilité,Long Distance,2021/01/01,3.50
eyesurf Corp,Internet (COVID19),2021/01/01,50.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/01/01,16.79
Rogers,Cable and Internet Fees,2021/01/10,257.94
Choice Communication (Canada) Ltd.,Advertising,2021/01/12,65.00
Squarespace,Web Site Hosting/Domain Name,2021/01/13,282.62
Squarespace,Web Site Hosting/Domain Name,2021/01/13,39.25
House of Commons – Chambre des communes,Language Training,2021/01/19,345.50
House of Commons – Chambre des communes,Language Training,2021/01/19,276.40
House of Commons – Chambre des communes,Language Training,2021/01/19,165.84
Mailchimp,Professional Communication Services,2021/01/20,68.16
Zoom Video Communications Inc,Licence Renewal,2021/01/22,73.00
Virgin Mobile,Internet (COVID19),2021/01/24,60.00
Canada Post – Postes Canada,Courier Services,2021/01/25,14.86
Canada Post – Postes Canada,Courier Services,2021/01/25,8.14
Rogers,Cable and Internet Fees,2021/01/31,132.99
A.C.F Property Inc.,Office Rental and Related Fees,2021/02/01,4081.00
Eyesurf Corp,Internet (COVID19),2021/02/01,50.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/02/01,16.79
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/02/02,192.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/02/02,16.00
Costco Wholesale,"Office Supplies, Stationery and Accessories",2021/02/02,89.99
Altima Telecom,Internet (COVID19),2021/02/10,49.95
Mailchimp,Professional Communication Services,2021/02/20,67.89
Amazon Canada,"Office Supplies, Stationery and Accessories",2021/02/21,26.99
Zoom Video Communications Inc.,Licence Renewal,2021/02/22,82.49
Canada Post – Postes Canada,Courier Services,2021/02/23,7.55
Canada Post – Postes Canada,Courier Services,2021/02/23,7.48
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/02/23,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/02/23,216.11
Virgin Mobile Canada,Internet (COVID19),2021/02/24,40.34
House of Commons / Chambre des communes,Language Training,2021/02/26,193.48
A.C.F Property Inc.,Office Rental and Related Fees,2021/03/01,4081.00
Eyessurf Corp,Internet (COVID19),2021/03/01,50.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/03/01,16.79
Rogers,Cable and Internet Fees,2021/03/03,132.99
Altima Telecom,Internet (COVID19),2021/03/13,49.95
Hi-Rise Newspaper,Advertising,2021/03/19,526.80
Mailchimp,Professional Communication Services,2021/03/20,67.00
Zoom,Licence Renewal,2021/03/22,73.00
Virgin Mobile,Internet (COVID19),2021/03/24,50.00
Bell Mobility – Bell Mobilité,Long Distance,2021/03/31,4.20
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/03/31,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/03/31,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/03/31,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,64.00
Culligan of Canada ULC,Spring Water,2021/03/31,23.85
House of Commons / Chambre des communes,Language Training,2021/03/31,207.30
House of Commons / Chambre des communes,Language Training,2021/03/31,193.48
Rogers,Cable and Internet Fees,2021/03/31,132.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,27.25
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,0.88
