Supplier,Description,Date,Total
RICOH,Photocopier Rental and Related Costs,2020/03/31,889.54
Town of Carleton Place,Public Utilities,2020/04/01,285.72
Yuan Yang,Constituency Office Rental and Related Fees,2020/04/01,2050.00
Rogers,Cable and Internet Fees,2020/04/08,207.99
Enbridge,Public Utilities,2020/04/09,514.23
Hydro One,Public Utilities,2020/04/14,84.96
Yuan Yang,Constituency Office Rental and Related Fees,2020/05/01,2050.00
Rogers,Cable and Internet Fees,2020/05/08,207.99
Hydro One,Public Utilities,2020/05/12,74.62
Yuan Yang,Constit Office Lease Deposit,2020/06/01,2050.00
Telus,Protection and Alarm Monitoring (Member's Office Budget),2020/06/02,150.00
Rogers,Cable and Internet Fees,2020/06/08,207.99
Hydro One,Public Utilities,2020/06/11,100.42
RICOH,Photocopier Rental and Related Costs,2020/06/30,116.03
RICOH,Photocopier Rental and Related Costs,2020/06/30,762.24
Yuan Yang,Constit Office Lease Deposit,2020/07/01,2050.00
Town of Carleton Place,Public Utilities,2020/07/03,285.72
Rogers,Cable and Internet Fees,2020/07/08,207.99
Hydro One,Public Utilities,2020/07/14,197.05
Yuan Yang,Constit Office Lease Deposit,2020/08/01,2050.00
Rogers,Cable and Internet Fees,2020/08/08,207.99
Enbridge,Public Utilities,2020/08/11,190.16
Hydro One,Public Utilities,2020/08/13,211.00
Yuan Yang,Constit Office Lease Deposit,2020/09/01,2050.00
Telus,Protection and Alarm Monitoring (Member's Office Budget),2020/09/02,150.00
Enbridge,Public Utilities,2020/09/10,70.14
Hydro One,Public Utilities,2020/09/14,394.25
RICOH,Photocopier Rental and Related Costs,2020/09/30,762.34
RICOH,Photocopier Rental and Related Costs,2020/09/30,725.48
Yuan Yang,Constit Office Lease Deposit,2020/10/01,2050.00
Town of Carleton Place,Public Utilities,2020/10/05,285.72
Rogers,Cable and Internet Fees,2020/10/08,207.99
Enbridge,Public Utilities,2020/10/09,107.51
Hydro One,Public Utilities,2020/10/13,74.32
Yuan Yan,Constit Office Lease Deposit,2020/11/01,2050.00
Rogers,Cable and Internet Fees,2020/11/08,225.99
Enbridge,Public Utilities,2020/11/10,185.15
Hydro One,Public Utilities,2020/11/12,83.96
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/11/23,76.04
Impression Printing,External Printing Costs,2020/11/24,3043.94
"SAMEK, E.H.",Subject Matter Expert,2020/11/30,2400.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/12/01,45.00
Yuan Yang,Constit Office Lease Deposit,2020/12/01,2050.00
Telus,Protection and Alarm Monitoring (Member's Office Budget),2020/12/02,150.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,112.00
Rogers,Cable and Internet Fees,2020/12/08,207.99
Enbridge,Public Utilities,2020/12/09,204.32
Hydro One,Public Utilities,2020/12/10,85.86
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/12/22,19.86
Shared Services Canada –  Services partagés Canada,Toll-free - Charges and Calls - Federal Government Departments,2020/12/22,0.02
"SAMEK, E.H.",Subject Matter Expert,2020/12/30,2400.00
Grand & Toy,Cleaning products,2020/12/31,76.82
Grand & Toy,Office Equipment,2020/12/31,789.57
"Morrison, Shawn",Subject Matter Expert,2020/12/31,6300.00
RICOH,Photocopier Rental and Related Costs,2020/12/31,1225.57
RICOH,Photocopier Rental and Related Costs,2020/12/31,762.24
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,47.53
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,112.00
Bell Mobility – Bell Mobilité,Long Distance,2021/01/01,23.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/01/01,40.00
Yuan Yang,Constit Office Lease Deposit,2021/01/01,2050.00
Town of Carleton Place,Public Utilities,2021/01/08,291.30
Enbridge,Public Utilities,2021/01/11,326.55
Hydro One,Public Utilities,2021/01/13,115.45
Canada Post – Postes Canada,Courier Services,2021/01/25,7.26
Shared Services Canada –  Services partagés Canada,Toll-free - Charges and Calls - Federal Government Departments,2021/01/28,0.01
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/01/31,12.05
"Morrison, Shawn",Subject Matter Expert,2021/01/31,6300.00
House of Commons – Chambre des communes,Purchase and Recovery of SecurID Cards,2021/02/01,100.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/02/01,40.00
"SAMEK, E.H.",Subject Matter Expert,2021/02/01,2400.00
Yuan Yang,"Office Rentals, Taxes, Common Area Fees",2021/02/01,2250.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/02/02,112.00
Bell Mobility – Bell Mobilité,Long Distance,2021/02/02,0.50
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/02/02,44.61
McDougall,Constituency Office Insurance,2021/02/05,594.00
Rogers,Cable and Internet Fees,2021/02/08,153.99
Enbridge,Public Utilities,2021/02/09,314.06
Hydro One,Public Utilities,2021/02/11,96.40
Canada Post – Postes Canada,Courier Services,2021/02/23,7.51
Canada Post – Postes Canada,Courier Services,2021/02/23,9.81
"Morrison, Shawn",Subject Matter Expert,2021/02/28,6300.00
"SAMEK, E.H.",Subject Matter Expert,2021/02/28,2400.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2021/03/01,89.75
Yuan Yang,"Office Rentals, Taxes, Common Area Fees",2021/03/01,2250.00
Telus - ADT,Protection and Alarm Monitoring (Member's Office Budget),2021/03/02,150.00
Rogers,Cable and Internet Fees,2021/03/08,207.99
