Supplier,Description,Date,Total
Rogers,Internet (COVID19),2020/02/29,75.00
Rogers,Internet (COVID19),2020/03/31,75.00
Rogers,Internet (COVID19),2020/04/30,109.99
Rogers,Internet (COVID19),2020/05/31,109.99
Rogers,Internet (COVID19),2020/06/30,109.99
Rogers,Internet (COVID19),2020/07/31,109.99
Staples Canada,"Office Supplies, Stationery and Accessories",2020/08/29,84.55
Rogers,Internet (COVID19),2020/08/31,109.99
Shaw,Cable and Internet,2020/09/16,85.00
Rogers,Internet (COVID19),2020/09/30,109.99
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/10/01,7.50
Carol de Klerk,Janitorial Services and Maintenance,2020/10/02,100.00
London Drugs,Toner,2020/10/07,144.97
London Drugs,"Office Supplies, Stationery and Accessories",2020/10/07,7.95
Amazon,Office Equipment,2020/10/12,23.80
"Shaw ",Cable and Internet,2020/10/16,85.00
"Carol de Klerk ",Janitorial Services and Maintenance,2020/10/26,100.00
Rogers,Internet (COVID19),2020/10/31,109.99
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/11/02,12.50
Shaw Cablesystems,Cable and Internet Fees,2020/11/03,140.00
Shaw,Cable and Internet,2020/11/16,85.00
Shaw Cablesystems GP,Cable and Internet Fees,2020/11/28,106.00
Rogers,Internet (COVID19),2020/11/30,109.99
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/12/01,12.50
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,8.00
Bell Mobility – Bell Mobilité,Long Distance,2020/12/03,0.85
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,139.64
Shaw Cablesystems,Cable and Internet Fees,2020/12/03,140.00
Carol de Klerk,Janitorial Services and Maintenance,2020/12/09,100.00
Carol de Klerk,Janitorial Services and Maintenance,2020/12/11,100.00
Shaw,Cable and Internet,2020/12/16,85.00
Shaw Cablesystems GP,Cable and Internet Fees,2020/12/28,106.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/12/31,192.83
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,33.16
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/12/31,32.86
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/01/01,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/01/01,132.44
Bell Mobility – Bell Mobilité,Long Distance,2021/01/01,0.75
Shaw Cablesystems,Cable and Internet Fees,2021/01/03,140.00
Royal Bank of Canada,Banking Fees and Cheque Orders,2021/01/04,17.50
Shaw cablesystems G.P.,Cable and Internet,2021/01/16,184.00
Rogers,Internet (COVID19),2021/01/20,109.99
Carol de Klerk,Janitorial Services and Maintenance,2021/01/31,100.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/01/31,225.36
Rogers,Internet (COVID19),2021/01/31,75.00
Fabmar Investments Ltd.,Office Rental and Related Fees,2021/02/01,4371.34
Royal Bank of Canada,Banking Fees and Cheque Orders,2021/02/01,15.00
Bell Mobility – Bell Mobilité,Long Distance,2021/02/02,0.50
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/02/02,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/02/02,132.44
"Shaw Cablesystems ",Cable and Internet Fees,2021/02/03,140.00
London Drugs,Toner,2021/02/08,263.51
KOALLO INC.,Web Site Hosting/Domain Name,2021/02/11,14.99
KOALLO INC.,Web Site Hosting/Domain Name,2021/02/17,29.98
Epoch Times,Advertising,2021/02/18,170.00
Canada Post – Postes Canada,Courier Services,2021/02/23,61.09
Canada Post – Postes Canada,Courier Services,2021/02/23,65.56
Canada Post – Postes Canada,Courier Services,2021/02/23,19.37
Carol de Klerk,Janitorial Services and Maintenance,2021/02/28,100.00
Rogers,Internet (COVID19),2021/02/28,75.00
Shaw Cablesystems GP,Cable and Internet Fees,2021/02/28,106.00
Fabmar Investments Ltd.,Office Rental and Related Fees,2021/03/01,4371.34
Shaw Cablesystems GP,Cable and Internet Fees,2021/03/03,140.00
Canada Post – Postes Canada,Postage and Parcel Post,2021/03/09,576.82
Shaw Cablesystems GP,Cable and Internet,2021/03/16,95.00
Canada Post – Postes Canada,Courier Services,2021/03/24,9.64
Carol de Klerk,Janitorial Services and Maintenance,2021/03/24,100.00
Shaw Cablesystems GP,Cable and Internet Fees,2021/03/28,106.00
Royal Bank of Canada,Banking Fees and Cheque Orders,2021/03/30,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,32.44
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/03/31,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,32.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,36.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/03/31,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2021/03/31,32.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,39.59
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/03/31,69.40
