Supplier,Description,Date,Total
videotron,Internet (COVID19),2020/03/13,49.95
Bell,Internet (COVID19),2020/03/20,69.95
filipino star,Advertising,2020/03/26,73.53
Vidéotron s.e.n.c,Internet (COVID19),2020/04/01,79.95
Vidéotron s.e.n.c,Internet (COVID19),2020/04/03,79.95
videotron,Internet (COVID19),2020/04/10,49.95
Tek Savvy,Internet (COVID19),2020/04/24,44.95
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/05/01,88.44
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/05/01,139.81
Vidéotron s.e.n.c,Internet (COVID19),2020/05/01,79.95
Ebox,Cable and Internet,2020/05/07,69.95
videotron,Internet (COVID19),2020/05/15,49.95
Bell,Internet (COVID19),2020/05/20,69.95
Bell,Internet (COVID19),2020/05/20,69.95
Bell,Internet (COVID19),2020/05/20,69.95
Bell,Internet (COVID19),2020/05/20,69.95
Bell,Internet (COVID19),2020/05/20,69.95
Tek Savvy,Internet (COVID19),2020/05/24,49.95
Vidéotron s.e.n.c,Internet (COVID19),2020/06/05,79.95
Ebox,Cable and Internet,2020/06/07,69.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/11,60.00
videotron,Internet (COVID19),2020/06/12,49.95
Tek Savvy,Internet (COVID19),2020/06/29,74.95
Vidéotron s.e.n.c,Internet (COVID19),2020/07/03,79.95
Ebox,Cable and Internet,2020/07/07,69.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/11,60.00
videotron,Internet (COVID19),2020/07/17,49.95
Tek Savvy,Internet (COVID19),2020/07/29,74.95
Vidéotron s.e.n.c,Internet (COVID19),2020/08/07,79.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/11,60.00
videotron,Internet (COVID19),2020/08/14,49.95
Tek Savvy,Internet (COVID19),2020/08/29,74.95
Vidéotron s.e.n.c,Internet (COVID19),2020/09/04,79.95
Vidéotron s.e.n.c,Internet (COVID19),2020/09/11,62.85
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/11,60.00
Revue Portelance Ass. Pompiers Montreal,Advertising,2020/09/21,285.00
Tek Savvy,Internet (COVID19),2020/09/29,84.95
Vidéotron s.e.n.c,Internet (COVID19),2020/10/02,79.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/10/11,60.00
Vidéotron s.e.n.c,Internet (COVID19),2020/10/16,69.95
Service d'affaires sud asiatiques sawid,Advertising,2020/11/01,35.29
Vidéotron s.e.n.c,Internet (COVID19),2020/11/02,60.00
EBOX Inc,Internet (COVID19),2020/11/07,54.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/11/11,60.00
Vidéotron s.e.n.c,Internet (COVID19),2020/11/13,69.95
Amazon,"Office Supplies, Stationery and Accessories",2020/11/29,32.90
Vidéotron s.e.n.c,Cable and Internet Fees,2020/11/29,128.95
GLENMORE CURLING CLUB,Advertising,2020/12/01,150.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/12/01,77.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/12/03,318.26
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/12/03,64.46
Voice of Community Publisher Co.,Advertising,2020/12/03,53.57
Home & Cook Sales,"Office Supplies, Stationery and Accessories",2020/12/05,75.15
EBOX Inc,Internet (COVID19),2020/12/07,54.95
Vidéotron s.e.n.c,Internet (COVID19),2020/12/11,69.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/12/11,60.00
librairie renaud-bray,"Office Supplies, Stationery and Accessories",2020/12/13,13.96
Cittadino Canadese,Advertising,2020/12/15,71.00
filipino star,Advertising,2020/12/15,73.53
journal el chasqui latino inc.,Advertising,2020/12/16,29.42
