Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0208909,2020/12/01,2020/12/12,,,,,,,88.2900,0.0000,68.8500,0.0000,0,0,157.14
T0208909,2020/12/01,2020/12/12,"Falk, Ted",Member,To support a parliamentary committee,2020/12/11,Friedensfeld,Winnipeg,,,,,,,
T0208909,2020/12/01,2020/12/12,"Falk, Ted",Member,To support a parliamentary committee,2020/12/11,Winnipeg,Friedensfeld,,,,,,,
T0208909,2020/12/01,2020/12/12,"Falk, Ted",Member,To support a parliamentary committee,2020/12/11,Friedensfeld,Friedensfeld,,,,,,,
T0209805,2021/01/31,2021/02/05,,,,,,,1674.8600,760.1700,574.7800,1.0000,0,0,3009.81
T0209805,2021/01/31,2021/02/05,"Falk, Ted",Member,To travel to/from constituency and Ottawa,2021/01/31,Winnipeg,Ottawa,,,,,,,
T0209805,2021/01/31,2021/02/05,"Falk, Ted",Member,To travel to/from constituency and Ottawa,2021/02/05,Ottawa,Winnipeg,,,,,,,
T0209827,2021/01/31,2021/02/06,,,,,,,1439.3900,0.0000,0.0000,1.0000,0,0,1439.39
T0209827,2021/01/31,2021/02/06,"Bredin, David",Employee,To travel to/from constituency and Ottawa,2021/01/31,Winnipeg,Ottawa,,,,,,,
T0209827,2021/01/31,2021/02/06,"Bredin, David",Employee,To travel to/from constituency and Ottawa,2021/02/06,Ottawa,Winnipeg,,,,,,,
T0210322,2021/02/19,2021/02/26,,,,,,,179.9800,0.0000,177.7000,0.0000,0,0,357.68
T0210322,2021/02/19,2021/02/26,"Falk, Ted",Member,To support a parliamentary committee,2021/02/19,Friedensfeld,Winnipeg,,,,,,,
T0210322,2021/02/19,2021/02/26,"Falk, Ted",Member,To support a parliamentary committee,2021/02/19,Winnipeg,Friedensfeld,,,,,,,
T0210322,2021/02/19,2021/02/26,"Falk, Ted",Member,To support a parliamentary committee,2021/02/19,Friedensfeld,Winnipeg,,,,,,,
T0210322,2021/02/19,2021/02/26,"Falk, Ted",Member,To support a parliamentary committee,2021/02/26,Friedensfeld,Winnipeg,,,,,,,
T0210322,2021/02/19,2021/02/26,"Falk, Ted",Member,To support a parliamentary committee,2021/02/26,Winnipeg,Friedensfeld,,,,,,,
T0210322,2021/02/19,2021/02/26,"Falk, Ted",Member,To support a parliamentary committee,2021/02/26,Friedensfeld,Winnipeg,,,,,,,
T0210291,2021/02/20,2021/02/28,,,,,,,1440.3200,0.0000,0.0000,1.0000,0,0,1440.32
T0210291,2021/02/20,2021/02/28,"Bredin, David",Employee,To travel to/from constituency and Ottawa,2021/02/20,Winnipeg,Ottawa,,,,,,,
T0210291,2021/02/20,2021/02/28,"Bredin, David",Employee,To travel to/from constituency and Ottawa,2021/02/28,Ottawa,Winnipeg,,,,,,,
T0210974,2021/03/12,2021/03/12,,,,,,,88.9900,0.0000,88.8500,0.0000,0,0,177.84
T0210974,2021/03/12,2021/03/12,"Falk, Ted",Member,To support a parliamentary committee,2021/03/12,Friedensfeld,Winnipeg,,,,,,,
T0210974,2021/03/12,2021/03/12,"Falk, Ted",Member,To support a parliamentary committee,2021/03/12,Winnipeg,Friedensfeld,,,,,,,
