Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0209831,2019/11/18,2019/11/26,,,,,,,2891.4400,0.0000,0.0000,1.0000,0,0,2891.44
T0209831,2019/11/18,2019/11/26,"Hutchings, Gudie",Member,To travel to/from constituency and Ottawa,2019/11/18,Deer Lake,Ottawa,,,,,,,
T0209831,2019/11/18,2019/11/26,"Hutchings, Gudie",Member,To travel to/from constituency and Ottawa,2019/11/21,Ottawa,Deer Lake,,,,,,,
T0209831,2019/11/18,2019/11/26,"Hutchings, Gudie",Member,To travel to/from constituency and Ottawa,2019/11/24,Deer Lake,Ottawa,,,,,,,
T0209831,2019/11/18,2019/11/26,"Hutchings, Gudie",Member,To travel to/from constituency and Ottawa,2019/11/26,Ottawa,Deer Lake,,,,,,,
T0209055,2020/12/01,2020/12/31,,,,,,,0.0000,1646.9900,0.0000,0,0,0,1646.99
T0209055,2020/12/01,2020/12/31,"Hutchings, Gudie",Member,Secondary Residence,2020/12/01,Ottawa,Ottawa,,,,,,,
T0209062,2020/12/03,2020/12/08,,,,,,,789.2100,0.0000,194.7300,0.5000,0.0000,0,983.94
T0209062,2020/12/03,2020/12/08,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2020/12/03,Little Rapids,Montreal,,,,,,,
T0209062,2020/12/03,2020/12/08,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2020/12/06,Montreal,Ottawa,,,,,,,
T0209062,2020/12/03,2020/12/08,"Hutchings, Gudie",Member,To travel to/from constituency and Ottawa,2020/12/08,Ottawa,Little Rapids,,,,,,,
T0209600,2021/01/01,2021/02/02,,,,,,,0.0000,1646.9900,0.0000,0,0,0,1646.99
T0209600,2021/01/01,2021/02/02,"Hutchings, Gudie",Member,Secondary Residence,2021/01/03,Ottawa,Ottawa,,,,,,,
T0209600,2021/01/01,2021/02/02,"Hutchings, Gudie",Member,Secondary Residence,2021/01/01,Ottawa,Ottawa,,,,,,,
T0209063,2021/01/04,2021/01/05,,,,,,,128.2100,0.0000,18.7900,0.0000,0,0,147.00
T0209063,2021/01/04,2021/01/05,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/04,Little Rapids,Deer Lake,,,,,,,
T0209063,2021/01/04,2021/01/05,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/05,Norris Point,Rocky Harbour,,,,,,,
T0209063,2021/01/04,2021/01/05,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/04,Deer Lake,Little Rapids,,,,,,,
T0209063,2021/01/04,2021/01/05,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/05,Rocky Harbour,Little Rapids,,,,,,,
T0209063,2021/01/04,2021/01/05,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/05,Little Rapids,Norris Point,,,,,,,
T0209268,2021/01/14,2021/01/14,,,,,,,145.6600,0.0000,64.9100,0.0000,0,0,210.57
T0209268,2021/01/14,2021/01/14,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/14,Little Rapids,Bonne Bay,,,,,,,
T0209268,2021/01/14,2021/01/14,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/14,Bonne Bay,Trout River,,,,,,,
T0209268,2021/01/14,2021/01/14,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/14,Trout River,Norris Point,,,,,,,
T0209268,2021/01/14,2021/01/14,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/14,Norris Point,Deer Lake,,,,,,,
T0209268,2021/01/14,2021/01/14,"Hutchings, Gudie",Member,To attend meetings about constituency issues,2021/01/14,Deer Lake,Little Rapids,,,,,,,
T0209414,2021/01/17,2021/01/19,,,,,,,492.1800,89.2900,250.4500,0.0000,0.0000,0,831.92
T0209414,2021/01/17,2021/01/19,"Cull, Dwayne",Employee,To attend a regional or provincial caucus meeting,2021/01/17,Saint Anthony,Corner Brook,,,,,,,
T0209359,2021/01/17,2021/01/19,,,,,,,99.0000,328.5300,167.1900,0.0000,0,0,594.72
T0209359,2021/01/17,2021/01/19,"Felix, Michelle",Employee,To attend a regional or provincial caucus meeting,2021/01/17,Stephenville,Corner Brook,,,,,,,
T0209414,2021/01/17,2021/01/19,"Cull, Dwayne",Employee,To attend a regional or provincial caucus meeting,2021/01/19,Corner Brook,Saint Anthony,,,,,,,
T0209359,2021/01/17,2021/01/19,"Felix, Michelle",Employee,To attend a regional or provincial caucus meeting,2021/01/17,Corner Brook,Stephenville,,,,,,,
T0209359,2021/01/17,2021/01/19,"Felix, Michelle",Employee,To attend a constituency or community event,2021/01/18,Corner Brook,Little Rapids,,,,,,,
T0209414,2021/01/17,2021/01/19,"Cull, Dwayne",Employee,To attend a regional or provincial caucus meeting,2021/01/18,Corner Brook,Deer Lake,,,,,,,
T0209414,2021/01/17,2021/01/19,"Cull, Dwayne",Employee,To attend a regional or provincial caucus meeting,2021/01/18,Deer Lake,Corner Brook,,,,,,,
T0209359,2021/01/17,2021/01/19,"Felix, Michelle",Employee,To attend a constituency or community event,2021/01/18,Little Rapids,Corner Brook,,,,,,,
T0209416,2021/01/18,2021/01/18,,,,,,,78.2400,0.0000,18.7900,0.0000,0,0,97.03
T0209416,2021/01/18,2021/01/18,"Rose, Georgina",Employee,To attend a regional or provincial caucus meeting,2021/01/18,Stephenville,Corner Brook,,,,,,,
T0209417,2021/01/18,2021/01/18,,,,,,,49.0400,0.0000,37.3700,0.0000,0,0,86.41
T0209417,2021/01/18,2021/01/18,"Hutchings, Gudie",Member,To drive Member to/from terminal,2021/01/18,Corner Brook,Deer Lake,,,,,,,
T0209417,2021/01/18,2021/01/18,"Hutchings, Gudie",Member,To drive Member to/from terminal,2021/01/18,Corner Brook,Deer Lake,,,,,,,
T0209417,2021/01/18,2021/01/18,"Sheppard, Tara",Employee,To drive Member to/from terminal,2021/01/18,Corner Brook,Deer Lake,,,,,,,
T0209417,2021/01/18,2021/01/18,"Hutchings, Gudie",Member,To drive Member to/from terminal,2021/01/18,Deer Lake,Corner Brook,,,,,,,
T0209416,2021/01/18,2021/01/18,"Rose, Georgina",Employee,To attend a regional or provincial caucus meeting,2021/01/18,Corner Brook,Stephenville,,,,,,,
T0209417,2021/01/18,2021/01/18,"Hutchings, Gudie",Member,To drive Member to/from terminal,2021/01/18,Deer Lake,Corner Brook,,,,,,,
T0209417,2021/01/18,2021/01/18,"Sheppard, Tara",Employee,To drive Member to/from terminal,2021/01/18,Deer Lake,Corner Brook,,,,,,,
T0210313,2021/02/01,2021/03/02,,,,,,,0.0000,1496.7300,0.0000,0,0,0,1496.73
T0210313,2021/02/01,2021/03/02,"Hutchings, Gudie",Member,Secondary Residence,2021/02/01,Ottawa,Ottawa,,,,,,,
T0210313,2021/02/01,2021/03/02,"Hutchings, Gudie",Member,Secondary Residence,2021/02/03,Ottawa,Ottawa,,,,,,,
T0211382,2021/03/01,2021/04/02,,,,,,,0.0000,1646.9900,0.0000,0,0,0,1646.99
T0211382,2021/03/01,2021/04/02,"Hutchings, Gudie",Member,Secondary Residence,2021/03/01,Ottawa,Ottawa,,,,,,,
T0211382,2021/03/01,2021/04/02,"Hutchings, Gudie",Member,Secondary Residence,2021/03/03,Ottawa,Ottawa,,,,,,,
