Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0209326,2020/09/23,2020/11/23,,,,,,,0.0000,142.4100,0.0000,0,0,0,142.41
T0209326,2020/09/23,2020/11/23,"Rogers, Churence",Member,Secondary Residence,2020/09/23,Ottawa,Ottawa,,,,,,,
T0209326,2020/09/23,2020/11/23,"Rogers, Churence",Member,Secondary Residence,2020/09/23,Ottawa,Ottawa,,,,,,,
T0210781,2020/10/14,2020/10/28,,,,,,,381.9800,0.0000,129.8200,0.0000,0,0,511.80
T0210781,2020/10/14,2020/10/28,"Crann, Barbara",Employee,To conduct constituency office business,2020/10/14,Fair Haven,Grand Bank,,,,,,,
T0210781,2020/10/14,2020/10/28,"Crann, Barbara",Employee,To conduct constituency office business,2020/10/14,Grand Bank,Fair Haven,,,,,,,
T0210781,2020/10/14,2020/10/28,"Crann, Barbara",Employee,To attend meetings about constituency issues,2020/10/28,Fair Haven,Old Perlican,,,,,,,
T0210781,2020/10/14,2020/10/28,"Crann, Barbara",Employee,To attend meetings about constituency issues,2020/10/28,Old Perlican,Fair Haven,,,,,,,
T0209288,2020/10/14,2020/12/13,,,,,,,691.1000,0.0000,213.5200,0.0000,0,0,904.62
T0209288,2020/10/14,2020/12/13,"Crann, Barbara",Employee,To conduct constituency office business,2020/12/13,Fair Haven,Grand Bank,,,,,,,
T0209288,2020/10/14,2020/12/13,"Crann, Barbara",Employee,To conduct constituency office business,2020/10/14,Fair Haven,Grand Bank,,,,,,,
T0209288,2020/10/14,2020/12/13,"Crann, Barbara",Employee,To attend meetings about constituency issues,2020/12/13,Fair Haven,Southport,,,,,,,
T0209288,2020/10/14,2020/12/13,"Crann, Barbara",Employee,To attend meetings about constituency issues,2020/12/13,Southport,Fair Haven,,,,,,,
