Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0208794,2020/12/17,2020/12/18,,,,,,,236.8400,0.0000,192.9900,1.0000,0,0,429.83
T0208794,2020/12/17,2020/12/18,"Paradis, Mathieu",Employee,Attending event with Member,2020/12/17,Ottawa,Québec,,,,,,,
T0208794,2020/12/17,2020/12/18,"Paradis, Mathieu",Employee,Attending event with Member,2020/12/18,Québec,Ottawa,,,,,,,
T0209531,2021/01/24,2021/01/29,,,,,,,418.1300,823.9400,515.8700,1.0000,0,0,1757.94
T0209531,2021/01/24,2021/01/29,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/01/24,Québec,Ottawa,,,,,,,
T0209531,2021/01/24,2021/01/29,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/01/29,Ottawa,Québec,,,,,,,
T0209793,2021/01/31,2021/02/05,,,,,,,418.1300,823.9400,515.8700,1.0000,0,0,1757.94
T0209793,2021/01/31,2021/02/05,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/01/31,Québec,Ottawa,,,,,,,
T0209793,2021/01/31,2021/02/05,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/02/05,Ottawa,Québec,,,,,,,
T0210446,2021/02/15,2021/02/19,,,,,,,418.1300,659.1500,419.3700,1.0000,0,0,1496.65
T0210446,2021/02/15,2021/02/19,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/02/15,Québec,Ottawa,,,,,,,
T0210446,2021/02/15,2021/02/19,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/02/19,Ottawa,Québec,,,,,,,
T0210447,2021/02/21,2021/02/26,,,,,,,418.1300,1318.3100,515.8700,1.0000,0,0,2252.31
T0210447,2021/02/21,2021/02/26,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/02/21,Québec,Ottawa,,,,,,,
T0210447,2021/02/21,2021/02/26,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/02/26,Ottawa,Québec,,,,,,,
T0210740,2021/03/07,2021/03/12,,,,,,,419.0600,1368.0400,560.8400,1.0000,0,0,2347.94
T0210740,2021/03/07,2021/03/12,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/03/07,Québec,Ottawa,,,,,,,
T0210740,2021/03/07,2021/03/12,"Vignola, Julie",Member,To travel to/from constituency and Ottawa,2021/03/12,Ottawa,Québec,,,,,,,
T0211384,2021/03/30,2021/04/01,,,,,,,281.5600,0.0000,289.4800,0,1.0000,0,571.04
T0211384,2021/03/30,2021/04/01,"Paradis, Mathieu",Employee,Attending event with Member,2021/03/30,Montréal,Québec,,,,,,,
T0211384,2021/03/30,2021/04/01,"Paradis, Mathieu",Employee,Attending event with Member,2021/04/01,Québec,Montréal,,,,,,,
