Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0208718,2020/10/28,2020/11/27,,,,,,,0.0000,26.7300,0.0000,0,0,0,26.73
T0208718,2020/10/28,2020/11/27,"Vis, Brad",Member,Secondary Residence,2020/10/28,Ottawa,Ottawa,,,,,,,
T0209357,2020/11/27,2020/12/27,,,,,,,0.0000,31.0000,0.0000,0,0,0,31.00
T0209357,2020/11/27,2020/12/27,"Vis, Brad",Member,Secondary Residence,2020/11/27,Ottawa,Ottawa,,,,,,,
T0208721,2020/12/06,2020/12/11,,,,,,,2394.0700,0.0000,444.9600,1.0000,0,0,2839.03
T0208721,2020/12/06,2020/12/11,"Vis, Brad",Member,To travel to/from constituency and Ottawa,2020/12/06,Mission,Ottawa,,,,,,,
T0208721,2020/12/06,2020/12/11,"Vis, Brad",Member,To travel to/from constituency and Ottawa,2020/12/11,Ottawa,Mission,,,,,,,
T0208720,2020/12/12,2020/12/12,,,,,,,525.7300,0.0000,0.0000,0.5000,0,0,525.73
T0208720,2020/12/12,2020/12/12,"Kesteven, Blair",Employee,To travel to/from constituency and Ottawa,2020/12/12,Ottawa,Mission,,,,,,,
T0210072,2020/12/27,2021/01/26,,,,,,,0.0000,28.9500,0.0000,0,0,0,28.95
T0210072,2020/12/27,2021/01/26,"Vis, Brad",Member,Secondary Residence,2020/12/31,Ottawa,Ottawa,,,,,,,
T0209042,2021/01/01,2021/01/31,,,,,,,0.0000,2042.9700,0.0000,0,0,0,2042.97
T0209042,2021/01/01,2021/01/31,"Vis, Brad",Member,Secondary Residence,2021/01/01,Ottawa,Ottawa,,,,,,,
T0211166,2021/01/26,2021/04/30,,,,,,,0.0000,2071.8800,0.0000,0,0,0,2071.88
T0211166,2021/01/26,2021/04/30,"Vis, Brad",Member,Secondary Residence,2021/01/26,Ottawa,Ottawa,,,,,,,
T0211166,2021/01/26,2021/04/30,"Vis, Brad",Member,Secondary Residence,2021/03/29,Ottawa,Ottawa,,,,,,,
T0209489,2021/02/01,2021/02/28,,,,,,,0.0000,2042.9700,0.0000,0,0,0,2042.97
T0209489,2021/02/01,2021/02/28,"Vis, Brad",Member,Secondary Residence,2021/02/01,Ottawa,Ottawa,,,,,,,
T0210242,2021/02/09,2021/02/11,,,,,,,506.4400,0.0000,106.5400,0.5000,0,0,612.98
T0210242,2021/02/09,2021/02/11,"Kang, Sukhpreet",Employee,To attend meetings about constituency issues,2021/02/09,Mission,Cache Creek,,,,,,,
T0210076,2021/02/10,2021/02/10,,,,,,,0.0000,0.0000,106.5400,0.0000,0,0,106.54
T0210076,2021/02/10,2021/02/10,"Vis, Brad",Member,To attend meetings about constituency issues,2021/02/10,Mission,Cache Creek,,,,,,,
T0210411,2021/02/27,2021/02/27,,,,,,,44.6800,0.0000,0.0000,0,0.0000,0,44.68
T0210411,2021/02/27,2021/02/27,"Vis, Brad",Member,To attend a constituency or community event,2021/02/27,Mission,Surrey,,,,,,,
T0210411,2021/02/27,2021/02/27,"Vis, Brad",Member,To attend a constituency or community event,2021/02/27,Surrey,Mission,,,,,,,
T0210412,2021/03/01,2021/03/01,,,,,,,28.4400,0.0000,0.0000,0.0000,0,0,28.44
T0210412,2021/03/01,2021/03/01,"Kang, Sukhpreet",Employee,To attend a constituency or community event,2021/03/01,Mission,Abbotsford,,,,,,,
T0210412,2021/03/01,2021/03/01,"Kang, Sukhpreet",Employee,To attend a constituency or community event,2021/03/01,Abbotsford,Mission,,,,,,,
T0210412,2021/03/01,2021/03/01,"Kang, Sukhpreet",Employee,To attend a constituency or community event,2021/03/01,Mission,Abbotsford,,,,,,,
T0210412,2021/03/01,2021/03/01,"Kang, Sukhpreet",Employee,To attend a constituency or community event,2021/03/01,Abbotsford,Mission,,,,,,,
T0210245,2021/03/01,2021/03/31,,,,,,,0.0000,2042.9700,0.0000,0,0,0,2042.97
T0210245,2021/03/01,2021/03/31,"Vis, Brad",Member,Secondary Residence,2021/03/01,Ottawa,Ottawa,,,,,,,
T0210465,2021/03/07,2021/03/07,,,,,,,598.8800,0.0000,69.9000,0.5000,0,0,668.78
T0210465,2021/03/07,2021/03/07,"Kesteven, Blair",Employee,To travel to/from constituency and Ottawa,2021/03/07,Mission,Ottawa,,,,,,,
T0210727,2021/03/07,2021/03/12,,,,,,,1721.7400,0.0000,475.8500,1.0000,0,0,2197.59
T0210727,2021/03/07,2021/03/12,"Vis, Brad",Member,To travel to/from constituency and Ottawa,2021/03/07,Mission,Ottawa,,,,,,,
T0210727,2021/03/07,2021/03/12,"Vis, Brad",Member,To travel to/from constituency and Ottawa,2021/03/12,Ottawa,Mission,,,,,,,
T0210809,2021/03/13,2021/03/13,,,,,,,55.8400,0.0000,0.0000,0.0000,0,0,55.84
T0210809,2021/03/13,2021/03/13,"Vis, Brad",Member,To attend meetings about constituency issues,2021/03/13,Mission,Harrison Hot Springs,,,,,,,
T0210809,2021/03/13,2021/03/13,"Vis, Brad",Member,To attend meetings about constituency issues,2021/03/13,Harrison Hot Springs,Mission,,,,,,,
T0211180,2021/03/17,2021/03/19,,,,,,,232.7600,0.0000,40.2400,0.5000,0,0,273.00
T0211180,2021/03/17,2021/03/19,"Rachel, Alison",Employee,To attend meetings about constituency issues,2021/03/17,Mission,Cache Creek,,,,,,,
