Supplier,Description,Date,Total
Canva US Inc,Computer Software and Licences,2021/01/31,116.88
0466545 BC LTD.,Office Rental and Related Fees,2021/04/01,887.50
Arico Distributors Ltd.,Office Rental and Related Fees,2021/04/01,1700.00
"Canadian Springs ",Spring Water,2021/04/01,55.87
Four Star Communications Inc.,Professional Communication Services,2021/04/01,213.10
Paladin Technologies,Protection and Alarm Monitoring (Member's Office Budget),2021/04/01,84.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,127.54
"Zoom Video Communications Inc. ",Computer Software and Licences,2021/04/01,21.00
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/04/05,38.60
Shaw Business,Constituency Office Internet,2021/04/05,142.26
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/04/06,19.75
Shaw Business,Constituency Office Internet,2021/04/06,82.73
Westside Post,Advertising,2021/04/07,150.00
Shaw Business,Constituency Office Internet,2021/04/12,142.26
The Times of Canada,Advertising,2021/04/13,40.00
Shaw Business,Constituency Office Internet,2021/04/16,144.91
LFX Associates Inc,Research Consultants,2021/04/20,4680.00
Square Technologies Inc.,Web Site Hosting/Domain Name,2021/04/21,144.00
Zoom Video Communications Inc.,Computer Software and Licences,2021/04/25,21.00
Fortis BC,Public Utilities,2021/04/26,94.43
Shawna Kallstrom,Janitorial Services and Maintenance,2021/04/28,200.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,133.60
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,18.00
Black Press Group Ltd.,Advertising,2021/04/30,134.25
Black Press Group Ltd.,Advertising,2021/04/30,314.25
Grand & Toy,Cleaning Products,2021/04/30,32.09
MERRITT HERALD,Advertising,2021/04/30,187.00
Okanagan Paper Shredding,Shredding,2021/04/30,60.00
0466545 BC LTD.,Office Rental and Related Fees,2021/05/01,887.50
Arico Distributors Ltd.,Office Rental and Related Fees,2021/05/01,1700.00
Canadian Springs,Spring Water,2021/05/01,25.93
Four Star Communications Inc.,"Temporary, Administrative Services",2021/05/01,215.35
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,158.25
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/04,24.95
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/04,14.37
Shaw Business,Constituency Office Internet,2021/05/05,142.26
Westside Post,Advertising,2021/05/05,150.00
Shaw Business,Constituency Office Cable,2021/05/06,67.01
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/09,46.51
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/09,22.95
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/09,36.23
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/09,18.90
Shaw Business,Constituency Office Internet,2021/05/12,142.26
Shaw Business,Constituency Office Internet,2021/05/16,63.56
Shaw Business,Monthly Phone Service,2021/05/16,14.73
Shaw Business,Constituency Office Cable,2021/05/16,52.97
Canada Post – Postes Canada,Courier Services,2021/05/17,9.33
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/23,42.28
Fortis BC,Public Utilities,2021/05/26,28.85
Shawna Kallstrom,Janitorial Services and Maintenance,2021/05/26,200.00
BC Hydro,Public Utilities,2021/05/28,144.67
Black Press Media,Advertising,2021/05/31,140.50
Grand & Toy,Cleaning Products,2021/05/31,43.81
MERRITT HERALD,Advertising,2021/05/31,504.10
0466545 BC LTD.,Office Rental and Related Fees,2021/06/01,887.50
Arico Distributors Ltd.,Office Rental and Related Fees,2021/06/01,1700.00
Four Star Communications Inc.,Professional Communication Services,2021/06/01,206.85
Shaw Business,Constituency Office Internet,2021/06/05,142.26
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,52.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,135.98
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/06/30,6.97
Grand & Toy,Cleaning Products,2021/06/30,145.34
0466545 BC LTD.,Office Rental and Related Fees,2021/07/01,887.50
Arico Distributors Ltd.,Office Rental and Related Fees,2021/07/01,1700.00
