Supplier,Description,Date,Total
Coleen Bowman CPA Prof. Corp. LTD,Office Rental and Related Fees,2021/04/01,350.00
FDG Developments Inc,Office Rental and Related Fees,2021/04/01,3653.53
Gibbins Holdings Inc.,Office Rental and Related Fees,2021/04/01,530.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/04/01,40.32
PA SOFTWARE INC,Repair of Computer Equipment and Peripherals,2021/04/01,76.80
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,16.79
THINK: Future of Work ..Conference 2021,Other Training and Conferences,2021/04/01,188.73
Town of Bruno,Advertising,2021/04/05,10.00
RMREVIEW,Advertising,2021/04/06,60.00
A Guide to Warman,Advertising,2021/04/07,360.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/04/08,40.32
NOR TEC LINEN SERVICES,Janitorial Services and Maintenance,2021/04/08,21.08
COOP,Spring Water,2021/04/14,21.96
Humboldt Journal,Advertising,2021/04/14,170.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/04/15,40.32
SASKTEL,Constituency Office Internet,2021/04/16,114.95
SASKTEL,Constituency Office Internet,2021/04/16,114.95
SASKTEL,Constituency Office Cable,2021/04/16,79.35
SASKTEL,Constituency Office Internet,2021/04/16,114.95
Humboldt Journal,Advertising,2021/04/21,85.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/04/22,40.32
Saskatoon Media Group,Advertising,2021/04/25,449.96
ROSETOWN PUBLISHING CO. LTD.,Advertising,2021/04/26,183.20
INDEPENDENT PRINTERS LTD.,Advertising,2021/04/29,40.32
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,130.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,42.00
Golden West Broadcasting Ltd.,Advertising,2021/04/30,250.00
Golden West Broadcasting Ltd.,Advertising,2021/04/30,125.00
Golden West Broadcasting Ltd.,Advertising,2021/04/30,125.00
Humboldt Journal,Advertising,2021/04/30,85.00
JENSON PUBLISHING,Advertising,2021/04/30,135.00
Coleen Bowman CPA Prof. Corp. LTD,Office Rental and Related Fees,2021/05/01,350.00
FDG Developments Inc,Office Rental and Related Fees,2021/05/01,3653.53
Gibbins Holdings Inc.,Office Rental and Related Fees,2021/05/01,530.00
RMREVIEW,Advertising,2021/05/01,20.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,16.23
LONDON DRUGS,"Office Supplies, Stationery and Accessories",2021/05/03,80.55
"THINK: FUTURE of Work, Innovation & Learning Conference 2021",Other Training and Conferences,2021/05/03,283.10
Martensville Messenger,Advertising,2021/05/04,175.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/05/06,40.32
NOR TEC LINEN SERVICES,Janitorial Services and Maintenance,2021/05/06,21.08
"WAKAW RECORDER, THE",Advertising,2021/05/10,300.00
Humboldt Journal,Advertising,2021/05/12,85.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/05/13,40.32
SASKTEL,Constituency Office Internet,2021/05/16,114.95
SASKTEL,Constituency Office Internet,2021/05/16,114.95
SASKTEL,Constituency Office Cable,2021/05/16,79.35
SASKTEL,Constituency Office Internet,2021/05/16,114.95
Canada Post – Postes Canada,Courier Services,2021/05/17,12.22
Humboldt Journal,Advertising,2021/05/19,85.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/05/21,40.32
Humboldt Journal,Advertising,2021/05/26,85.00
Martensville Messenger,Advertising,2021/05/26,140.00
INDEPENDENT PRINTERS LTD.,Advertising,2021/05/27,40.32
Golden West Broadcasting Ltd.,Advertising,2021/05/31,600.00
Golden West Broadcasting Ltd.,Advertising,2021/05/31,600.00
Humboldt Journal,Advertising,2021/05/31,134.50
JENSON PUBLISHING,Advertising,2021/05/31,108.00
ROSETOWN PUBLISHING CO. LTD.,Advertising,2021/05/31,229.00
Coleen Bowman CPA Prof. Corp. LTD,Office Rental and Related Fees,2021/06/01,350.00
FDG Developments Inc,Office Rental and Related Fees,2021/06/01,3653.53
Gibbins Holdings Inc.,Office Rental and Related Fees,2021/06/01,530.00
House of Commons / Chambre des communes,Language Training,2021/06/02,221.12
INDEPENDENT PRINTERS LTD.,Advertising,2021/06/03,50.00
"WAKAW RECORDER, THE",Advertising,2021/06/09,240.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,131.04
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,20.00
Coleen Bowman CPA Prof. Corp. LTD,Office Rental and Related Fees,2021/07/01,350.00
FDG Developments Inc,Office Rental and Related Fees,2021/07/01,3653.53
Gibbins Holdings Inc.,Office Rental and Related Fees,2021/07/01,530.00
