Supplier,Description,Date,Total
Jason Ransom,Photography and Video Services - Federal Government Departments,2021/01/20,43.25
Home Depot,Office Decor,2021/03/31,928.25
2161963 Alberta Ltd.,Office Rental and Related Fees,2021/04/01,1995.00
Armour Alarms Inc.,Protection and Alarm Monitoring (Member's Office Budget),2021/04/01,360.00
BubbleUp Marketing Corp.,Web Site Hosting/Domain Name,2021/04/01,39.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,353.33
SAFEWAY,Consumable Items for Constituency Offices (COVID19),2021/04/08,16.98
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2021/04/13,201.95
2161963 Alberta Ltd.,Office Rental and Related Fees,2021/05/01,1995.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,323.54
TACKLIFE,"Video Communication, Broadcasting Equipment and Televisions",2021/05/04,29.97
"Caddie Buddy ",Computer Equipment,2021/05/05,336.52
KnownHost,Web Site Hosting/Domain Name,2021/05/09,557.61
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2021/05/13,201.95
Canada Post – Postes Canada,Courier Services,2021/05/17,18.48
Canada Post – Postes Canada,Courier Services,2021/05/17,35.43
Canada Post – Postes Canada,Courier Services,2021/05/17,43.70
Home Depot,Office Decor,2021/05/18,928.25
Kay's Cleaning Services,Janitorial Services and Maintenance,2021/05/25,180.00
2161963 Alberta Ltd.,Office Rental and Related Fees,2021/06/01,1995.00
BubbleUp Marketing Corp.,Web Site Hosting/Domain Name,2021/06/01,39.00
McBain Camera Inc.,Photographic Equipment,2021/06/08,59.99
Vistek,Photographic Equipment,2021/06/08,369.99
Lock Surgeon Sales & Service,"Office Supplies, Stationery and Accessories",2021/06/09,15.90
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2021/06/13,206.19
Canada Post – Postes Canada,Postage and Parcel Post,2021/06/16,259.42
Canada Post – Postes Canada,Courier Services,2021/06/17,16.88
Canada Post – Postes Canada,Courier Services,2021/06/17,16.88
Grand & Toy,Cleaning Products,2021/06/30,65.56
Grand & Toy,Bulk Paper Purchases,2021/06/30,47.40
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/06/30,50.23
Grand & Toy,Cleaning Products,2021/06/30,44.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/06/30,32.64
2161963 Alberta Ltd.,Office Rental and Related Fees,2021/07/01,1995.00
