Supplier,Description,Date,Total
Backbone technology inc.,Web Site Hosting/Domain Name,2021/04/01,140.00
River Valley Properties Ltd.,Office Rental and Related Fees,2021/04/01,2981.43
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,249.79
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/04/16,193.95
WAWANESA,Constituency Office Insurance,2021/04/19,500.50
MOUNTAIN VIEW PUBLISHING INC.,Advertising,2021/04/20,190.00
Canada Post,"Postage, Parcel Post and Courier Services",2021/04/23,31.50
Black Press Group Ltd.,Advertising,2021/04/30,283.25
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/04/30,67.87
SUNSET MAINTENANCE SERVICES,Janitorial Services and Maintenance,2021/04/30,300.00
River Valley Properties Ltd.,Office Rental and Related Fees,2021/05/01,2981.43
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,232.46
MOUNTAIN VIEW PUBLISHING INC.,Advertising,2021/05/11,180.00
Red Deer Advocate,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/14,108.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2021/05/16,61.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/05/16,132.95
Canada Post – Postes Canada,Courier Services,2021/05/17,38.32
Canada Post – Postes Canada,Courier Services,2021/05/17,15.77
Black Press Group Ltd.,Advertising,2021/05/31,239.25
SUNSET MAINTENANCE SERVICES,Janitorial Services and Maintenance,2021/05/31,300.00
Backbone technology inc.,Web Site Hosting/Domain Name,2021/06/01,140.00
River Valley Properties Ltd.,Office Rental and Related Fees,2021/06/01,2981.43
Inghams Jewellers,Gifts given as a matter of protocol,2021/06/09,134.95
Canada Post – Postes Canada,Courier Services,2021/06/17,15.15
Canada Post – Postes Canada,Courier Services,2021/06/17,14.43
Canada Post – Postes Canada,Courier Services,2021/06/17,60.32
River Valley Properties Ltd.,Office Rental and Related Fees,2021/07/01,2981.43
