Supplier,Description,Date,Total
CLAN CREATIF INC.,Professional Communication Services,2021/01/21,136.76
Compagnie Théatre Créole/Konpayi Teyat Kreyòl,Advertising,2021/03/31,107.14
Centre Publicitaire Québec,Advertising,2021/04/01,475.00
COMITÉ LOISIRS RÉSIDENCE PHILANTHROPES,Advertising,2021/04/01,50.00
ENTREPRISE AGOSTINO INC.,Office Rental and Related Fees,2021/04/01,3800.00
MICROCOM,Constituency Office Internet,2021/04/01,185.95
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,135.75
"publications Arméniennes (1991) Inc. Horizon, Les",Advertising,2021/04/09,17.50
MAGHREB CANADA EXPRESS,Advertising,2021/04/10,38.33
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2021/04/14,33.75
"FILIPINO FORUM, THE",Advertising,2021/04/19,29.41
DIAPASON-JEUNESSE,Advertising,2021/04/20,250.00
RADIO HUMSAFAR,Advertising,2021/04/22,34.00
2M.Media,Advertising,2021/04/24,255.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/04/27,480.00
Zigzag Roman-Canadian Inc.,Advertising,2021/04/27,19.00
Canada L.C. Communication,Advertising,2021/04/29,93.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/04/29,78.00
COMITÉ LOISIRS RÉSIDENCE PHILANTHROPES,Advertising,2021/05/01,50.00
ENTREPRISE AGOSTINO INC.,Office Rental and Related Fees,2021/05/01,3800.00
MICROCOM,Constituency Office Internet,2021/05/01,185.95
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,135.47
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2021/05/01,35.00
GROUPE HOM,Advertising,2021/05/02,123.75
Il Cittadino Canadese,Advertising,2021/05/05,60.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2021/05/05,35.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/05/06,480.00
2M.Media,Advertising,2021/05/07,351.76
Métro Média,Advertising,2021/05/08,62.50
MAGHREB CANADA EXPRESS,Advertising,2021/05/10,28.75
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/05/10,440.00
Weekly the Jang Montreal,Advertising,2021/05/10,38.46
Canada Post – Postes Canada,Postage and Parcel Post,2021/05/11,243.32
Hear Entendre Quebec,Advertising,2021/05/13,200.00
Canada Post – Postes Canada,Courier Services,2021/05/17,7.56
Canada Post – Postes Canada,Courier Services,2021/05/17,7.19
Canada Post – Postes Canada,Courier Services,2021/05/17,8.05
English Montreal School Board – Commission Scolaire English-Montréal,Advertising,2021/05/19,93.34
Journal Le Guide S.E.N.C.,Advertising,2021/05/19,109.00
Société Canadienne de la Sclérose en Plaques - Laval,Advertising,2021/05/20,125.00
POST CANADA,"Postage, Parcel Post and Courier Services",2021/05/27,17.09
COMITÉ LOISIRS RÉSIDENCE PHILANTHROPES,Advertising,2021/06/01,50.00
ENTREPRISE AGOSTINO INC.,Office Rental and Related Fees,2021/06/01,3800.00
MICROCOM,Constituency Office Internet,2021/06/01,185.95
MAGHREB CANADA EXPRESS,Advertising,2021/06/10,28.75
Canada Post – Postes Canada,Courier Services,2021/06/17,8.89
Canada Post – Postes Canada,Courier Services,2021/06/17,37.14
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/06/17,480.00
2M.Media,Advertising,2021/06/18,351.76
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/06/18,440.00
ENTREPRISE AGOSTINO INC.,Office Rental and Related Fees,2021/07/01,3800.00
