Supplier,Description,Date,Total
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2020/04/06,800.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2020/05/01,400.00
Métro Média,Advertising,2020/12/19,73.50
Métro Média,Advertising,2020/12/26,393.00
Métro Média,Advertising,2021/02/06,700.00
"Shred-it, C/O Stericycle ULC",Shredding,2021/02/07,145.90
Métro Média,Advertising,2021/02/20,700.00
Métro Média,Advertising,2021/02/27,700.00
Métro Média,Advertising,2021/03/06,700.00
"Industries de Sécurité Beltronic Inc., Les",Protection and Alarm Monitoring (Member's Office Budget),2021/03/15,400.00
ALTIMA TELECOM,Members’ Primary Residence Internet,2021/03/20,50.00
Métro Média,Advertising,2021/03/31,393.00
EDIFICE 750 MARCEL-LAURIN INC,Office Rental and Related Fees,2021/04/01,3808.35
"Jewish Standard, The",Advertising,2021/04/01,120.00
Métro Média,Advertising,2021/04/01,62.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,77.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2021/04/01,600.00
Vidéotron s.e.n.c,Constituency Office Internet,2021/04/02,194.74
"Shred-it, C/O Stericycle ULC",Shredding,2021/04/07,148.10
"publications Arméniennes (1991) Inc. Horizon, Les",Advertising,2021/04/09,17.50
GROUPE ATLAS MEDIA INC.,Advertising,2021/04/10,125.00
MAGHREB CANADA EXPRESS,Advertising,2021/04/10,38.33
Zoom Video Communications Inc.,Computer Software and Licences,2021/04/12,140.00
Union Générale Arménienne de Bienfaisance de Montréal Inc.,Advertising,2021/04/18,300.00
"Altima Telecom ",Constituency Office Internet,2021/04/19,50.00
"FILIPINO FORUM, THE",Advertising,2021/04/19,29.41
RADIO HUMSAFAR,Advertising,2021/04/22,34.00
CFMB-AM,Advertising,2021/04/25,120.00
Zigzag Roman-Canadian Inc.,Advertising,2021/04/27,19.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/04/29,78.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/04/29,800.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,88.46
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,2.00
Groupe CHCR Inc.,Advertising,2021/04/30,750.00
EDIFICE 750 MARCEL-LAURIN INC,Office Rental and Related Fees,2021/05/01,3808.35
Métro Média,Advertising,2021/05/01,1251.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,74.43
GROUPE HOM,Advertising,2021/05/02,123.75
ALTIMA TELECOM,Members’ Primary Residence Internet,2021/05/03,32.52
Hellenic Community of Greater Montreal,Advertising,2021/05/05,50.00
Il Cittadino Canadese,Advertising,2021/05/05,60.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2021/05/05,35.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2021/05/05,450.00
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2021/05/05,35.00
Vidéotron s.e.n.c,Constituency Office Internet,2021/05/07,194.74
Métro Média,Advertising,2021/05/08,1155.50
MAGHREB CANADA EXPRESS,Advertising,2021/05/10,28.75
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/05/10,800.00
Weekly the Jang Montreal,Advertising,2021/05/10,38.46
Zoom Video Communications Inc.,Computer Software and Licences,2021/05/12,140.00
GROUPE ATLAS MEDIA INC.,Advertising,2021/05/13,125.00
"SUBURBAN, THE",Advertising,2021/05/17,960.00
"SUBURBAN, THE",Advertising,2021/05/17,600.00
Journal Le Guide S.E.N.C.,Advertising,2021/05/19,109.00
Altima Telecom,Members’ Primary Residence Internet,2021/05/20,56.00
Métro Média,Advertising,2021/05/22,700.00
CFMB-AM,Advertising,2021/05/30,480.00
Groupe Financier Fort Inc.,Constituency Office Insurance,2021/05/31,1100.00
"SUBURBAN, THE",Advertising,2021/05/31,960.00
EDIFICE 750 MARCEL-LAURIN INC,Office Rental and Related Fees,2021/06/01,3808.35
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2021/06/01,450.00
Vidéotron s.e.n.c,Constituency Office Cable,2021/06/04,194.74
"Shred-it, C/O Stericycle ULC",Shredding,2021/06/07,148.35
Canada Post – Postes Canada,Postage and Parcel Post,2021/06/08,427.31
MAGHREB CANADA EXPRESS,Advertising,2021/06/10,28.75
Métro Média,Advertising,2021/06/12,700.00
Zoom Video Communications Inc.,Computer Software and Licences,2021/06/12,140.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2021/06/18,440.00
Métro Média,Advertising,2021/06/19,393.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,88.46
EDIFICE 750 MARCEL-LAURIN INC,Office Rental and Related Fees,2021/07/01,3808.35
