Supplier,Description,Date,Total
Black Press Group Ltd.,Advertising,2021/01/31,35.25
Black Press Group Ltd.,Advertising,2021/01/31,169.50
Black Press Group Ltd.,Advertising,2021/01/31,35.25
Black Press Group Ltd.,Advertising,2021/01/31,682.50
Black Press Group Ltd.,Advertising,2021/01/31,30.43
Thetis Island Quart,Advertising,2021/02/24,125.00
BlackPress,Advertising,2021/02/28,105.50
BlackPress,Advertising,2021/02/28,878.95
BlackPress,Advertising,2021/02/28,688.25
BlackPress,Advertising,2021/02/28,35.25
BC Hydro,Public Utilities,2021/03/10,448.36
"Talking Dog Communications ",Professional Communication Services,2021/03/30,1250.00
"Blackpress ",Advertising,2021/03/31,649.75
"Blackpress ",Advertising,2021/03/31,35.25
"Blackpress ",Advertising,2021/03/31,35.25
"Blackpress ",Advertising,2021/03/31,866.90
Amazon,"Office Supplies, Stationery and Accessories",2021/04/01,19.99
Canada Post,"Postage, Parcel Post and Courier Services",2021/04/01,18.49
G.L. Investments,Office Rental and Related Fees,2021/04/01,1500.00
"GREEN DOOR SOCIETY, THE",Office Rental and Related Fees,2021/04/01,1714.29
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,236.79
Mailchimp,Professional Communication Services,2021/04/04,79.92
BC UAV,Photography and Video Services,2021/04/21,414.75
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/04/21,31.48
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/04/22,676.00
Shaw,Constituency Office Internet,2021/04/28,175.86
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,34.24
BC Hydro,Public Utilities,2021/05/01,231.05
G.L. Investments,Office Rental and Related Fees,2021/05/01,1500.00
"GREEN DOOR SOCIETY, THE",Office Rental and Related Fees,2021/05/01,1714.29
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,250.87
mailchimp,Professional Communication Services,2021/05/04,83.67
Bell Mobility – Bell Mobilité,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/05/06,-56.24
"BC Hydro ",Public Utilities,2021/05/10,238.38
Canada Post,"Postage, Parcel Post and Courier Services",2021/05/11,22.76
Canada Post,"Postage, Parcel Post and Courier Services",2021/05/11,63.19
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/05/17,386.16
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/05/19,855.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/05/19,375.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/05/19,375.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/05/19,375.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/05/19,375.00
Shaw,Constituency Office Internet,2021/05/25,168.06
"Shaw ",Constituency Office Internet,2021/05/25,168.06
BlackPress,Advertising,2021/05/31,35.25
BlackPress,Advertising,2021/05/31,534.00
BlackPress,Advertising,2021/05/31,35.25
BlackPress,Advertising,2021/05/31,295.15
G.L. Investments,Office Rental and Related Fees,2021/06/01,1500.00
"GREEN DOOR SOCIETY, THE",Office Rental and Related Fees,2021/06/01,1714.29
House of Commons / Chambre des communes,Language Training,2021/06/02,138.20
Port Renfrew Chamber of Commerce,Advertising,2021/06/07,161.50
"Canada Post ","Postage, Parcel Post and Courier Services",2021/06/08,53.90
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,34.24
"Canada Post ","Postage, Parcel Post and Courier Services",2021/06/21,52.13
G.L. Investments,Office Rental and Related Fees,2021/07/01,1500.00
"GREEN DOOR SOCIETY, THE",Office Rental and Related Fees,2021/07/01,1714.29
