Supplier,Description,Date,Total
cn2i,Advertising,2021/03/27,112.48
KRP Properties,Office Rental and Related Fees,2021/04/01,2583.33
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,25.50
BELL CANADA,Constituency Office Internet,2021/04/04,150.00
Arab Canada Newspaper,Advertising,2021/04/10,400.00
West Carleton Online,Advertising,2021/04/13,250.00
West Carleton Online,Advertising,2021/04/13,290.00
Ottawa Community Voice Publishing Inc.,Advertising,2021/04/22,225.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,160.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,4.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/04/30,349.03
KRP Properties,Office Rental and Related Fees,2021/05/01,2583.33
"Nakamura, Naomi",Office Assistant,2021/05/01,690.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,15.94
"BELL CANADA ",Constituency Office Internet,2021/05/04,150.00
Community Voice,Advertising,2021/05/04,1282.55
Community Voice,Advertising,2021/05/04,384.20
"Crowe, Geoff",Communications Officer,2021/05/06,600.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/05/07,1601.00
Arab Canada Newspaper,Advertising,2021/05/10,400.00
Facebook,Advertising,2021/05/15,39.13
Canada Post – Postes Canada,Courier Services,2021/05/17,7.19
Canada Post – Postes Canada,Courier Services,2021/05/17,8.05
Canada Post – Postes Canada,Courier Services,2021/05/17,7.70
Ottawa Community Voice Publishing Inc.,Advertising,2021/05/20,225.00
Grand & Toy,Cleaning Products,2021/05/31,9.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/05/31,11.54
KRP Properties,Office Rental and Related Fees,2021/06/01,2583.33
"Nakamura, Naomi",Office Assistant,2021/06/01,380.00
"Crowe, Geoff",Communications Officer,2021/06/02,600.00
Ottawa Community Voice Publishing Inc.,Advertising,2021/06/03,340.00
Ottawa Community Voice Publishing Inc.,Advertising,2021/06/03,608.00
BELL CANADA,Constituency Office Internet,2021/06/04,150.00
Canada Post – Postes Canada,Postage and Parcel Post,2021/06/08,249.76
Arab Canada Newspaper,Advertising,2021/06/15,400.00
Facebook,Advertising,2021/06/15,60.87
Canada Post – Postes Canada,Courier Services,2021/06/17,6.48
Canada Post – Postes Canada,Courier Services,2021/06/17,24.43
Canada Post – Postes Canada,Courier Services,2021/06/17,8.61
Ottawa Community Voice Publishing Inc.,Advertising,2021/06/17,833.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,8.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,160.00
KRP Properties,Office Rental and Related Fees,2021/07/01,2583.33
