Supplier,Description,Date,Total
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/15,134.15
Facebook,Advertising,2021/03/31,13.70
D.W. Rourke & Associates Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2021/04/01,46.00
Maximizer Services Inc.,Computer Software and Licences,2021/04/01,1516.32
Michaels,Office Decor,2021/04/01,242.83
SCREO Calgary Office L.P.,Office Rental and Related Fees,2021/04/01,3878.32
Indigenous Partnership Success Showcase,Other Training and Conferences,2021/04/07,127.32
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/04/15,215.00
Calgary Chamber of Commerce,Other Training and Conferences,2021/04/16,10.00
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/04/16,104.00
Bell Canada,Employees’ Primary Residence Internet (COVID-19),2021/04/27,84.95
Bell Mobility – Bell Mobilité,Long Distance,2021/04/30,0.24
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,189.32
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,9.20
Facebook,Advertising,2021/04/30,83.94
GDI Services (Canada) LP,Janitorial Services and Maintenance,2021/04/30,261.77
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/04/30,92.79
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/04/30,264.69
Grand & Toy,Bulk Paper Purchases,2021/04/30,94.80
Grand & Toy,Other Consumable Supplies From Stores,2021/04/30,12.71
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2021/04/30,17.42
Scotiabank,Banking Fees and Cheque Orders,2021/04/30,11.95
D.W. Rourke & Associates Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2021/05/01,46.00
SCREO Calgary Office L.P.,Office Rental and Related Fees,2021/05/01,2304.00
SCREO Calgary Office L.P.,Office Rental and Related Fees,2021/05/01,1574.32
LP Convenience,"Office Supplies, Stationery and Accessories",2021/05/03,4.50
Calgary Coop,Spring Water,2021/05/10,7.12
Amazon.ca,Photographic Equipment,2021/05/12,56.98
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/05/15,215.00
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/05/16,104.00
Canada Post – Postes Canada,Courier Services,2021/05/17,46.78
1963284 Alta Inc.,Advertising,2021/05/19,99.00
Bell Canada,Employees’ Primary Residence Internet (COVID-19),2021/05/27,84.95
Zoom Video Communications Inc.,Computer Software and Licences,2021/05/29,226.00
GDI Services (Canada) LP,Janitorial Services and Maintenance,2021/05/31,261.77
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/05/31,70.28
Scotiabank,Banking Fees and Cheque Orders,2021/05/31,11.95
D.W. Rourke & Associates Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2021/06/01,46.00
SCREO Calgary Office L.P.,Constituency Office Rental and Related Fees,2021/06/01,3878.32
Eventbrite,Other Training and Conferences,2021/06/03,20.00
Critical Path Group,Other Training and Conferences,2021/06/11,315.98
Canada Post – Postes Canada,Postage and Parcel Post,2021/06/16,13.26
Canada Post – Postes Canada,Courier Services,2021/06/17,60.32
Canada Post – Postes Canada,Courier Services,2021/06/17,44.36
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,5.60
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,189.32
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/06/28,90.00
