Supplier,Description,Date,Total
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2021/03/24,67.86
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/03/24,141.07
Canadian Linen and Uniform,Janitorial Services and Maintenance,2021/03/25,65.98
Interior Vault Ltd.,Shredding,2021/03/30,90.00
GRINYER BUSINESS EQUIPMENT LTD,"Office Supplies, Stationery and Accessories",2021/03/31,17.44
KAMLOOPS THIS WEEK,Advertising,2021/03/31,451.25
Cali Clean,Janitorial Services and Maintenance,2021/04/01,364.73
Campaign Monitor,Professional Communication Services,2021/04/01,129.00
Everbright,Consumable Items for Constituency Offices (COVID19),2021/04/01,99.77
KAMLOOPS SQUARE MANAGEMENT LTD.,Office Rental and Related Fees,2021/04/01,2394.72
SOUTH CARIBOO BUSINESS CENTRE LTD,Office Rental and Related Fees,2021/04/01,464.78
Telus Custom Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2021/04/01,25.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/04/03,159.38
Fortis BC,Public Utilities,2021/04/09,209.27
BC Hydro,Public Utilities,2021/04/12,76.95
PressReader Inc.,"Printed Matter, Books, Newspapers and Subscriptions",2021/04/20,39.99
Canadian Linen and Uniform Service,Janitorial Services and Maintenance,2021/04/22,69.51
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2021/04/24,67.86
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/04/24,141.07
Zoom Video Communications Inc.,Computer Software and Licences,2021/04/24,21.40
Adobe Inc.,Computer Software and Licences,2021/04/28,29.95
Campaign Monitor,Professional Communication Services,2021/04/29,129.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,178.80
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,26.00
Interior Vault Ltd,Shredding,2021/04/30,90.00
Cali Clean,Janitorial Services and Maintenance,2021/05/01,364.73
KAMLOOPS SQUARE MANAGEMENT LTD.,Office Rental and Related Fees,2021/05/01,2394.72
SOUTH CARIBOO BUSINESS CENTRE LTD,Office Rental and Related Fees,2021/05/01,464.78
Telus Custom Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2021/05/01,25.00
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/05/03,166.83
ICS Clean supplies LTD.,Cleaning Products,2021/05/05,54.61
Fortis BC,Public Utilities,2021/05/07,60.37
Costco,Consumable Items for Constituency Offices (COVID19),2021/05/10,85.59
BC Hydro,Public Utilities,2021/05/11,79.48
Canada Post – Postes Canada,Courier Services,2021/05/17,21.02
Canada Post – Postes Canada,Courier Services,2021/05/17,8.75
PressReader Inc,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/20,39.99
Zoom Video Communications INC,Computer Software and Licences,2021/05/24,21.40
Adobe INC,Computer Software and Licences,2021/05/29,29.95
Campaign Monitor,Professional Communication Services,2021/05/30,129.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/05/31,64.53
Cali Clean,Janitorial Services and Maintenance,2021/06/01,364.73
KAMLOOPS SQUARE MANAGEMENT LTD.,Office Rental and Related Fees,2021/06/01,2394.72
SOUTH CARIBOO BUSINESS CENTRE LTD,Office Rental and Related Fees,2021/06/01,464.78
Fortis BC,Public Utilities,2021/06/07,35.73
Misk,Web Site Hosting/Domain Name,2021/06/09,56.00
BC Hydro,Public Utilities,2021/06/10,119.69
Canada Post – Postes Canada,Courier Services,2021/06/17,60.86
PressReader,"Printed Matter, Books, Newspapers and Subscriptions",2021/06/20,39.99
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,10.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,181.04
KAMLOOPS SQUARE MANAGEMENT LTD.,Office Rental and Related Fees,2021/07/01,2394.72
SOUTH CARIBOO BUSINESS CENTRE LTD,Office Rental and Related Fees,2021/07/01,464.78
