Supplier,Description,Date,Total
Gujarat Express,Advertising,2020/10/30,300.00
2299004 Ontario Inc,Office Rental and Related Fees,2021/04/01,4000.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,16.79
PARVASI WEEKLY INC.,Advertising,2021/04/09,500.00
Prime Asia TV Ltd.,Advertising,2021/04/29,884.96
2626880 Ontario Ltd.,Office Assistant,2021/04/30,2500.00
Bell Mobility – Bell Mobilité,Long Distance,2021/04/30,0.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,12.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,204.00
Grand & Toy,Bulk Paper Purchases,2021/04/30,284.40
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/04/30,374.74
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2021/04/30,81.86
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2021/04/30,6.42
Gujarat Express,Advertising,2021/04/30,150.00
"KULKARNI, HEMALATHA",Office Assistant,2021/04/30,2500.00
2299004 Ontario Inc,Office Rental and Related Fees,2021/05/01,4000.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,16.23
ASIAN WORLD TODAY INC.,Advertising,2021/05/05,500.00
Canada Post – Postes Canada,Courier Services,2021/05/17,7.96
Canada Post – Postes Canada,Courier Services,2021/05/17,9.07
Canada Post – Postes Canada,Courier Services,2021/05/17,6.72
2626880 Ontario Ltd.,Office Assistant,2021/05/31,2500.00
"KULKARNI, HEMALATHA",Office Assistant,2021/05/31,2500.00
2299004 Ontario Inc,Office Rental and Related Fees,2021/06/01,4000.00
ASIAN WORLD TODAY INC.,Advertising,2021/06/02,500.00
Canada Post – Postes Canada,Courier Services,2021/06/17,6.72
Canada Post – Postes Canada,Courier Services,2021/06/17,8.56
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,35.60
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,204.00
Bell Mobility – Bell Mobilité,Long Distance,2021/06/21,0.30
2299004 Ontario Inc,Office Rental and Related Fees,2021/07/01,4000.00
