Supplier,Description,Date,Total
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/05/25,48.73
Bridge River Lillooet News,Advertising,2021/03/31,33.70
Friesen Ventures Ltd,Office Rental and Related Fees,2021/04/01,2760.00
MAXIMIZER SERVICES INC,Computer Software and Licences,2021/04/01,2340.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,278.29
Rogers Wireless – Rogers sans-fil,Long Distance,2021/04/01,3.00
Vista Print,Promotional Items,2021/04/01,325.27
Telus,Protection and Alarm Monitoring (Member's Office Budget),2021/04/02,42.27
The Times of Canada,Advertising,2021/04/13,40.00
"Resolution Reprographics Ltd. ",External Printing Costs,2021/04/19,155.90
Shaw Cable Systems G.P.,Constituency Office Internet,2021/04/19,69.55
Staples Canada,"Office Supplies, Stationery and Accessories",2021/04/19,19.23
"Bridge River Valley Community Association ","Printed Matter, Books, Newspapers and Subscriptions",2021/04/20,47.25
Staples Canada,"Office Supplies, Stationery and Accessories",2021/04/24,28.83
Lillooet Publishing Ltd,Advertising,2021/04/26,189.00
Lillooet Publishing Ltd,Advertising,2021/04/26,134.80
PATRIKA MEDIA LTD.,Advertising,2021/04/29,422.50
Positively Green Clean,Janitorial Services and Maintenance,2021/04/30,140.00
Friesen Ventures Ltd,Office Rental and Related Fees,2021/05/01,2760.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,277.73
Telus,Protection and Alarm Monitoring (Member's Office Budget),2021/05/02,40.27
Shaw Cablesystems G.P.,Constituency Office Internet,2021/05/19,69.55
House of Commons / Chambre des communes,Other Services,2021/05/21,101.70
Lillooet Publishing Ltd,Advertising,2021/05/26,134.80
London Drugs,Gifts given as a matter of protocol,2021/05/26,8.55
Michaels,Gifts given as a matter of protocol,2021/05/26,20.96
Positively Green Clean,Janitorial Services and Maintenance,2021/05/31,140.00
Friesen Ventures Ltd,Office Rental and Related Fees,2021/06/01,2760.00
Clearbrook Golden Age Society,"Framing, Outside Supplier",2021/06/04,164.00
Bridge River Valley Community Association,Advertising,2021/06/10,100.00
Reyfort Publishing,Advertising,2021/06/10,47.79
BC Hydro,Public Utilities,2021/06/11,133.24
Canada Post – Postes Canada,Courier Services,2021/06/17,60.32
Canada Post – Postes Canada,Courier Services,2021/06/17,5.87
Friesen Ventures Ltd,Office Rental and Related Fees,2021/07/01,2760.00
