Supplier,Description,Date,Total
Zoom,Computer Software and Licences,2020/05/29,20.00
Leslie Parrish,Office Plants and Flowers,2020/06/30,120.00
Canada Post,"Postage, Parcel Post and Courier Services",2020/09/17,12.45
Atlantic Superstore,Spring Water,2020/10/20,16.50
Dollarama,"Office Supplies, Stationery and Accessories",2020/10/21,6.35
Stationery Plus,"Office Supplies, Stationery and Accessories",2020/11/16,29.26
Atlantic Superstore,Spring Water,2020/11/25,3.00
Zoom,Computer Software and Licences,2020/11/29,20.00
The Interim CLC,"Printed Matter, Books, Newspapers and Subscriptions",2020/12/15,40.00
Stationery Plus,"Office Supplies, Stationery and Accessories",2021/01/12,12.65
Atlantic Superstore,Spring Water,2021/01/15,6.50
Canadian Tire,Office Decor,2021/01/15,17.18
Canadian Tire,"Office Supplies, Stationery and Accessories",2021/01/18,31.02
Canada Post,"Postage, Parcel Post and Courier Services",2021/01/20,16.52
Amazon,Computer Equipment,2021/02/02,510.00
Bell Aliant,Constituency Office Internet,2021/02/03,297.26
Énergie NB Power,Public Utilities,2021/02/05,936.30
St. Croix Printing & Publishing Company Limited,"Printed Matter, Books, Newspapers and Subscriptions",2021/02/08,73.05
Canada Post,"Postage, Parcel Post and Courier Services",2021/02/09,11.70
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Zoom,Computer Software and Licences,2021/02/28,20.00
Bell Aliant,Constituency Office Internet,2021/03/03,135.90
Énergie NB Power,Public Utilities,2021/03/08,463.31
Atlantic Superstore,Spring Water,2021/03/10,13.00
Canadian Tire,"Office Supplies, Stationery and Accessories",2021/03/10,12.00
BMO,Banking Fees and Cheque Orders,2021/03/31,57.00
Heritage Resources Inc.,Office Rental and Related Fees,2021/04/01,1786.23
Nationbuilder,Computer Software and Licences,2021/04/01,162.94
NationBuilder,Computer Software and Licences,2021/04/01,163.09
Bell Aliant,Monthly Phone Service,2021/04/02,50.97
Bell Aliant,Constituency Office Internet,2021/04/03,135.90
Énergie NB Power,Public Utilities,2021/04/12,350.07
"Taylor, Peter",Writer,2021/04/23,400.00
Atcan Display Ltd.,Pins and Flags,2021/04/26,74.99
Dollarama,"Office Supplies, Stationery and Accessories",2021/04/28,6.55
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/04/30,62.97
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/04/30,49.66
Grand & Toy,Bulk Paper Purchases,2021/04/30,26.46
IIan Mann Consulting,Communications Officer,2021/04/30,4000.00
Stationery Plus Ltd.,"Office Supplies, Stationery and Accessories",2021/04/30,1.59
"Wolgelerenter, Nathan",Office Assistant,2021/04/30,3466.00
Heritage Resources Inc.,Office Rental and Related Fees,2021/05/01,1786.23
Bell Aliant,Constituency Office Internet,2021/05/03,135.90
ROYAL CANADIAN LEGION NEW BRUNSWICK COMMAND,Advertising,2021/05/05,552.17
"Bercier, Alain Jacob",Office Assistant,2021/05/06,2080.00
Énergie NB Power,Public Utilities,2021/05/10,256.13
Canada Post – Postes Canada,Postage and Parcel Post,2021/05/11,287.58
"MCFARQUHAR, BRETT",Communications Officer,2021/05/11,10000.00
Canada Post – Postes Canada,Courier Services,2021/05/17,6.04
Jean Coutu,"Office Supplies, Stationery and Accessories",2021/05/17,3.99
ST. STEPHEN HIGH SCHOOL YEARBOOK,Advertising,2021/05/18,150.00
ST.CROIX PRINTING & PUBLISHING CO. LTD.,Advertising,2021/05/18,562.50
Atcan Display Ltd.,Pins and Flags,2021/05/20,57.99
Leslie Caldwell,Janitorial Services and Maintenance,2021/05/25,100.00
Canada Post,"Postage, Parcel Post and Courier Services",2021/05/27,15.53
Jean Coutu,Spring Water,2021/05/27,11.98
Heritage Resources Inc.,Office Rental and Related Fees,2021/06/01,1786.23
Bell Aliant,Constituency Office Internet,2021/06/03,135.90
Stationery Plus Ltd.,"Office Supplies, Stationery and Accessories",2021/06/03,49.98
Canada Post – Postes Canada,Postage and Parcel Post,2021/06/08,156.94
Énergie NB Power,Public Utilities,2021/06/08,173.01
Stationery Plus Ltd.,"Office Supplies, Stationery and Accessories",2021/06/09,51.28
AGNC Group,Professional Communication Services,2021/06/17,1000.00
Canada Post – Postes Canada,Courier Services,2021/06/17,95.20
Canada Post – Postes Canada,Courier Services,2021/06/17,20.77
Canada Post – Postes Canada,Courier Services,2021/06/17,81.17
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/06/21,33.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/06/21,62.97
Grand & Toy,Bulk Paper Purchases,2021/06/30,106.35
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/06/30,84.66
Grand & Toy,"Freight, Express and Cartage",2021/06/30,28.38
Heritage Resources Inc.,Office Rental and Related Fees,2021/07/01,1786.23
