Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0211747,2021/03/27,2021/04/09,,,,,,,15.8500,628.8500,488.8000,0.5000,0,0,1133.50
T0211747,2021/03/27,2021/04/09,"Achtman, Amanda",Employee,To conduct constituency office business,2021/03/27,Ottawa,Sherwood Park,,,,,,,
T0211747,2021/03/27,2021/04/09,"Achtman, Amanda",Employee,To conduct constituency office business,2021/04/09,Sherwood Park,Ottawa,,,,,,,
200488948,2021/04/01,2021/04/30,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200488948,2021/04/01,2021/04/30,"Genuis, Garnett",Member,Secondary Residence,2021/04/01,OTTAWA,OTTAWA,,,,,,,
200491863,2021/05/01,2021/05/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200491863,2021/05/01,2021/05/31,"Genuis, Garnett",Member,Secondary Residence,2021/05/01,OTTAWA,OTTAWA,,,,,,,
200498394,2021/06/01,2021/06/30,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200498394,2021/06/01,2021/06/30,"Genuis, Garnett",Member,Secondary Residence,2021/06/01,OTTAWA,OTTAWA,,,,,,,
200503151,2021/07/01,2021/07/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.00
200503151,2021/07/01,2021/07/31,"Genuis, Garnett",Member,Secondary Residence,2021/07/01,OTTAWA,OTTAWA,,,,,,,
