Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0211970,2021/04/01,2021/04/15,,,,,,,777.5400,0.0000,123.1700,0.0000,0,0,900.71
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/01,Creston,Cranbrook,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/12,Cranbrook,Creston,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/13,Creston,Cranbrook,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/13,Cranbrook,Creston,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/15,Creston,Cranbrook,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/15,Cranbrook,Creston,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/01,Cranbrook,Creston,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/02,Creston,Cranbrook,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/02,Cranbrook,Creston,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/02,Creston,Cranbrook,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/02,Cranbrook,Creston,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/03,Creston,Cranbrook,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/03,Cranbrook,Creston,,,,,,,
T0211970,2021/04/01,2021/04/15,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/12,Creston,Cranbrook,,,,,,,
T0211548,2021/04/06,2021/04/07,,,,,,,0.0000,138.6500,91.2000,0.0000,0,0,229.85
T0211548,2021/04/06,2021/04/07,"Graham, Wesly",Employee,Attending event with Member,2021/04/06,Cranbrook,Invermere,,,,,,,
T0211546,2021/04/06,2021/04/07,,,,,,,275.7200,198.5000,145.0000,0.0000,0,0,619.22
T0211546,2021/04/06,2021/04/07,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/06,Creston,Invermere,,,,,,,
T0211548,2021/04/06,2021/04/07,"Graham, Wesly",Employee,Attending event with Member,2021/04/07,Invermere,Cranbrook,,,,,,,
T0211546,2021/04/06,2021/04/07,"Morrison, Rob",Member,To attend meetings about constituency issues,2021/04/07,Invermere,Creston,,,,,,,
T0212028,2021/04/17,2021/04/24,,,,,,,2900.4800,1017.0200,678.6800,1.0000,0,0,4596.18
T0212028,2021/04/17,2021/04/24,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2021/04/17,Creston,Ottawa,,,,,,,
T0212028,2021/04/17,2021/04/24,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2021/04/23,Ottawa,Creston,,,,,,,
T0212311,2021/05/01,2021/05/02,,,,,,,1400.9800,117.6600,187.6800,0.5000,0,0,1706.32
T0212311,2021/05/01,2021/05/02,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2021/05/01,Creston,Ottawa,,,,,,,
T0212476,2021/05/02,2021/05/07,,,,,,,1499.6200,781.7000,481.6100,0.5000,0,0,2762.93
T0212476,2021/05/02,2021/05/07,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2021/05/07,Ottawa,Creston,,,,,,,
T0212830,2021/05/18,2021/05/21,,,,,,,331.4800,323.5600,248.9400,0.0000,0,0,903.98
T0212830,2021/05/18,2021/05/21,"Morrison, Rob",Member,To attend language training,2021/05/18,Creston,Fernie,,,,,,,
T0212710,2021/05/18,2021/05/21,,,,,,,114.5800,323.7500,202.9300,0.0000,0,0,641.26
T0212710,2021/05/18,2021/05/21,"Graham, Wesly",Employee,To conduct constituency office business,2021/05/18,Cranbrook,Fernie,,,,,,,
T0212830,2021/05/18,2021/05/21,"Morrison, Rob",Member,To attend language training,2021/05/18,Fernie,Creston,,,,,,,
