Supplier,Description,Date,Total
CANADIAN SPRINGS,Spring Water,2021/01/02,7.99
CANADIAN SPRINGS,Spring Water,2021/01/30,7.99
Kapwing INC,Computer Software and Licences,2021/02/01,25.63
Sprout Social,Professional Communication Services,2021/02/10,190.97
Mailchimp,Professional Communication Services,2021/02/16,92.27
CANADIAN SPRINGS,Spring Water,2021/02/27,7.99
kapwing inc,Computer Software and Licences,2021/03/01,25.35
Sprout Social,Professional Communication Services,2021/03/10,188.86
MailChimp,Professional Communication Services,2021/03/16,91.25
CANADIAN SPRINGS,Spring Water,2021/03/27,7.99
kapwing inc,Computer Software and Licences,2021/04/01,25.19
MailChimp,Professional Communication Services,2021/04/16,90.68
CANADIAN SPRINGS,Spring Water,2021/04/24,7.99
Kapwing Inc,Computer Software and Licences,2021/05/01,24.66
Mailchimp,Professional Communication Services,2021/05/16,88.77
CANADIAN SPRINGS,Spring Water,2021/05/22,32.92
Facebook,Advertising,2021/05/24,361.71
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/06/01,243.79
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2021/06/10,118.92
Linktree,Computer Software and Licences,2021/06/11,72.37
Alectra Utilities,Public Utilities,2021/06/14,154.50
Rogers,Constituency Office Internet,2021/06/14,207.99
Rogers,Constituency Office Cable,2021/06/14,58.43
CANADIAN SPRINGS,Spring Water,2021/06/19,7.99
Kapwing Inc.,Computer Software and Licences,2021/06/21,24.12
Mailchimp,Professional Communication Services,2021/06/22,90.59
Enbridge,Public Utilities,2021/06/23,67.22
Facebook,Advertising,2021/06/24,134.75
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,2.94
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,164.58
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/07/01,216.04
Express Gazeta/Hot News c/o viva solar Inc.,Advertising,2021/07/05,60.00
Canada Post – Postes Canada,"Postage, Parcel Post and Courier Services",2021/07/07,221.25
Rogers,Constituency Office Cable,2021/07/14,58.43
Rogers,Constituency Office Internet,2021/07/14,207.99
"Alectra ",Public Utilities,2021/07/15,150.49
MailChimp,Professional Communication Services,2021/07/16,103.40
CANADIAN SPRINGS,Spring Water,2021/07/17,7.99
Canada Post – Postes Canada,Courier Services,2021/07/19,30.55
Kapwing Inc,Computer Software and Licences,2021/07/21,24.94
Facebook,Advertising,2021/07/24,337.08
Economist,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/26,84.75
Enbridge,Public Utilities,2021/07/26,74.85
Fresh Start Janitorial Services,Janitorial Services and Maintenance,2021/07/30,210.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/07/31,141.66
Grand & Toy,Cleaning Products,2021/07/31,95.83
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2021/08/01,2107.20
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/08/01,200.54
"Telus - ADT Security Services Canada, Inc.",Protection and Alarm Monitoring (Member's Office Budget),2021/08/02,140.97
Canada Post – Postes Canada,Courier Services,2021/08/10,5.73
CANADIAN SPRINGS,Spring Water,2021/08/14,7.99
Rogers,Constituency Office Cable,2021/08/14,58.43
Rogers,Constituency Office Internet,2021/08/14,207.99
Alectra Utilities,Public Utilities,2021/08/16,158.97
MailChimp,Professional Communication Services,2021/08/16,102.75
Enbridge,Public Utilities,2021/08/26,72.93
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/08/31,92.00
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2021/09/01,2107.20
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/09/01,200.54
CANADIAN SPRINGS,Spring Water,2021/09/11,7.99
Rogers,Constituency Office Internet,2021/09/14,207.99
Rogers,Constituency Office Cable,2021/09/14,58.43
Alectra Utilities,Public Utilities,2021/09/15,142.33
Mailchimp,Professional Communication Services,2021/09/16,104.10
Enbridge,Public Utilities,2021/09/25,74.85
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2021/10/01,2107.20
