Supplier,Description,Date,Total
Caisse Populaire,Banking Fees and Cheque Orders,2021/05/31,5.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/06/01,279.04
EASTLINK,Constituency Office Internet,2021/06/03,199.95
Purolator,"Postage, Parcel Post and Courier Services",2021/06/04,6.08
Canada's Four Corners,"Office Supplies, Stationery and Accessories",2021/06/17,12.98
City of Timmins,Advertising,2021/06/17,85.42
City of Timmins,Advertising,2021/06/17,85.42
EASTLINK,Constituency Office Internet,2021/06/17,199.95
Yellow Pages Digital & Media Solutions Limited,Advertising,2021/06/20,139.18
Adapt Media Inc,Advertising,2021/06/25,5700.00
Purolator,"Postage, Parcel Post and Courier Services",2021/06/25,12.77
"RINCON, RAUL",Communications Officer,2021/06/25,3250.00
Caisse Populaire,Banking Fees and Cheque Orders,2021/06/30,13.00
"Chartrand, Tina",Janitorial Services and Maintenance,2021/06/30,200.00
Postmedia Network Inc.,Advertising,2021/06/30,702.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,61.81
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,177.08
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/07/01,307.29
Purolator,"Postage, Parcel Post and Courier Services",2021/07/02,6.10
EASTLINK,Constituency Office Internet,2021/07/03,199.95
Staples,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/03,49.91
Staples,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/05,39.95
John's Neon Signs Ltd,Signage,2021/07/07,495.00
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2021/07/07,80.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/07/08,10.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/07/08,64.00
Purolator,"Postage, Parcel Post and Courier Services",2021/07/09,21.31
Best Buy,"Office Supplies, Stationery and Accessories",2021/07/11,45.28
Purolator,"Postage, Parcel Post and Courier Services",2021/07/16,6.20
EASTLINK,Constituency Office Internet,2021/07/17,199.95
Purolator,"Postage, Parcel Post and Courier Services",2021/07/30,19.46
Caisse Populaire,Banking Fees and Cheque Orders,2021/07/31,18.00
Staples,"Office Supplies, Stationery and Accessories",2021/07/31,93.98
Azure Production Inc.,Office Rental and Related Fees,2021/08/01,1100.00
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2021/08/01,2167.35
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/08/01,301.04
EASTLINK,Constituency Office Internet,2021/08/03,199.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/04,2.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/04,64.00
"RINCON, RAUL",Communications Officer,2021/08/09,2200.00
EASTLINK,Constituency Office Internet,2021/08/17,199.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/23,20.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/23,64.00
Azure Production Inc.,Office Rental and Related Fees,2021/09/01,1100.00
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2021/09/01,2167.35
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/09/01,316.29
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/09/13,35.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/09/13,64.00
Azure Production Inc.,Office Rental and Related Fees,2021/10/01,1100.00
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2021/10/01,2167.35
