Supplier,Description,Date,Total
CULLIGAN WATER,Spring Water,2021/02/28,28.40
OTTAWA TORAH CENTRE,Advertising,2021/04/27,200.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/06/01,16.79
Staples Canada,"Office Supplies, Stationery and Accessories",2021/06/17,67.98
"SC-Pro Group, The",Janitorial Services and Maintenance,2021/06/21,292.50
HYDRO OTTAWA,Public Utilities,2021/06/25,104.65
Coopérative Nationale de l'information Indépendante,Advertising,2021/06/26,99.54
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,0.72
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,213.82
BELL CANADA,Constituency Office Internet,2021/07/01,114.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/07/01,16.79
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/07/02,73.57
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/07/08,42.00
Bell Mobility – Bell Mobilité,Long Distance,2021/07/08,4.95
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/07/08,286.00
The Writ,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/09,100.00
"SC-Pro Group, The",Janitorial Services and Maintenance,2021/07/13,292.50
Canada Post – Postes Canada,Courier Services,2021/07/19,14.97
Canada Post – Postes Canada,Courier Services,2021/07/19,7.70
Canada Post – Postes Canada,Courier Services,2021/07/19,9.79
HYDRO OTTAWA,Public Utilities,2021/07/26,295.56
SINIX MEDIA GROUP,Professional Communication Services,2021/07/29,200.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/07/30,73.83
SINIX MEDIA GROUP,External Printing Costs,2021/07/30,1175.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/07/31,16.27
Grand & Toy,Bulk Paper Purchases,2021/07/31,18.96
Ottawa Community Sport Media Team,Advertising,2021/07/31,88.49
BELL CANADA,Constituency Office Internet,2021/08/01,114.00
CAYLBROOKE CORPORATION LTD.,Office Rental and Related Fees,2021/08/01,5515.91
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/08/01,16.79
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/04,286.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/04,67.00
"SC-Pro Group, The",Janitorial Services and Maintenance,2021/08/08,292.50
Canada Post – Postes Canada,Courier Services,2021/08/10,8.98
Canada Post – Postes Canada,Courier Services,2021/08/10,6.01
CULLIGAN WATER,Spring Water,2021/08/20,38.40
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/23,50.10
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/23,286.00
BELL CANADA,Constituency Office Internet,2021/09/01,114.00
CAYLBROOKE CORPORATION LTD.,Office Rental and Related Fees,2021/09/01,5515.91
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/09/01,16.79
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/09/02,75.18
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/09/13,22.50
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/09/13,286.00
HYDRO OTTAWA,Public Utilities,2021/09/24,277.80
CAYLBROOKE CORPORATION LTD.,Office Rental and Related Fees,2021/10/01,5515.91
