Supplier,Description,Date,Total
Journal El Chasqui Latino Inc,Advertising,2021/04/01,25.00
Victory @ Home service,Janitorial Services and Maintenance,2021/04/01,840.00
CENTRE PUBLICITAIRE DU QUEBEC,Advertising,2021/04/15,500.00
RADIO HUMSAFAR,Advertising,2021/04/22,34.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2021/05/05,35.00
SprintMédia,External Printing Costs,2021/05/18,189.00
Distribution Mix Nuts inc.,Gifts given as a matter of protocol,2021/05/25,230.00
JOURNALDESVOISINS.COM,Advertising,2021/05/28,500.00
Chinola Web + Design Inc.,Web Site Hosting/Domain Name,2021/06/01,125.59
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2021/06/01,10.80
Rogers Wireless – Rogers sans-fil,Long Distance,2021/06/01,2.25
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/06/01,180.50
Simons,Gifts given as a matter of protocol,2021/06/01,174.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2021/06/01,74.82
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2021/06/03,154.96
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2021/06/03,29.99
Vidéotron s.e.n.c,Constituency Office Cable,2021/06/04,90.78
Chinola Web + Design Inc.,Professional Communication Services,2021/06/07,525.00
Dolarama,"Office Supplies, Stationery and Accessories",2021/06/08,12.00
Dollarama,Gifts given as a matter of protocol,2021/06/08,10.50
Rond-Point Jeunesse au Travail,Advertising,2021/06/08,500.00
ATELIER FLORAL SUZANNE SAVARD,Gifts given as a matter of protocol,2021/06/09,126.00
MAGHREB CANADA EXPRESS,Advertising,2021/06/10,28.75
SprintMédia,External Printing Costs,2021/06/11,665.00
BELL CANADA,Constituency Office Internet,2021/06/13,111.00
Walmart,"Framing, Outside Supplier",2021/06/15,141.82
BEST BUY,"Office Supplies, Stationery and Accessories",2021/06/17,77.98
Bureau en Gros,"Office Supplies, Stationery and Accessories",2021/06/18,164.97
ALAKHBAR,Advertising,2021/06/19,17.50
Funio,Web Site Hosting/Domain Name,2021/06/20,107.89
A Voz de Portugal,Advertising,2021/06/21,40.00
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2021/06/21,79.98
"Dollarama ","Office Supplies, Stationery and Accessories",2021/06/21,1.50
"publications Arméniennes (1991) Inc. Horizon, Les",Advertising,2021/06/21,17.50
"NORTH AMERICAN FILIPINO STAR,",Advertising,2021/06/22,62.50
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2021/06/22,33.75
Il Cittadino Canadese,Advertising,2021/06/23,60.00
"SUBURBAN, THE",Advertising,2021/06/23,105.00
4479777 CANADA INC,Advertising,2021/06/25,22.00
CLAN CREATIF INC.,Professional Communication Services,2021/06/25,172.50
CLAN CREATIF INC.,Professional Communication Services,2021/06/25,104.08
Métro Média,Advertising,2021/06/26,1192.50
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2021/06/29,94.98
Facebook,Advertising,2021/06/30,329.62
Journal El Chasqui Latino Inc,Advertising,2021/06/30,25.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,1.47
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,187.53
Zigzag Roman-Canadian Inc.,Advertising,2021/06/30,19.00
Factus Medias Inc,Advertising,2021/07/01,74.75
RADIO HUMSAFAR,Advertising,2021/07/01,42.50
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2021/07/01,2.25
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/07/01,216.00
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2021/07/01,74.82
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2021/07/01,35.00
Vidéotron s.e.n.c,Constituency Office Cable,2021/07/02,90.78
Métro Média,Advertising,2021/07/03,518.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/07/08,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/07/08,0.20
BELL CANADA,Constituency Office Internet,2021/07/13,111.00
MAGHREB CANADA EXPRESS,Advertising,2021/07/13,28.75
Canada Post – Postes Canada,Courier Services,2021/07/19,12.30
GROUPE ATLAS MEDIA INC.,Advertising,2021/07/19,125.00
Société Culture et Traditions Québécoises de Montreal-Nord,Advertising,2021/07/20,500.00
Funio,Web Site Hosting/Domain Name,2021/07/22,15.99
Solutions Feed-back Actif,Gifts given as a matter of protocol,2021/07/26,124.75
Canada Post – Postes Canada,"Postage, Parcel Post and Courier Services",2021/07/29,463.05
Victory @ Home service,Janitorial Services and Maintenance,2021/07/30,420.00
Vidéotron s.e.n.c,Constituency Office Cable,2021/07/30,90.78
Facebook,Advertising,2021/07/31,182.02
Victory @ Home service,Janitorial Services and Maintenance,2021/07/31,420.00
9234-0330 QUEBEC INC.,Office Rental and Related Fees,2021/08/01,3170.75
GROUPE HOM,Advertising,2021/08/01,85.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/08/01,191.00
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2021/08/01,0.45
Vidéotron s.e.n.c,Members’ Primary Residence Internet,2021/08/01,74.82
CONGRÈS NATIONAL DES ITALO-CANADIENS,Advertising,2021/08/03,108.34
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2021/08/03,235.90
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2021/08/03,159.96
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/04,24.00
David Fortin,Spring Water,2021/08/06,2.99
Métro Média,Advertising,2021/08/07,1000.00
In Texto journal Nou,Advertising,2021/08/09,217.44
In Texto journal Nou,Advertising,2021/08/09,217.44
In Texto journal Nou,Advertising,2021/08/09,217.44
In Texto journal Nou,Advertising,2021/08/09,217.44
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2021/08/10,94.98
RADIO HUMSAFAR,Advertising,2021/08/12,42.50
BELL CANADA,Constituency Office Internet,2021/08/13,111.00
SERVICES D'AFFAIRES SUD ASIATIQUES SAWID INC.,Advertising,2021/08/16,33.75
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/23,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/23,2.30
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/08/31,91.00
9234-0330 QUEBEC INC.,Office Rental and Related Fees,2021/09/01,3170.75
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/09/01,192.00
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2021/09/01,1.35
House of Commons / Chambre des communes,Language Training,2021/09/10,168.36
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/09/13,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/09/13,1.60
9234-0330 QUEBEC INC.,Office Rental and Related Fees,2021/10/01,3170.75
