Supplier,Description,Date,Total
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/05/28,111.28
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/06/01,25.50
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/06/01,80.25
cogeco,Employees’ Primary Residence Internet (COVID-19),2021/06/02,71.48
rogers,Employees’ Primary Residence Internet (COVID-19),2021/06/03,77.99
Shaw cablesystems G.P./Shaw Direct,Constituency Office Cable,2021/06/18,101.97
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/06/18,127.42
Sach Di Awaaz Newspaper,Advertising,2021/06/25,300.00
Brugge Design,Advertising,2021/06/28,200.00
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/06/28,111.28
LMP Publication Limited Partnership,Advertising,2021/06/29,127.27
Black Press Group Ltd.,Advertising,2021/06/30,1064.25
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,1.08
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,0.33
D & L INVESTMENTS,Advertising,2021/07/01,117.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/07/01,16.79
"Shaw cablesystems G.P./Shaw Direct ",Employees’ Primary Residence Internet (COVID-19),2021/07/01,80.25
cogeco,Employees’ Primary Residence Internet (COVID-19),2021/07/02,71.48
Miracle Media Group Inc,Advertising,2021/07/02,300.00
rogers,Employees’ Primary Residence Internet (COVID-19),2021/07/03,77.99
Choice Communication (Canada) Ltd.,Advertising,2021/07/05,480.80
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/07/08,16.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/07/08,223.84
Choice Communication (Canada) Ltd.,Advertising,2021/07/08,413.28
Shaw cablesystems G.P./Shaw Direct,Members’ Primary Residence Internet,2021/07/08,111.28
BC HYDRO,Public Utilities,2021/07/13,262.32
Shaw cablesystems G.P./Shaw Direct,Constituency Office Internet,2021/07/18,229.39
Canada Post – Postes Canada,Courier Services,2021/07/19,8.14
Canada Post – Postes Canada,Courier Services,2021/07/19,12.05
D & L INVESTMENTS,Advertising,2021/07/24,117.00
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/07/28,111.28
Canada Post – Postes Canada,"Postage, Parcel Post and Courier Services",2021/07/29,302.10
Black Press Group Ltd.,Advertising,2021/07/31,2148.50
LARK ENTERPRISES LTD,Office Rental and Related Fees,2021/08/01,3600.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/08/01,16.79
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/08/01,80.25
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2021/08/02,113.97
rogers,Employees’ Primary Residence Internet (COVID-19),2021/08/03,77.99
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/04,223.98
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/04,18.00
bureau en gros,"Office Supplies, Stationery and Accessories",2021/08/10,35.75
Canada Post – Postes Canada,Courier Services,2021/08/10,11.41
cartouche a  rabais,"Office Supplies, Stationery and Accessories",2021/08/10,395.86
cogeco,Employees’ Primary Residence Internet (COVID-19),2021/08/11,71.48
D & L INVESTMENTS,Advertising,2021/08/13,27.00
D & L INVESTMENTS,Advertising,2021/08/13,54.00
Choice Communication (Canada) Ltd.,Advertising,2021/08/17,37.06
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/23,37.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/23,225.31
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/08/28,111.28
LARK ENTERPRISES LTD,Office Rental and Related Fees,2021/09/01,3600.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/09/01,16.79
Shaw cablesystems G.P./Shaw Direct,Employees’ Primary Residence Internet (COVID-19),2021/09/01,80.25
cogeco,Employees’ Primary Residence Internet (COVID-19),2021/09/02,71.48
rogers,Employees’ Primary Residence Internet (COVID-19),2021/09/03,77.99
BC HYDRO,Public Utilities,2021/09/13,274.16
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/09/13,18.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/09/13,223.98
LARK ENTERPRISES LTD,Office Rental and Related Fees,2021/10/01,3600.00
