Supplier,Description,Date,Total
Toronto Caribbean Newspaper Inc.,Advertising,2020/12/18,170.00
GUJARAT ABROAD CANADA INC.,Advertising,2021/03/12,300.00
Hamdard Media Group,Advertising,2021/03/31,300.00
GUJARAT ABROAD CANADA INC.,Advertising,2021/04/02,450.00
Parvasi Weekly Inc.,Advertising,2021/04/02,250.00
"Canada Post ","Postage, Parcel Post and Courier Services",2021/04/07,28.48
Parvasi Weekly Inc.,Advertising,2021/04/09,500.00
Share Publishing Inc.,Advertising,2021/04/09,582.79
Alectra Utilities,Public Utilities,2021/05/25,138.24
"Enbridge ",Public Utilities,2021/05/27,163.45
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/06/01,304.29
Toronto Caribbean Newspaper Inc.,Advertising,2021/06/08,1000.00
Toronto Caribbean Newspaper Inc.,Advertising,2021/06/23,550.00
BELL CANADA,Constituency Office Internet,2021/06/25,1200.00
GUJARAT ABROAD CANADA INC.,Advertising,2021/06/25,300.00
Parvasi Weekly Inc.,Advertising,2021/06/28,500.00
A-1 Gill Cleaning Services Inc.,Janitorial Services and Maintenance,2021/06/30,360.00
ASIAN WORLD TODAY INC.,Advertising,2021/06/30,350.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,0.01
Hamdard Media Group,Advertising,2021/07/01,500.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/07/01,349.54
Toronto Caribbean Newspaper Inc.,Advertising,2021/07/05,550.00
Choice Communication (Canada) Ltd.,Advertising,2021/07/08,316.54
ASIAN WORLD TODAY INC.,Advertising,2021/07/13,600.00
Parvasi Weekly Inc.,Advertising,2021/07/14,500.00
Canada Post – Postes Canada,Courier Services,2021/07/19,6.24
Canada Post – Postes Canada,Courier Services,2021/07/19,5.85
Canada Post – Postes Canada,Courier Services,2021/07/19,41.68
Walmart,Gifts given as a matter of protocol,2021/07/19,240.00
Toronto Caribbean Newspaper Inc.,Advertising,2021/07/21,1550.00
Pakistan Post,Advertising,2021/07/22,350.00
Alectra Utilities,Public Utilities,2021/07/23,287.96
BELL CANADA,Constituency Office Internet,2021/07/25,1200.00
Teamlicious Inc,Promotional Items,2021/07/28,325.00
Hamdard Media Group,Advertising,2021/07/29,800.00
ASIAN WORLD TODAY INC.,Advertising,2021/07/30,1000.00
GUJARAT ABROAD CANADA INC.,Advertising,2021/07/30,450.00
Parvasi Weekly Inc.,Advertising,2021/07/30,900.00
A-1 Gill Cleaning Services Inc.,Janitorial Services and Maintenance,2021/07/31,360.00
Grand & Toy,Bulk Paper Purchases,2021/07/31,289.14
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/07/31,26.57
Grand & Toy,Other Consumable Supplies From Stores,2021/07/31,46.26
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2021/07/31,76.67
Grand & Toy,Cleaning Products,2021/07/31,36.93
FEBAU (Canada) Ltd,Office Rental and Related Fees,2021/08/01,2521.08
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/08/01,287.54
Hamdard Media Group,Advertising,2021/08/07,500.00
Canada Post – Postes Canada,Courier Services,2021/08/10,7.90
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/08/16,78.73
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/08/17,83.00
BELL CANADA,Constituency Office Internet,2021/08/25,1200.00
A-1 Gill Cleaning Services Inc.,Janitorial Services and Maintenance,2021/08/31,360.00
FEBAU (Canada) Ltd,Office Rental and Related Fees,2021/09/01,2521.08
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/09/01,293.29
House of Commons / Chambre des communes,Language Training,2021/09/10,989.11
FEBAU (Canada) Ltd,Office Rental and Related Fees,2021/10/01,2521.08
