Supplier,Description,Date,Total
GAZETA,Advertising,2021/04/13,100.00
Cogeco Connexion inc.,Constituency Office Internet,2021/05/29,96.76
BELL CANADA,Monthly Phone Service,2021/06/04,39.94
ENWIN,Public Utilities,2021/06/10,47.57
ENWIN,Public Utilities,2021/06/10,62.32
Cogeco Connexion inc.,Constituency Office Internet,2021/06/29,96.73
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,30.05
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,1.33
BELL CANADA,Monthly Phone Service,2021/07/04,42.61
PUROLATOR INC.,"Postage, Parcel Post and Courier Services",2021/07/06,5.71
Alpha Pro,Janitorial Services and Maintenance,2021/07/08,200.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/07/08,158.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/07/08,115.48
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2021/07/12,25.84
ENWIN,Public Utilities,2021/07/12,180.97
ENWIN,Public Utilities,2021/07/12,96.27
Cogeco Connexion inc.,Constituency Office Internet,2021/07/14,96.73
Mailchimp,Professional Communication Services,2021/07/15,66.89
Canada Post – Postes Canada,Courier Services,2021/07/19,7.83
Canada Post – Postes Canada,Courier Services,2021/07/19,6.61
Allegra Marketing Print Mail Image 360,External Printing Costs,2021/07/30,930.00
2211342 Ont Inc,Office Rental and Related Fees,2021/08/01,1500.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/04,158.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/04,34.00
House of Commons / Chambre des communes,Language Training,2021/08/04,165.84
Canada Post – Postes Canada,Courier Services,2021/08/10,7.35
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/23,74.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/23,158.00
2211342 Ont Inc,Office Rental and Related Fees,2021/09/01,1500.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/09/13,34.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/09/13,158.00
2211342 Ont Inc,Office Rental and Related Fees,2021/10/01,1500.00
