Supplier,Description,Date,Total
Bell Aliant,Employees’ Primary Residence Internet (COVID-19),2021/03/24,75.00
Rogers,Employees’ Primary Residence Internet (COVID-19),2021/04/20,75.00
Bell Aliant,Employees’ Primary Residence Internet (COVID-19),2021/04/24,75.00
allNewfoundlandLabrador,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/03,39.00
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2021/05/20,12.99
"ROGERS ",Employees’ Primary Residence Internet (COVID-19),2021/05/20,75.00
Modern Business Equipment Ltd.,Photocopier Rental and Related Costs,2021/05/31,102.48
Pik-Fast Express Inc.,Equipment Rental (non-hospitality related),2021/06/01,15.00
Amazon,Voice Communication Equipment,2021/06/17,59.99
Best Buy,Computer Equipment,2021/06/18,149.50
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2021/06/20,12.99
"Rogers ",Employees’ Primary Residence Internet (COVID-19),2021/06/20,75.00
Pik-Fast Express Inc.,Spring Water,2021/06/22,30.60
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2021/06/24,43.98
Bell Aliant,Employees’ Primary Residence Internet (COVID-19),2021/06/24,75.00
"BUSINESS POST, THE",Advertising,2021/06/26,240.00
Modern Business Equipment Ltd.,Photocopier Rental and Related Costs,2021/06/30,106.70
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/06/30,1.02
Pik-Fast Express Inc.,Equipment Rental (non-hospitality related),2021/07/01,15.00
allNewfoundlandLabrador,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/05,39.00
Bell Aliant,Constituency Office Cable,2021/07/06,50.95
Bell Aliant,Constituency Office Internet,2021/07/06,155.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/07/08,167.13
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/07/08,263.75
"BUSINESS POST, THE",Advertising,2021/07/11,160.00
New York Times,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/11,23.00
Lions District N4,Advertising,2021/07/13,100.00
"BUSINESS POST, THE",Advertising,2021/07/15,80.00
Canada Post – Postes Canada,Courier Services,2021/07/19,16.85
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/20,12.99
Apple Store,"Office Supplies, Stationery and Accessories",2021/07/22,77.00
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2021/07/24,39.99
"BUSINESS POST, THE",Advertising,2021/07/26,80.00
"BUSINESS POST, THE",Advertising,2021/07/28,80.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2021/07/31,128.15
Modern Business Equipment Ltd.,Photocopier Rental and Related Costs,2021/07/31,36.11
Pik-Fast Express Inc.,Equipment Rental (non-hospitality related),2021/08/01,15.00
TOPSAIL ROAD DEVELOPMENTS LIMITED,Office Rental and Related Fees,2021/08/01,3021.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/04,207.69
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/04,263.75
Bell Mobility – Bell Mobilité,Long Distance,2021/08/04,2.60
Bell Aliant,Constituency Office Internet,2021/08/06,214.63
"BUSINESS POST, THE",Advertising,2021/08/09,80.00
"BUSINESS POST, THE",Advertising,2021/08/11,80.00
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2021/08/20,12.99
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/08/23,263.75
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/08/23,137.67
App Store,"Printed Matter, Books, Newspapers and Subscriptions",2021/08/24,39.99
Modern Business Equipment Ltd.,Photocopier Rental and Related Costs,2021/08/31,65.69
TOPSAIL ROAD DEVELOPMENTS LIMITED,Office Rental and Related Fees,2021/09/01,3021.00
Indigo,"Printed Matter, Books, Newspapers and Subscriptions",2021/09/02,24.00
Indigo,"Printed Matter, Books, Newspapers and Subscriptions",2021/09/04,36.00
Hill Times Publishing,"Printed Matter, Books, Newspapers and Subscriptions",2021/09/05,45.00
Bell Aliant,Constituency Office Internet,2021/09/06,155.95
Bell Aliant,Constituency Office Cable,2021/09/06,58.93
Best Buy,Computer Equipment,2021/09/08,149.50
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/09/13,136.69
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/09/13,263.75
Bell Mobility – Bell Mobilité,Long Distance,2021/09/13,1.24
The Telegram,"Printed Matter, Books, Newspapers and Subscriptions",2021/09/17,222.01
TOPSAIL ROAD DEVELOPMENTS LIMITED,Office Rental and Related Fees,2021/10/01,3021.00
