Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0214191,2021/06/01,2021/06/30,,,,,,,237.9100,0.0000,0.0000,0.5000,0,0,237.91
T0214191,2021/06/01,2021/06/30,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/06/01,Niagara Falls,Ottawa,,,,,,,
T0214191,2021/06/01,2021/06/30,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/06/30,Ottawa,Niagara Falls,,,,,,,
T0214190,2021/06/20,2021/06/25,,,,,,,608.3500,0.0000,0.0000,1.0000,0,0,608.35
T0214190,2021/06/20,2021/06/25,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/06/20,Niagara Falls,Ottawa,,,,,,,
T0214190,2021/06/20,2021/06/25,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/06/25,Ottawa,Niagara Falls,,,,,,,
T0213948,2021/07/01,2021/07/03,,,,,,,55.7600,0.0000,0.0000,0,0.0000,0,55.76
T0213948,2021/07/01,2021/07/03,"Jeffs, April",Employee,Attending event with Member,2021/07/01,Welland,Niagara Falls,,,,,,,
T0213948,2021/07/01,2021/07/03,"Jeffs, April",Employee,Attending event with Member,2021/07/01,Niagara Falls,Welland,,,,,,,
T0213948,2021/07/01,2021/07/03,"Jeffs, April",Employee,Attending event with Member,2021/07/03,Welland,Fort Erie,,,,,,,
T0213948,2021/07/01,2021/07/03,"Jeffs, April",Employee,Attending event with Member,2021/07/03,Fort Erie,Welland,,,,,,,
T0215752,2021/07/25,2021/07/25,,,,,,,54.4700,0.0000,0.0000,0.5000,0,0,54.47
T0215752,2021/07/25,2021/07/25,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/07/25,Niagara Falls,Ottawa,,,,,,,
T0215752,2021/07/25,2021/07/25,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/07/25,Ottawa,Niagara Falls,,,,,,,
200507595,2021/08/01,2021/08/31,,,,,,,0.0000,2469.0000,0.0000,0,0,0,2469.00
200507595,2021/08/01,2021/08/31,"Baldinelli, Tony",Member,Secondary Residence,2021/08/01,OTTAWA,OTTAWA,,,,,,,
200515646,2021/09/01,2021/09/30,,,,,,,0.0000,2469.0000,0.0000,0,0,0,2469.00
200515646,2021/09/01,2021/09/30,"Baldinelli, Tony",Member,Secondary Residence,2021/09/01,OTTAWA,OTTAWA,,,,,,,
200519835,2021/10/01,2021/10/31,,,,,,,0.0000,2469.0000,0.0000,0,0,0,2469.00
200519835,2021/10/01,2021/10/31,"Baldinelli, Tony",Member,Secondary Residence,2021/10/01,OTTAWA,OTTAWA,,,,,,,
