Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0213777,2021/06/01,2021/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0213777,2021/06/01,2021/06/30,"Bergeron, Stéphane",Member,Secondary Residence,2021/06/01,Gatineau,Gatineau,,,,,,,
T0215012,2021/06/25,2021/06/25,,,,,,,58.8300,0.0000,0.0000,0,0.0000,0,58.83
T0215012,2021/06/25,2021/06/25,"Grenier, Simon",Employee,Attending event with Member,2021/06/25,Sainte-Julie,Chambly,,,,,,,
T0215012,2021/06/25,2021/06/25,"Grenier, Simon",Employee,Attending event with Member,2021/06/25,Chambly,Saint-Ours,,,,,,,
T0215012,2021/06/25,2021/06/25,"Grenier, Simon",Employee,Attending event with Member,2021/06/25,Saint-Ours,Sainte-Julie,,,,,,,
T0214043,2021/06/30,2021/07/09,,,,,,,214.2600,0.0000,0.0000,1.0000,0,0,214.26
T0214043,2021/06/30,2021/07/09,"Boisselle, Antoine",Employee,To travel to/from constituency and Ottawa,2021/06/30,Ottawa,Sainte-Julie (Sainte-Julie),,,,,,,
T0214043,2021/06/30,2021/07/09,"Boisselle, Antoine",Employee,To travel to/from constituency and Ottawa,2021/07/09,Sainte-Julie (Sainte-Julie),Ottawa,,,,,,,
T0214960,2021/07/01,2021/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0214960,2021/07/01,2021/07/31,"Bergeron, Stéphane",Member,Secondary Residence,2021/07/01,Gatineau,Gatineau,,,,,,,
T0213990,2021/07/05,2021/07/07,,,,,,,217.4700,0.0000,0.0000,1.0000,0,0,217.47
T0213990,2021/07/05,2021/07/07,"Deschênes, Colette",Employee,To travel to/from constituency and Ottawa,2021/07/05,Ottawa,Sainte-Julie (Sainte-Julie),,,,,,,
T0213990,2021/07/05,2021/07/07,"Deschênes, Colette",Employee,To travel to/from constituency and Ottawa,2021/07/07,Sainte-Julie (Sainte-Julie),Ottawa,,,,,,,
T0214040,2021/07/08,2021/07/09,,,,,,,267.2600,149.5700,82.6000,0,1.0000,0,499.43
T0214040,2021/07/08,2021/07/09,"Bergeron, Stéphane",Member,To attend an event as a matter of protocol,2021/07/08,Sainte-Julie (Sainte-Julie),Shawinigan,,,,,,,
T0214040,2021/07/08,2021/07/09,"Bergeron, Stéphane",Member,To attend an event as a matter of protocol,2021/07/09,Shawinigan,Sainte-Julie (Sainte-Julie),,,,,,,
T0214302,2021/07/12,2021/07/13,,,,,,,238.6200,0.0000,36.9700,1.0000,0,0,275.59
T0214302,2021/07/12,2021/07/13,"Bergeron, Stéphane",Member,To conduct constituency office business,2021/07/12,Sainte-Julie (Sainte-Julie),Québec,,,,,,,
T0214302,2021/07/12,2021/07/13,"Bergeron, Stéphane",Member,To conduct constituency office business,2021/07/13,Québec,Sainte-Julie (Sainte-Julie),,,,,,,
T0215064,2021/07/12,2021/07/16,,,,,,,217.4700,0.0000,0.0000,1.0000,0,0,217.47
T0215064,2021/07/12,2021/07/16,"Boisselle, Antoine",Employee,To travel to/from constituency and Ottawa,2021/07/12,Ottawa,Sainte-Julie (Sainte-Julie),,,,,,,
T0215064,2021/07/12,2021/07/16,"Boisselle, Antoine",Employee,To travel to/from constituency and Ottawa,2021/07/16,Sainte-Julie (Sainte-Julie),Ottawa,,,,,,,
T0214305,2021/07/17,2021/07/17,,,,,,,217.4700,0.0000,0.0000,1.0000,0,0,217.47
T0214305,2021/07/17,2021/07/17,"Deschênes, Colette",Employee,To travel to/from constituency and Ottawa,2021/07/17,Ottawa,Sainte-Julie (Sainte-Julie),,,,,,,
T0214305,2021/07/17,2021/07/17,"Deschênes, Colette",Employee,To travel to/from constituency and Ottawa,2021/07/17,Sainte-Julie (Sainte-Julie),Ottawa,,,,,,,
T0215645,2021/08/01,2021/08/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0215645,2021/08/01,2021/08/31,"Bergeron, Stéphane",Member,Secondary Residence,2021/08/01,Gatineau,Gatineau,,,,,,,
T0215065,2021/08/06,2021/08/06,,,,,,,217.4700,0.0000,0.0000,1.0000,0,0,217.47
T0215065,2021/08/06,2021/08/06,"Boisselle, Antoine",Employee,To travel to/from constituency and Ottawa,2021/08/06,Ottawa,Sainte-Julie (Sainte-Julie),,,,,,,
T0215065,2021/08/06,2021/08/06,"Boisselle, Antoine",Employee,To travel to/from constituency and Ottawa,2021/08/06,Sainte-Julie (Sainte-Julie),Ottawa,,,,,,,
T0215010,2021/08/08,2021/08/08,,,,,,,167.0400,0.0000,18.3800,0,1.0000,0,185.42
T0215010,2021/08/08,2021/08/08,"Bergeron, Stéphane",Member,To attend a national caucus meeting,2021/08/08,Sainte-Julie (Sainte-Julie),Shawinigan,,,,,,,
T0215010,2021/08/08,2021/08/08,"Bergeron, Stéphane",Member,To attend a national caucus meeting,2021/08/08,Shawinigan,Sainte-Julie (Sainte-Julie),,,,,,,
T0215004,2021/08/09,2021/08/09,,,,,,,217.4700,0.0000,0.0000,1.0000,0,0,217.47
T0215004,2021/08/09,2021/08/09,"Deschênes, Colette",Employee,To travel to/from constituency and Ottawa,2021/08/09,Ottawa,Sainte-Julie (Sainte-Julie),,,,,,,
T0215004,2021/08/09,2021/08/09,"Deschênes, Colette",Employee,To travel to/from constituency and Ottawa,2021/08/09,Sainte-Julie (Sainte-Julie),Ottawa,,,,,,,
T0215936,2021/08/16,2021/09/20,,,,,,,217.4700,0.0000,0.0000,1.0000,0,0,217.47
T0215936,2021/08/16,2021/09/20,"Deschênes, Colette",Employee,To travel to/from constituency and Ottawa,2021/08/16,Ottawa,Sainte-Julie (Sainte-Julie),,,,,,,
