Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0212314,2021/04/14,2021/04/28,,,,,,,117.5000,1387.6400,1118.4600,0,0,0,2623.60
T0212314,2021/04/14,2021/04/28,"Lane, Megan",Employee,To travel to/from constituency and Ottawa,2021/04/14,Ottawa,Winnipeg,,,,,,,
T0213900,2021/06/01,2021/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0213900,2021/06/01,2021/06/30,"Bezan, James",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,,,,,,,
T0215417,2021/06/14,2021/06/30,,,,,,,387.6800,0.0000,0.0000,0.0000,0,0,387.68
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/14,Teulon,Selkirk,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/18,Selkirk,Teulon,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/28,Teulon,Selkirk,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/28,Selkirk,Teulon,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To attend meetings about constituency issues,2021/06/30,Teulon,Stonewall,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To attend meetings about constituency issues,2021/06/30,Stonewall,Teulon,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/14,Selkirk,Teulon,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/15,Teulon,Selkirk,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/15,Selkirk,Teulon,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/16,Teulon,Selkirk,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/16,Selkirk,Teulon,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/17,Teulon,Selkirk,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/17,Selkirk,Teulon,,,,,,,
T0215417,2021/06/14,2021/06/30,"Bezan, James",Member,To conduct constituency office business,2021/06/18,Teulon,Selkirk,,,,,,,
T0213592,2021/06/20,2021/06/24,,,,,,,1669.1300,0.0000,400.5400,1.0000,0,0,2069.67
T0213592,2021/06/20,2021/06/24,"Bezan, James",Member,To travel to/from constituency and Ottawa,2021/06/20,Teulon,Ottawa,,,,,,,
