Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0214010,2021/05/01,2021/06/30,,,,,,,137.1500,0.0000,0.0000,0.0000,0.0000,0,137.15
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/05/06,Saint-Jean-sur-Richelieu,Delson,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Sainte-Catherine,Sainte-Catherine,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Sainte-Catherine,Sainte-Catherine,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Sainte-Catherine,Delson,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Delson,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/05/06,Delson,Saint-Jean-sur-Richelieu,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Constant,Saint-Jean-sur-Richelieu,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/05/11,Saint-Jean-sur-Richelieu,La Prairie,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/05/11,La Prairie,Saint-Jean-sur-Richelieu,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To attend an event as a matter of protocol,2021/06/08,Saint-Jean-sur-Richelieu,Saint-Constant,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To attend an event as a matter of protocol,2021/06/08,Saint-Constant,Saint-Jean-sur-Richelieu,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To conduct constituency office business,2021/06/22,Saint-Jean-sur-Richelieu,Sainte-Catherine,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To participate in a government program initiative,2021/06/14,Saint-Jean-sur-Richelieu,Marieville,,,,,,,
T0214010,2021/05/01,2021/06/30,"Bleau, Alexandre",Employee,To participate in a government program initiative,2021/06/14,Marieville,Saint-Jean-sur-Richelieu,,,,,,,
T0214137,2021/06/01,2021/06/30,,,,,,,17.6000,0.0000,0.0000,0.0000,0.0000,0,17.60
T0214137,2021/06/01,2021/06/30,"Therrien, Alain",Member,To conduct constituency office business,2021/06/19,Saint-Constant,Sainte-Catherine,,,,,,,
T0214137,2021/06/01,2021/06/30,"Therrien, Alain",Member,To conduct constituency office business,2021/06/19,Saint-Constant,Saint-Constant,,,,,,,
T0214137,2021/06/01,2021/06/30,"Therrien, Alain",Member,To conduct constituency office business,2021/06/19,Saint-Constant,Saint-Constant,,,,,,,
T0214137,2021/06/01,2021/06/30,"Therrien, Alain",Member,To conduct constituency office business,2021/06/19,Saint-Constant,Saint-Constant,,,,,,,
T0214137,2021/06/01,2021/06/30,"Therrien, Alain",Member,To conduct constituency office business,2021/06/19,Saint-Constant,Saint-Constant,,,,,,,
T0214137,2021/06/01,2021/06/30,"Therrien, Alain",Member,To conduct constituency office business,2021/06/19,Saint-Constant,Saint-Constant,,,,,,,
T0214137,2021/06/01,2021/06/30,"Therrien, Alain",Member,To conduct constituency office business,2021/06/19,Sainte-Catherine,Sainte-Catherine,,,,,,,
