Supplier,Description,Date,Total
Bell Canada,Constituency Office Internet,2021/08/01,91.00
Shaw,Constituency Office Internet,2021/08/21,128.35
BC Hydro,Public Utilities,2021/08/24,285.01
Bell Canada,Constituency Office Internet,2021/09/01,91.00
Glacier Media Group,Advertising,2021/09/30,99.87
Glacier Media Group,Advertising,2021/09/30,295.00
Indeed,"Temporary, Administrative Services",2021/09/30,62.88
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,921.18
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.23
Bell,Constituency Office Internet,2021/10/01,91.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/10/01,46.00
Telus Custom Security Service,Protection and Alarm Monitoring (Member's Office Budget),2021/10/01,77.97
SBV Cleaning and Services,Janitorial Services and Maintenance,2021/10/14,70.00
Shaw Invoice,Constituency Office Internet,2021/10/21,128.35
BC Hydro,Public Utilities,2021/10/25,173.37
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/25,22.48
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2021/10/25,505.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2021/10/26,29.99
Apple Canada Inc.,Repair of Telecommunication Equipment,2021/10/27,122.00
Grand & Toy,Cleaning Products,2021/10/31,22.45
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,34.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,2.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/11/01,61.00
Trinden Enterprises Ltd,Office Rental and Related Fees,2021/11/01,3531.93
SBV Cleaning and Services,Janitorial Services and Maintenance,2021/11/02,70.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,10.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,34.94
Trinden Enterprises Ltd,Office Rental and Related Fees,2021/12/01,3677.41
Canada Post – Postes Canada,Postage and Parcel Post,2021/12/16,257.10
Trinden Enterprises Ltd,Office Rental and Related Fees,2022/01/01,3677.41
