Supplier,Description,Date,Total
"COMPTONALES, LES",Advertising,2021/05/12,500.00
Icimédias Inc.,Advertising,2021/06/23,465.00
"Sherbrooke Record, The",Advertising,2021/06/29,350.00
"Reflet du Lac, Le",Advertising,2021/06/30,465.00
Les Immeubles DNR sep,Public Utilities,2021/07/01,125.00
Netrevolution Internet,Constituency Office Internet,2021/07/12,700.00
Les Immeubles DNR sep,Public Utilities,2021/08/01,125.00
Les Immeubles DNR sep,Public Utilities,2021/09/01,125.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,434.12
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/09/30,432.69
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/09/30,6.36
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,0.12
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2021/09/30,11.47
Excel Entretien Ménager,Janitorial Services and Maintenance,2021/10/01,304.90
Les Immeubles DNR sep,Public Utilities,2021/10/01,125.00
Municipalité de Barnston-Ouest,Advertising,2021/10/05,90.00
Gérard Leblanc courtier d'assurances LTÉE,Constituency Office Insurance,2021/10/06,583.15
Canada Post – Postes Canada,Courier Services,2021/10/07,6.11
Canada Post – Postes Canada,Courier Services,2021/10/07,18.97
MARCHÉ DE LA PETITE ÉCOLE,Advertising,2021/10/08,250.00
Canada Post – Postes Canada,Courier Services,2021/10/12,6.11
Canada Post – Postes Canada,Courier Services,2021/10/12,6.57
Municipalité La Patrie,Advertising,2021/10/14,25.00
"Productions MiliMyk, Les",Photography and Video Services,2021/10/15,425.00
Bury's Image de Bury,"Printed Matter, Books, Newspapers and Subscriptions",2021/10/18,27.00
Bury's Image de Bury,Advertising,2021/10/18,150.00
CACRS,Advertising,2021/10/18,500.00
Royal Canadian Legion Branch 48,Office Plants and Flowers,2021/10/20,75.00
Canada Post – Postes Canada,Courier Services,2021/10/25,7.02
Canada Post – Postes Canada,Courier Services,2021/10/25,6.57
Conseil de la culture de l'Estrie,Advertising,2021/10/25,500.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/10/26,6.36
Journal régional le haut-Saint-françois,Advertising,2021/10/28,234.00
C.C.I.R.C.,Advertising,2021/10/30,500.00
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/01,248.30
Bell Mobility – Bell Mobilité,Long Distance,2021/11/01,6.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/01,61.20
Excel Entretien Ménager,Janitorial Services and Maintenance,2021/11/01,304.90
Les Immeubles DNR sep,Public Utilities,2021/11/01,125.00
Les Immeubles DNR sep,Office Rental and Related Fees,2021/11/01,1670.00
Moisson Cookshire,Advertising,2021/11/01,300.00
L'INFO Journal communautaire,Advertising,2021/11/02,230.92
Coopérative nationale de l'information indépendante,Advertising,2021/11/06,237.00
Icimédias Inc.,Advertising,2021/11/10,134.85
Netrevolution Internet,Constituency Office Internet,2021/11/10,700.00
"Reflet du Lac, Le",Advertising,2021/11/10,134.85
"Reflet du Lac, Le",Advertising,2021/11/10,353.63
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/11/17,248.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/11/17,56.20
Canada Post – Postes Canada,Courier Services,2021/11/18,8.17
Canada Post – Postes Canada,Courier Services,2021/11/18,7.11
Journal régional le haut-Saint-françois,Advertising,2021/11/24,234.00
Loisirs Barnston-Ouest,Advertising,2021/11/29,300.00
Blanchard Litho,Signage,2021/11/30,145.00
Excel Entretien Ménager,Janitorial Services and Maintenance,2021/12/01,310.99
Les Immeubles DNR sep,Office Rental and Related Fees,2021/12/01,1705.00
Actions Interculturelles,Advertising,2021/12/06,350.00
Moisson Cookshire,Advertising,2021/12/06,300.00
Journal régional le haut-Saint-françois,Advertising,2021/12/07,234.00
P.E.P.I.N.E.S,Advertising,2021/12/10,250.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2021/12/10,6.36
Canada Post – Postes Canada,Courier Services,2021/12/17,19.64
Canada Post – Postes Canada,Courier Services,2021/12/17,8.50
Canada Post – Postes Canada,Courier Services,2021/12/17,8.69
Les Immeubles DNR sep,Office Rental and Related Fees,2022/01/01,1705.00
